year,quintil_oecd_hh,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,No,0.95690,1109,1109,0.94494,0.96886
2009,1st Quintile,Rural regions,No,0.95501,632,632,0.93884,0.97119
2009,2nd Quintile,Urban regions,No,0.97418,1114,1114,0.96486,0.98350
2009,2nd Quintile,Rural regions,No,0.92444,709,709,0.90497,0.94391
2009,3rd Quintile,Urban regions,No,0.95409,1147,1147,0.94198,0.96621
2009,3rd Quintile,Rural regions,No,0.94700,726,726,0.93069,0.96331
2009,4th Quintile,Urban regions,No,0.94049,1308,1308,0.92767,0.95332
2009,4th Quintile,Rural regions,No,0.91503,647,647,0.89352,0.93653
2009,5th Quintile,Urban regions,Yes,0.02469,56,1810,0.01754,0.03185
2009,5th Quintile,Urban regions,No,0.94038,1754,1810,0.92947,0.95129
2009,5th Quintile,Rural regions,Yes,0.05548,47,608,0.03727,0.07370
2009,5th Quintile,Rural regions,No,0.88749,561,608,0.86235,0.91263
2010,1st Quintile,Urban regions,No,0.97585,1972,1972,0.96908,0.98263
2010,1st Quintile,Rural regions,No,0.98499,1127,1127,0.97789,0.99209
2010,2nd Quintile,Urban regions,Yes,0.00900,35,1750,0.00458,0.01343
2010,2nd Quintile,Urban regions,No,0.98544,1715,1750,0.97982,0.99105
2010,2nd Quintile,Rural regions,No,0.96907,1130,1130,0.95897,0.97917
2010,3rd Quintile,Urban regions,Yes,0.01062,42,1540,0.00550,0.01574
2010,3rd Quintile,Urban regions,No,0.97632,1498,1540,0.96872,0.98392
2010,3rd Quintile,Rural regions,Yes,0.01520,38,1001,0.00762,0.02279
2010,3rd Quintile,Rural regions,No,0.97675,963,1001,0.96741,0.98609
2010,4th Quintile,Urban regions,Yes,0.01496,39,1651,0.00910,0.02082
2010,4th Quintile,Urban regions,No,0.96453,1612,1651,0.95561,0.97346
2010,4th Quintile,Rural regions,Yes,0.05533,61,784,0.03932,0.07134
2010,4th Quintile,Rural regions,No,0.92665,723,784,0.90838,0.94491
2010,5th Quintile,Urban regions,Yes,0.02870,79,2079,0.02152,0.03588
2010,5th Quintile,Urban regions,No,0.94749,2000,2079,0.93789,0.95708
2010,5th Quintile,Rural regions,Yes,0.06911,42,604,0.04886,0.08935
2010,5th Quintile,Rural regions,No,0.91336,562,604,0.89091,0.93581
2011,1st Quintile,Urban regions,No,0.98947,2248,2248,0.98525,0.99369
2011,1st Quintile,Rural regions,No,0.96945,1400,1400,0.96043,0.97847
2011,2nd Quintile,Urban regions,No,0.98640,1990,1990,0.98131,0.99149
2011,2nd Quintile,Rural regions,Yes,0.01207,32,1383,0.00631,0.01783
2011,2nd Quintile,Rural regions,No,0.98021,1351,1383,0.97287,0.98755
2011,3rd Quintile,Urban regions,Yes,0.01756,61,1976,0.01177,0.02336
2011,3rd Quintile,Urban regions,No,0.97809,1915,1976,0.97163,0.98454
2011,3rd Quintile,Rural regions,Yes,0.02308,42,1238,0.01471,0.03145
2011,3rd Quintile,Rural regions,No,0.97406,1196,1238,0.96520,0.98292
2011,4th Quintile,Urban regions,Yes,0.02231,74,2068,0.01595,0.02868
2011,4th Quintile,Urban regions,No,0.97614,1994,2068,0.96956,0.98272
2011,4th Quintile,Rural regions,Yes,0.06355,81,988,0.04833,0.07877
2011,4th Quintile,Rural regions,No,0.92881,907,988,0.91277,0.94485
2011,5th Quintile,Urban regions,Yes,0.04295,111,2379,0.03480,0.05109
2011,5th Quintile,Urban regions,No,0.94963,2268,2379,0.94084,0.95842
2011,5th Quintile,Rural regions,Yes,0.05919,63,800,0.04283,0.07556
2011,5th Quintile,Rural regions,No,0.92534,737,800,0.90711,0.94356
2012,1st Quintile,Urban regions,No,0.98575,2166,2166,0.98076,0.99074
2012,1st Quintile,Rural regions,No,0.98026,1384,1384,0.97293,0.98759
2012,2nd Quintile,Urban regions,Yes,0.01639,51,2021,0.01085,0.02192
2012,2nd Quintile,Urban regions,No,0.98051,1970,2021,0.97448,0.98654
2012,2nd Quintile,Rural regions,No,0.98916,1263,1263,0.98344,0.99487
2012,3rd Quintile,Urban regions,Yes,0.01908,60,1949,0.01301,0.02516
2012,3rd Quintile,Urban regions,No,0.97667,1889,1949,0.96997,0.98337
2012,3rd Quintile,Rural regions,Yes,0.02767,49,1249,0.01857,0.03677
2012,3rd Quintile,Rural regions,No,0.96982,1200,1249,0.96033,0.97931
2012,4th Quintile,Urban regions,Yes,0.03073,82,1953,0.02307,0.03838
2012,4th Quintile,Urban regions,No,0.96654,1871,1953,0.95856,0.97452
2012,4th Quintile,Rural regions,Yes,0.04638,59,1070,0.03378,0.05899
2012,4th Quintile,Rural regions,No,0.95064,1011,1070,0.93766,0.96363
2012,5th Quintile,Urban regions,Yes,0.03999,106,2312,0.03200,0.04798
2012,5th Quintile,Urban regions,No,0.95612,2206,2312,0.94777,0.96447
2012,5th Quintile,Rural regions,Yes,0.08144,69,838,0.06291,0.09997
2012,5th Quintile,Rural regions,No,0.91260,769,838,0.89346,0.93173
2013,1st Quintile,Urban regions,No,0.99310,2742,2742,0.99000,0.99620
2013,1st Quintile,Rural regions,No,0.98544,1452,1452,0.97928,0.99161
2013,2nd Quintile,Urban regions,Yes,0.01068,38,2389,0.00656,0.01480
2013,2nd Quintile,Urban regions,No,0.98899,2351,2389,0.98481,0.99318
2013,2nd Quintile,Rural regions,Yes,0.02821,39,1467,0.01974,0.03669
2013,2nd Quintile,Rural regions,No,0.96990,1428,1467,0.96116,0.97865
2013,3rd Quintile,Urban regions,Yes,0.01723,67,2160,0.01174,0.02272
2013,3rd Quintile,Urban regions,No,0.98062,2093,2160,0.97481,0.98644
2013,3rd Quintile,Rural regions,Yes,0.02657,52,1226,0.01757,0.03558
2013,3rd Quintile,Rural regions,No,0.97343,1174,1226,0.96442,0.98243
2013,4th Quintile,Urban regions,Yes,0.03405,84,2049,0.02619,0.04190
2013,4th Quintile,Urban regions,No,0.96470,1965,2049,0.95671,0.97269
2013,4th Quintile,Rural regions,Yes,0.04620,60,1063,0.03357,0.05882
2013,4th Quintile,Rural regions,No,0.95310,1003,1063,0.94038,0.96582
2013,5th Quintile,Urban regions,Yes,0.04434,122,2473,0.03623,0.05246
2013,5th Quintile,Urban regions,No,0.95508,2351,2473,0.94692,0.96325
2013,5th Quintile,Rural regions,Yes,0.06754,64,788,0.05000,0.08507
2013,5th Quintile,Rural regions,No,0.93246,724,788,0.91493,0.95000
2014,1st Quintile,Urban regions,No,0.98666,2205,2205,0.98186,0.99145
2014,1st Quintile,Rural regions,No,0.98073,1206,1206,0.97297,0.98849
2014,2nd Quintile,Urban regions,Yes,0.01699,49,2028,0.01136,0.02262
2014,2nd Quintile,Urban regions,No,0.98122,1979,2028,0.97531,0.98713
2014,2nd Quintile,Rural regions,Yes,0.01993,33,1284,0.01228,0.02758
2014,2nd Quintile,Rural regions,No,0.98007,1251,1284,0.97242,0.98772
2014,3rd Quintile,Urban regions,Yes,0.02493,65,1939,0.01799,0.03187
2014,3rd Quintile,Urban regions,No,0.97320,1874,1939,0.96602,0.98039
2014,3rd Quintile,Rural regions,Yes,0.03997,53,1167,0.02873,0.05121
2014,3rd Quintile,Rural regions,No,0.96003,1114,1167,0.94879,0.97127
2014,4th Quintile,Urban regions,Yes,0.03636,97,1937,0.02802,0.04470
2014,4th Quintile,Urban regions,No,0.96364,1840,1937,0.95530,0.97198
2014,4th Quintile,Rural regions,Yes,0.07409,71,987,0.05774,0.09043
2014,4th Quintile,Rural regions,No,0.92231,916,987,0.90560,0.93902
2014,5th Quintile,Urban regions,Yes,0.05234,121,2259,0.04315,0.06152
2014,5th Quintile,Urban regions,No,0.94553,2138,2259,0.93617,0.95489
2014,5th Quintile,Rural regions,Yes,0.07299,74,759,0.05447,0.09151
2014,5th Quintile,Rural regions,No,0.92701,685,759,0.90849,0.94553
2015,1st Quintile,Urban regions,No,0.99005,2294,2294,0.98599,0.99411
2015,1st Quintile,Rural regions,No,0.97871,1211,1211,0.97058,0.98685
2015,2nd Quintile,Urban regions,Yes,0.01685,44,2057,0.01129,0.02242
2015,2nd Quintile,Urban regions,No,0.98152,2013,2057,0.97570,0.98734
2015,2nd Quintile,Rural regions,Yes,0.02261,41,1320,0.01458,0.03063
2015,2nd Quintile,Rural regions,No,0.97647,1279,1320,0.96829,0.98465
2015,3rd Quintile,Urban regions,Yes,0.02073,64,1908,0.01434,0.02713
2015,3rd Quintile,Urban regions,No,0.97524,1844,1908,0.96827,0.98222
2015,3rd Quintile,Rural regions,Yes,0.05174,54,1105,0.03867,0.06480
2015,3rd Quintile,Rural regions,No,0.94642,1051,1105,0.93314,0.95970
2015,4th Quintile,Urban regions,Yes,0.03682,88,1857,0.02825,0.04539
2015,4th Quintile,Urban regions,No,0.96151,1769,1857,0.95275,0.97026
2015,4th Quintile,Rural regions,Yes,0.04934,61,972,0.03572,0.06296
2015,4th Quintile,Rural regions,No,0.95066,911,972,0.93704,0.96428
2015,5th Quintile,Urban regions,Yes,0.04525,115,2234,0.03663,0.05388
2015,5th Quintile,Urban regions,No,0.95470,2119,2234,0.94608,0.96333
2015,5th Quintile,Rural regions,Yes,0.06378,66,738,0.04614,0.08143
2015,5th Quintile,Rural regions,No,0.92899,672,738,0.91044,0.94753
2016,1st Quintile,Urban regions,No,0.95815,1967,1967,0.94929,0.96700
2016,1st Quintile,Rural regions,No,0.95514,1086,1086,0.94282,0.96745
2016,2nd Quintile,Urban regions,Yes,0.01421,40,1845,0.00880,0.01961
2016,2nd Quintile,Urban regions,No,0.98533,1805,1845,0.97984,0.99082
2016,2nd Quintile,Rural regions,Yes,0.01845,35,1191,0.01081,0.02610
2016,2nd Quintile,Rural regions,No,0.98056,1156,1191,0.97271,0.98840
2016,3rd Quintile,Urban regions,Yes,0.02446,61,1724,0.01716,0.03175
2016,3rd Quintile,Urban regions,No,0.97279,1663,1724,0.96510,0.98047
2016,3rd Quintile,Rural regions,Yes,0.04015,47,1016,0.02807,0.05223
2016,3rd Quintile,Rural regions,No,0.94942,969,1016,0.93594,0.96290
2016,4th Quintile,Urban regions,Yes,0.03864,87,1760,0.02963,0.04764
2016,4th Quintile,Urban regions,No,0.96093,1673,1760,0.95187,0.96998
2016,4th Quintile,Rural regions,Yes,0.06558,64,901,0.04941,0.08176
2016,4th Quintile,Rural regions,No,0.93442,837,901,0.91824,0.95059
2016,5th Quintile,Urban regions,Yes,0.05115,98,2049,0.04161,0.06069
2016,5th Quintile,Urban regions,No,0.94861,1951,2049,0.93905,0.95817
2016,5th Quintile,Rural regions,Yes,0.08183,62,705,0.06158,0.10208
2016,5th Quintile,Rural regions,No,0.91817,643,705,0.89792,0.93842
2017,1st Quintile,Urban regions,No,0.95363,2000,2000,0.94442,0.96285
2017,1st Quintile,Rural regions,No,0.94748,1156,1156,0.93461,0.96034
2017,2nd Quintile,Urban regions,Yes,0.01902,42,1970,0.01299,0.02505
2017,2nd Quintile,Urban regions,No,0.97599,1928,1970,0.96923,0.98275
2017,2nd Quintile,Rural regions,Yes,0.02550,39,1259,0.01679,0.03421
2017,2nd Quintile,Rural regions,No,0.96810,1220,1259,0.95839,0.97781
2017,3rd Quintile,Urban regions,Yes,0.02770,70,1901,0.02032,0.03508
2017,3rd Quintile,Urban regions,No,0.96965,1831,1901,0.96193,0.97736
2017,3rd Quintile,Rural regions,Yes,0.05799,69,1185,0.04468,0.07131
2017,3rd Quintile,Rural regions,No,0.94185,1116,1185,0.92852,0.95518
2017,4th Quintile,Urban regions,Yes,0.03559,96,2011,0.02749,0.04368
2017,4th Quintile,Urban regions,No,0.96318,1915,2011,0.95495,0.97141
2017,4th Quintile,Rural regions,Yes,0.06833,83,1030,0.05291,0.08374
2017,4th Quintile,Rural regions,No,0.92973,947,1030,0.91411,0.94535
2017,5th Quintile,Urban regions,Yes,0.06381,156,2321,0.05387,0.07376
2017,5th Quintile,Urban regions,No,0.93619,2165,2321,0.92624,0.94613
2017,5th Quintile,Rural regions,Yes,0.06672,68,772,0.04911,0.08434
2017,5th Quintile,Rural regions,No,0.93041,704,772,0.91245,0.94838
2018,1st Quintile,Urban regions,No,0.94978,2099,2099,0.94043,0.95912
2018,1st Quintile,Rural regions,No,0.95250,1161,1161,0.94026,0.96474
2018,2nd Quintile,Urban regions,Yes,0.02118,47,2030,0.01492,0.02745
2018,2nd Quintile,Urban regions,No,0.97480,1983,2030,0.96798,0.98162
2018,2nd Quintile,Rural regions,Yes,0.02305,35,1263,0.01477,0.03133
2018,2nd Quintile,Rural regions,No,0.97536,1228,1263,0.96680,0.98391
2018,3rd Quintile,Urban regions,Yes,0.02724,62,1851,0.01982,0.03466
2018,3rd Quintile,Urban regions,No,0.96973,1789,1851,0.96192,0.97754
2018,3rd Quintile,Rural regions,Yes,0.05571,65,1087,0.04207,0.06935
2018,3rd Quintile,Rural regions,No,0.93619,1022,1087,0.92165,0.95072
2018,4th Quintile,Urban regions,Yes,0.03839,89,1911,0.02978,0.04701
2018,4th Quintile,Urban regions,No,0.95460,1822,1911,0.94526,0.96393
2018,4th Quintile,Rural regions,Yes,0.06900,73,963,0.05299,0.08502
2018,4th Quintile,Rural regions,No,0.92838,890,963,0.91209,0.94468
2018,5th Quintile,Urban regions,Yes,0.05966,149,2232,0.04983,0.06949
2018,5th Quintile,Urban regions,No,0.93707,2083,2232,0.92699,0.94714
2018,5th Quintile,Rural regions,Yes,0.10749,80,772,0.08563,0.12936
2018,5th Quintile,Rural regions,No,0.89130,692,772,0.86932,0.91327
2019,1st Quintile,Urban regions,No,0.83560,1537,1537,0.81706,0.85413
2019,1st Quintile,Rural regions,No,0.83699,855,855,0.81222,0.86177
2019,2nd Quintile,Urban regions,Yes,0.02381,40,1593,0.01632,0.03130
2019,2nd Quintile,Urban regions,No,0.90914,1553,1593,0.89502,0.92326
2019,2nd Quintile,Rural regions,Yes,0.03460,44,1024,0.02340,0.04580
