year,hhtyp,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,West,No,0.99385,2062,2062,0.99048,0.99723
2009,Single-person household,East,No,0.99890,699,699,0.99645,1.00136
2009,Couple without children,West,Yes,0.02564,67,2542,0.01950,0.03179
2009,Couple without children,West,No,0.97436,2475,2542,0.96821,0.98050
2009,Couple without children,East,No,0.98467,913,913,0.97670,0.99264
2009,Single parent,West,No,0.99669,447,447,0.99135,1.00202
2009,Single parent,East,No,0.97850,165,165,0.95630,1.00070
2009,Couple with children,West,Yes,0.03095,76,2265,0.02382,0.03809
2009,Couple with children,West,No,0.96905,2189,2265,0.96191,0.97618
2009,Couple with children,East,Yes,0.03168,33,665,0.01836,0.04501
2009,Couple with children,East,No,0.96832,632,665,0.95499,0.98164
2009,Other Combinations,West,No,0.93740,52,52,0.87092,1.00389
2010,Single-person household,West,No,0.99182,1974,1974,0.98785,0.99580
2010,Single-person household,East,No,0.99169,669,669,0.98481,0.99858
2010,Couple without children,West,Yes,0.02116,56,2450,0.01546,0.02686
2010,Couple without children,West,No,0.97884,2394,2450,0.97314,0.98454
2010,Couple without children,East,No,0.98221,868,868,0.97341,0.99101
2010,Single parent,West,No,0.99116,1410,1410,0.98628,0.99605
2010,Single parent,East,No,0.99681,409,409,0.99133,1.00228
2010,Couple with children,West,Yes,0.03925,215,4556,0.03361,0.04489
2010,Couple with children,West,No,0.96075,4341,4556,0.95511,0.96639
2010,Couple with children,East,Yes,0.04437,52,1129,0.03235,0.05639
2010,Couple with children,East,No,0.95563,1077,1129,0.94361,0.96765
2010,Other Combinations,West,No,0.99573,52,52,0.97784,1.01362
2011,Single-person household,West,No,0.99045,2606,2606,0.98671,0.99418
2011,Single-person household,East,No,0.98721,882,882,0.97979,0.99463
2011,Couple without children,West,Yes,0.03027,101,3267,0.02439,0.03614
2011,Couple without children,West,No,0.96973,3166,3267,0.96386,0.97561
2011,Couple without children,East,No,0.98322,1063,1063,0.97550,0.99095
2011,Single parent,West,No,0.98972,1750,1750,0.98499,0.99444
2011,Single parent,East,No,0.98900,520,520,0.98003,0.99797
2011,Couple with children,West,Yes,0.05048,298,4972,0.04439,0.05657
2011,Couple with children,West,No,0.94952,4674,4972,0.94343,0.95561
2011,Couple with children,East,Yes,0.04316,50,1185,0.03159,0.05474
2011,Couple with children,East,No,0.95684,1135,1185,0.94526,0.96841
2011,Multi-generational household,West,No,0.99802,90,90,0.98878,1.00726
2011,Other Combinations,West,No,0.97019,76,76,0.93170,1.00868
2012,Single-person household,West,Yes,0.01306,36,2738,0.00880,0.01731
2012,Single-person household,West,No,0.98694,2702,2738,0.98269,0.99120
2012,Single-person household,East,No,0.99246,931,931,0.98690,0.99802
2012,Couple without children,West,Yes,0.03328,107,3320,0.02718,0.03938
2012,Couple without children,West,No,0.96672,3213,3320,0.96062,0.97282
2012,Couple without children,East,No,0.97235,1091,1091,0.96261,0.98208
2012,Single parent,West,No,0.99073,1648,1648,0.98611,0.99536
2012,Single parent,East,No,0.99510,498,498,0.98896,1.00124
2012,Couple with children,West,Yes,0.04967,273,4670,0.04343,0.05590
2012,Couple with children,West,No,0.95033,4397,4670,0.94410,0.95657
2012,Couple with children,East,Yes,0.05396,57,1101,0.04061,0.06731
2012,Couple with children,East,No,0.94604,1044,1101,0.93269,0.95939
2012,Multi-generational household,West,No,0.99748,89,89,0.98702,1.00795
2012,Other Combinations,West,No,0.94119,73,73,0.88685,0.99554
2013,Single-person household,West,Yes,0.01392,38,2937,0.00968,0.01816
2013,Single-person household,West,No,0.98608,2899,2937,0.98184,0.99032
2013,Single-person household,East,No,0.98960,899,899,0.98297,0.99624
2013,Couple without children,West,Yes,0.03439,116,3526,0.02838,0.04041
2013,Couple without children,West,No,0.96561,3410,3526,0.95959,0.97162
2013,Couple without children,East,No,0.97241,1088,1088,0.96267,0.98215
2013,Single parent,West,Yes,0.01505,32,1766,0.00937,0.02073
2013,Single parent,West,No,0.98495,1734,1766,0.97927,0.99063
2013,Single parent,East,No,0.99734,474,474,0.99270,1.00198
2013,Couple with children,West,Yes,0.04729,287,5542,0.04170,0.05288
2013,Couple with children,West,No,0.95271,5255,5542,0.94712,0.95830
2013,Couple with children,East,Yes,0.04802,53,1097,0.03536,0.06068
2013,Couple with children,East,No,0.95198,1044,1097,0.93932,0.96464
2013,Multi-generational household,West,No,0.97086,107,107,0.93884,1.00288
2013,Multi-generational household,East,No,0.97492,32,32,0.91988,1.02997
2013,Other Combinations,West,No,0.97772,316,316,0.96141,0.99402
2013,Other Combinations,East,No,0.98246,33,33,0.93697,1.02794
2014,Single-person household,West,Yes,0.02140,45,2679,0.01592,0.02688
2014,Single-person household,West,No,0.97860,2634,2679,0.97312,0.98408
2014,Single-person household,East,No,0.98988,873,873,0.98323,0.99652
2014,Couple without children,West,Yes,0.04188,135,3278,0.03502,0.04874
2014,Couple without children,West,No,0.95812,3143,3278,0.95126,0.96498
2014,Couple without children,East,No,0.96661,1053,1053,0.95575,0.97746
