year,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.01135,104,6538,0.00879,0.01392
2009,Urban regions,No,0.98865,6434,6538,0.98608,0.99121
2009,Rural regions,Yes,0.02958,109,3386,0.02387,0.03529
2009,Rural regions,No,0.97042,3277,3386,0.96471,0.97613
2010,Urban regions,Yes,0.01446,211,9010,0.01199,0.01692
2010,Urban regions,No,0.98554,8799,9010,0.98308,0.98801
2010,Rural regions,Yes,0.02926,181,4688,0.02444,0.03409
2010,Rural regions,No,0.97074,4507,4688,0.96591,0.97556
2011,Urban regions,Yes,0.02028,303,10721,0.01761,0.02295
2011,Urban regions,No,0.97972,10418,10721,0.97705,0.98239
2011,Rural regions,Yes,0.03352,236,5827,0.02889,0.03814
2011,Rural regions,No,0.96648,5591,5827,0.96186,0.97111
2012,Urban regions,Yes,0.02360,322,10427,0.02068,0.02651
2012,Urban regions,No,0.97640,10105,10427,0.97349,0.97932
2012,Rural regions,Yes,0.03332,217,5847,0.02872,0.03792
2012,Rural regions,No,0.96668,5630,5847,0.96208,0.97128
2013,Urban regions,Yes,0.02343,334,11844,0.02071,0.02616
2013,Urban regions,No,0.97657,11510,11844,0.97384,0.97929
2013,Rural regions,Yes,0.03396,235,6016,0.02938,0.03854
2013,Rural regions,No,0.96604,5781,6016,0.96146,0.97062
2014,Urban regions,Yes,0.02900,352,10391,0.02577,0.03222
2014,Urban regions,No,0.97100,10039,10391,0.96778,0.97423
2014,Rural regions,Yes,0.04256,250,5423,0.03719,0.04793
2014,Rural regions,No,0.95744,5173,5423,0.95207,0.96281
2015,Urban regions,Yes,0.02566,322,10366,0.02261,0.02870
2015,Urban regions,No,0.97434,10044,10366,0.97130,0.97739
2015,Rural regions,Yes,0.03956,247,5372,0.03435,0.04478
2015,Rural regions,No,0.96044,5125,5372,0.95522,0.96565
2016,Urban regions,Yes,0.02868,303,9367,0.02530,0.03206
2016,Urban regions,No,0.97132,9064,9367,0.96794,0.97470
2016,Rural regions,Yes,0.04254,228,4919,0.03690,0.04818
2016,Rural regions,No,0.95746,4691,4919,0.95182,0.96310
2017,Urban regions,Yes,0.03311,381,10224,0.02964,0.03657
2017,Urban regions,No,0.96689,9843,10224,0.96343,0.97036
2017,Rural regions,Yes,0.04612,279,5422,0.04054,0.05171
2017,Rural regions,No,0.95388,5143,5422,0.94829,0.95946
2018,Urban regions,Yes,0.03365,374,10153,0.03015,0.03716
2018,Urban regions,No,0.96635,9779,10153,0.96284,0.96985
2018,Rural regions,Yes,0.05190,270,5265,0.04591,0.05789
2018,Rural regions,No,0.94810,4995,5265,0.94211,0.95409
2019,Urban regions,Yes,0.03165,317,8231,0.02787,0.03543
2019,Urban regions,No,0.96835,7914,8231,0.96457,0.97213
2019,Rural regions,Yes,0.05180,243,4373,0.04523,0.05837
2019,Rural regions,No,0.94820,4130,4373,0.94163,0.95477
2020,Urban regions,Yes,0.02831,384,10935,0.02520,0.03142
2020,Urban regions,No,0.97169,10551,10935,0.96858,0.97480
2020,Rural regions,Yes,0.04963,297,5264,0.04376,0.05549
2020,Rural regions,No,0.95037,4967,5264,0.94451,0.95624
2021,Urban regions,Yes,0.02971,250,6594,0.02561,0.03381
2021,Urban regions,No,0.97029,6344,6594,0.96619,0.97439
2021,Rural regions,Yes,0.05395,192,3326,0.04627,0.06163
2021,Rural regions,No,0.94605,3134,3326,0.93837,0.95373
2022,Urban regions,Yes,0.04365,736,13099,0.04015,0.04714
2022,Urban regions,No,0.95635,12363,13099,0.95286,0.95985
2022,Rural regions,Yes,0.06943,499,6057,0.06303,0.07584
2022,Rural regions,No,0.93057,5558,6057,0.92416,0.93697
