year,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Comp. time,0.09027,569,2984,0.07998,0.10055
1984,male,Some of both,0.04561,319,2984,0.03812,0.05310
1984,male,Paid,0.16616,1442,2984,0.15281,0.17952
1984,male,Not compensated,0.10366,654,2984,0.09272,0.11460
1984,female,Comp. time,0.07218,511,1358,0.05841,0.08595
1984,female,Some of both,0.01902,142,1358,0.01175,0.02628
1984,female,Paid,0.04502,412,1358,0.03398,0.05605
1984,female,Not compensated,0.04205,293,1358,0.03137,0.05272
1985,male,Comp. time,0.07889,456,2502,0.06832,0.08945
1985,male,Some of both,0.04487,278,2502,0.03675,0.05298
1985,male,Paid,0.14692,1136,2502,0.13305,0.16080
1985,male,Not compensated,0.11008,632,2502,0.09782,0.12235
1985,female,Comp. time,0.07133,447,1204,0.05679,0.08588
1985,female,Some of both,0.01995,125,1204,0.01205,0.02785
1985,female,Paid,0.04332,346,1204,0.03182,0.05483
1985,female,Not compensated,0.04521,286,1204,0.03346,0.05695
1986,male,Comp. time,0.08773,510,2369,0.07634,0.09913
1986,male,Some of both,0.04618,273,2369,0.03773,0.05464
1986,male,Paid,0.15551,1163,2369,0.14091,0.17011
1986,male,Not compensated,0.07357,423,2369,0.06305,0.08408
1986,female,Comp. time,0.07592,456,1133,0.06049,0.09135
1986,female,Some of both,0.01875,121,1133,0.01085,0.02666
1986,female,Paid,0.04337,320,1133,0.03151,0.05524
1986,female,Not compensated,0.03834,236,1133,0.02715,0.04953
1988,male,Comp. time,0.09602,533,2287,0.08394,0.10809
1988,male,Some of both,0.05124,299,2287,0.04220,0.06028
1988,male,Paid,0.15138,1073,2287,0.13669,0.16608
1988,male,Not compensated,0.07462,382,2287,0.06385,0.08539
1988,female,Comp. time,0.08621,485,1167,0.07010,0.10232
1988,female,Some of both,0.02000,119,1167,0.01196,0.02804
1988,female,Paid,0.04577,354,1167,0.03377,0.05777
1988,female,Not compensated,0.03742,209,1167,0.02653,0.04832
1989,male,Comp. time,0.09993,520,2367,0.08785,0.11202
1989,male,Some of both,0.06579,370,2367,0.05580,0.07578
1989,male,Paid,0.16167,1107,2367,0.14684,0.17651
1989,male,Not compensated,0.07396,370,2367,0.06342,0.08451
1989,female,Comp. time,0.09266,521,1282,0.07678,0.10854
1989,female,Some of both,0.02622,156,1282,0.01747,0.03497
1989,female,Paid,0.05733,403,1282,0.04460,0.07006
1989,female,Not compensated,0.03886,202,1282,0.02828,0.04945
1990,male,Comp. time,0.11095,906,3729,0.10086,0.12103
1990,male,Some of both,0.06627,597,3729,0.05828,0.07425
1990,male,Paid,0.17579,1735,3729,0.16357,0.18801
1990,male,Not compensated,0.06769,491,3729,0.05963,0.07575
1990,female,Comp. time,0.11358,1066,2409,0.10091,0.12626
1990,female,Some of both,0.03157,323,2409,0.02459,0.03856
1990,female,Paid,0.06800,757,2409,0.05795,0.07806
1990,female,Not compensated,0.03342,263,2409,0.02624,0.04060
1991,male,Comp. time,0.11544,975,3478,0.10482,0.12606
1991,male,Some of both,0.06550,540,3478,0.05727,0.07372
1991,male,Paid,0.16166,1482,3478,0.14942,0.17389
1991,male,Not compensated,0.06688,481,3478,0.05858,0.07518
1991,female,Comp. time,0.11405,1040,2236,0.10087,0.12723
1991,female,Some of both,0.02976,276,2236,0.02272,0.03681
1991,female,Paid,0.06413,609,2236,0.05397,0.07429
1991,female,Not compensated,0.03710,311,2236,0.02927,0.04494
1992,male,Comp. time,0.10835,882,3288,0.09772,0.11897
1992,male,Some of both,0.07124,581,3288,0.06245,0.08004
1992,male,Paid,0.15141,1358,3288,0.13916,0.16367
1992,male,Not compensated,0.06197,467,3288,0.05373,0.07021
1992,female,Comp. time,0.11119,962,2092,0.09771,0.12466
1992,female,Some of both,0.03464,307,2092,0.02680,0.04248
1992,female,Paid,0.05496,518,2092,0.04519,0.06473
1992,female,Not compensated,0.03570,305,2092,0.02775,0.04366
1993,male,Comp. time,0.10286,801,3157,0.09226,0.11346
1993,male,Some of both,0.07086,596,3157,0.06190,0.07981
1993,male,Paid,0.14380,1265,3157,0.13156,0.15605
1993,male,Not compensated,0.06895,495,3157,0.06011,0.07779
1993,female,Comp. time,0.11121,995,2099,0.09776,0.12466
1993,female,Some of both,0.03291,303,2099,0.02528,0.04054
1993,female,Paid,0.05450,493,2099,0.04478,0.06421
1993,female,Not compensated,0.03691,308,2099,0.02884,0.04498
1994,male,Comp. time,0.11129,866,3073,0.10017,0.12241
1994,male,Some of both,0.07532,602,3073,0.06599,0.08466
1994,male,Paid,0.13119,1119,3073,0.11925,0.14313
1994,male,Not compensated,0.06764,486,3073,0.05876,0.07652
1994,female,Comp. time,0.12156,1049,2110,0.10762,0.13551
1994,female,Some of both,0.03311,303,2110,0.02548,0.04075
1994,female,Paid,0.05124,447,2110,0.04183,0.06065
1994,female,Not compensated,0.03569,311,2110,0.02778,0.04361
1995,male,Comp. time,0.11165,896,3270,0.10085,0.12244
1995,male,Some of both,0.07742,647,3270,0.06826,0.08658
1995,male,Paid,0.13060,1220,3270,0.11905,0.14215
1995,male,Not compensated,0.06878,507,3270,0.06010,0.07746
1995,female,Comp. time,0.12400,1138,2246,0.11037,0.13763
1995,female,Some of both,0.03494,345,2246,0.02734,0.04254
1995,female,Paid,0.04854,453,2246,0.03965,0.05743
1995,female,Not compensated,0.03632,310,2246,0.02858,0.04406
1996,male,Comp. time,0.13041,1039,3173,0.11870,0.14213
1996,male,Some of both,0.06897,589,3173,0.06015,0.07778
1996,male,Paid,0.11632,1065,3173,0.10516,0.12747
1996,male,Not compensated,0.06465,480,3173,0.05609,0.07320
1996,female,Comp. time,0.12917,1165,2169,0.11505,0.14329
1996,female,Some of both,0.03502,289,2169,0.02728,0.04276
1996,female,Paid,0.04383,401,2169,0.03521,0.05244
1996,female,Not compensated,0.03517,314,2169,0.02742,0.04293
1997,male,Comp. time,0.12180,961,2774,0.10963,0.13398
1997,male,Some of both,0.07963,682,2774,0.06955,0.08970
1997,male,Paid,0.06955,643,2774,0.06008,0.07902
1997,male,Not compensated,0.07070,488,2774,0.06116,0.08024
1997,female,Comp. time,0.11442,999,1812,0.09976,0.12908
1997,female,Some of both,0.03341,291,1812,0.02513,0.04169
1997,female,Paid,0.02424,231,1812,0.01715,0.03132
1997,female,Not compensated,0.03311,291,1812,0.02487,0.04135
1998,male,Comp. time,0.12808,1115,3015,0.11615,0.14001
1998,male,Some of both,0.07551,724,3015,0.06608,0.08495
1998,male,Paid,0.06628,631,3015,0.05740,0.07516
1998,male,Not compensated,0.06637,545,3015,0.05748,0.07525
1998,female,Comp. time,0.11114,1099,2002,0.09737,0.12491
1998,female,Some of both,0.03694,357,2002,0.02868,0.04521
1998,female,Paid,0.02408,241,2002,0.01736,0.03079
1998,female,Not compensated,0.03058,305,2002,0.02304,0.03813
1999,male,Comp. time,0.12840,1085,2969,0.11636,0.14043
1999,male,Some of both,0.07979,734,2969,0.07004,0.08954
1999,male,Paid,0.06289,616,2969,0.05416,0.07163
