year,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,Paid,0.19041,207,207,0.13679,0.24403
1984,Lower Secondary Level,Comp. time,0.05322,181,812,0.03777,0.06867
1984,Lower Secondary Level,Some of both,0.01733,60,812,0.00835,0.02631
1984,Lower Secondary Level,Paid,0.08939,445,812,0.06975,0.10902
1984,Lower Secondary Level,Not compensated,0.03662,126,812,0.02369,0.04954
1984,Upper Secondary Level,Comp. time,0.12210,676,2349,0.10886,0.13535
1984,Upper Secondary Level,Some of both,0.04423,257,2349,0.03591,0.05255
1984,Upper Secondary Level,Paid,0.15311,994,2349,0.13854,0.16767
1984,Upper Secondary Level,Not compensated,0.07508,422,2349,0.06442,0.08574
1984,Post-secondary Non-tertiary Level,Comp. time,0.14750,37,125,0.08508,0.20991
1984,Post-secondary Non-tertiary Level,Paid,0.11371,48,125,0.05783,0.16959
1984,Post-secondary Non-tertiary Level,Not compensated,0.16576,40,125,0.10031,0.23122
1984,First Stage of Tertiary Education,Comp. time,0.15471,107,349,0.11671,0.19270
1984,First Stage of Tertiary Education,Some of both,0.07169,52,349,0.04459,0.09880
1984,First Stage of Tertiary Education,Paid,0.11523,82,349,0.08168,0.14878
1984,First Stage of Tertiary Education,Not compensated,0.16142,108,349,0.12277,0.20008
1984,Second Stage of Tertiary Education,Comp. time,0.08129,60,426,0.05531,0.10727
1984,Second Stage of Tertiary Education,Some of both,0.06439,60,426,0.04105,0.08772
1984,Second Stage of Tertiary Education,Paid,0.07623,68,426,0.05100,0.10145
1984,Second Stage of Tertiary Education,Not compensated,0.31712,238,426,0.27287,0.36136
1985,Primary Level,Paid,0.13896,131,131,0.07950,0.19842
1985,Lower Secondary Level,Comp. time,0.04934,146,667,0.03289,0.06579
1985,Lower Secondary Level,Some of both,0.02079,64,667,0.00995,0.03163
1985,Lower Secondary Level,Paid,0.08653,367,667,0.06518,0.10789
1985,Lower Secondary Level,Not compensated,0.03091,90,667,0.01777,0.04406
1985,Upper Secondary Level,Comp. time,0.10951,559,2026,0.09591,0.12311
1985,Upper Secondary Level,Some of both,0.04290,224,2026,0.03407,0.05172
1985,Upper Secondary Level,Paid,0.13642,812,2026,0.12147,0.15137
1985,Upper Secondary Level,Not compensated,0.08439,431,2026,0.07228,0.09649
1985,Post-secondary Non-tertiary Level,Paid,0.11734,42,42,0.01883,0.21585
1985,First Stage of Tertiary Education,Comp. time,0.15001,92,306,0.10994,0.19009
1985,First Stage of Tertiary Education,Some of both,0.06210,42,306,0.03502,0.08919
1985,First Stage of Tertiary Education,Paid,0.09059,65,306,0.05838,0.12280
1985,First Stage of Tertiary Education,Not compensated,0.17115,107,306,0.12888,0.21342
1985,Second Stage of Tertiary Education,Comp. time,0.09221,67,413,0.06427,0.12014
1985,Second Stage of Tertiary Education,Some of both,0.06748,54,413,0.04326,0.09170
1985,Second Stage of Tertiary Education,Paid,0.05772,51,413,0.03520,0.08024
1985,Second Stage of Tertiary Education,Not compensated,0.31684,241,413,0.27192,0.36177
1986,Primary Level,Paid,0.15535,123,123,0.09107,0.21963
1986,Lower Secondary Level,Comp. time,0.05082,147,654,0.03398,0.06767
1986,Lower Secondary Level,Some of both,0.01806,59,654,0.00785,0.02827
1986,Lower Secondary Level,Paid,0.09091,373,654,0.06886,0.11296
1986,Lower Secondary Level,Not compensated,0.02387,75,654,0.01216,0.03557
1986,Upper Secondary Level,Comp. time,0.12080,603,1939,0.10629,0.13531
1986,Upper Secondary Level,Some of both,0.04707,241,1939,0.03764,0.05650
1986,Upper Secondary Level,Paid,0.13933,812,1939,0.12392,0.15475
1986,Upper Secondary Level,Not compensated,0.05610,283,1939,0.04585,0.06634
1986,Post-secondary Non-tertiary Level,Paid,0.13741,45,45,0.03568,0.23914
1986,First Stage of Tertiary Education,Comp. time,0.14098,85,252,0.09793,0.18403
1986,First Stage of Tertiary Education,Some of both,0.05245,34,252,0.02487,0.08003
1986,First Stage of Tertiary Education,Paid,0.09952,64,252,0.06249,0.13656
1986,First Stage of Tertiary Education,Not compensated,0.10623,69,252,0.06811,0.14435
1986,Second Stage of Tertiary Education,Comp. time,0.09993,77,353,0.06860,0.13126
1986,Second Stage of Tertiary Education,Some of both,0.04596,35,353,0.02408,0.06783
1986,Second Stage of Tertiary Education,Paid,0.05409,45,353,0.03046,0.07771
1986,Second Stage of Tertiary Education,Not compensated,0.26720,196,353,0.22097,0.31343
1988,Primary Level,Paid,0.18195,130,130,0.11537,0.24853
1988,Lower Secondary Level,Comp. time,0.05955,165,670,0.04162,0.07749
1988,Lower Secondary Level,Some of both,0.02129,65,670,0.01035,0.03223
1988,Lower Secondary Level,Paid,0.09417,382,670,0.07204,0.11630
1988,Lower Secondary Level,Not compensated,0.02076,58,670,0.00996,0.03156
1988,Upper Secondary Level,Comp. time,0.13145,622,1875,0.11615,0.14675
1988,Upper Secondary Level,Some of both,0.04852,243,1875,0.03880,0.05825
1988,Upper Secondary Level,Paid,0.14074,765,1875,0.12499,0.15648
1988,Upper Secondary Level,Not compensated,0.05273,245,1875,0.04261,0.06285
1988,Post-secondary Non-tertiary Level,Paid,0.08792,36,36,-0.00590,0.18174
1988,First Stage of Tertiary Education,Comp. time,0.16754,90,238,0.12000,0.21509
1988,First Stage of Tertiary Education,Some of both,0.06449,38,238,0.03322,0.09576
1988,First Stage of Tertiary Education,Paid,0.08704,54,238,0.05115,0.12293
1988,First Stage of Tertiary Education,Not compensated,0.10103,56,238,0.06266,0.13939
1988,Second Stage of Tertiary Education,Comp. time,0.09947,78,362,0.06859,0.13034
1988,Second Stage of Tertiary Education,Some of both,0.05687,43,362,0.03298,0.08076
1988,Second Stage of Tertiary Education,Paid,0.04908,39,362,0.02680,0.07137
1988,Second Stage of Tertiary Education,Not compensated,0.29039,202,362,0.24356,0.33722
1989,Primary Level,Paid,0.20780,125,125,0.13638,0.27921
1989,Lower Secondary Level,Comp. time,0.06656,164,710,0.04822,0.08491
1989,Lower Secondary Level,Some of both,0.03095,97,710,0.01821,0.04370
1989,Lower Secondary Level,Paid,0.10323,388,710,0.08083,0.12562
1989,Lower Secondary Level,Not compensated,0.02295,61,710,0.01193,0.03397
1989,Upper Secondary Level,Comp. time,0.14028,644,2015,0.12511,0.15545
1989,Upper Secondary Level,Some of both,0.05837,280,2015,0.04813,0.06861
1989,Upper Secondary Level,Paid,0.16006,846,2015,0.14404,0.17607
1989,Upper Secondary Level,Not compensated,0.05630,245,2015,0.04623,0.06637
1989,Post-secondary Non-tertiary Level,Comp. time,0.16294,44,80,0.08150,0.24438
1989,Post-secondary Non-tertiary Level,Paid,0.09175,36,80,0.02809,0.15541
1989,First Stage of Tertiary Education,Comp. time,0.15578,82,233,0.10912,0.20245
1989,First Stage of Tertiary Education,Some of both,0.09828,54,233,0.05997,0.13659
1989,First Stage of Tertiary Education,Paid,0.09106,50,233,0.05404,0.12808
1989,First Stage of Tertiary Education,Not compensated,0.09142,47,233,0.05434,0.12851
1989,Second Stage of Tertiary Education,Comp. time,0.10166,75,356,0.07023,0.13310
1989,Second Stage of Tertiary Education,Some of both,0.07794,55,356,0.05006,0.10583
1989,Second Stage of Tertiary Education,Paid,0.04789,39,356,0.02568,0.07010
1989,Second Stage of Tertiary Education,Not compensated,0.26945,187,356,0.22330,0.31561
1990,Primary Level,Paid,0.18516,114,114,0.11354,0.25678
1990,Lower Secondary Level,Comp. time,0.07056,204,846,0.05329,0.08783
1990,Lower Secondary Level,Some of both,0.03100,110,846,0.01932,0.04269
1990,Lower Secondary Level,Paid,0.11679,478,846,0.09514,0.13845
1990,Lower Secondary Level,Not compensated,0.01831,54,846,0.00927,0.02734
1990,Upper Secondary Level,Comp. time,0.15621,1161,3472,0.14413,0.16829
