year,age_gr,migback,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Comp. time,0.14118,328,952,0.11905,0.16331
1984,17-29 y.,No migration background,Some of both,0.05760,137,952,0.04280,0.07241
1984,17-29 y.,No migration background,Paid,0.14472,340,952,0.12236,0.16709
1984,17-29 y.,No migration background,Not compensated,0.06331,147,952,0.04784,0.07879
1984,17-29 y.,Direct migration background,Comp. time,0.06658,40,217,0.03333,0.09982
1984,17-29 y.,Direct migration background,Paid,0.18312,177,217,0.13154,0.23470
1984,30-45 y.,No migration background,Comp. time,0.14543,359,1302,0.12627,0.16458
1984,30-45 y.,No migration background,Some of both,0.06307,158,1302,0.04986,0.07628
1984,30-45 y.,No migration background,Paid,0.17413,419,1302,0.15353,0.19474
1984,30-45 y.,No migration background,Not compensated,0.14999,366,1302,0.13058,0.16939
1984,30-45 y.,Direct migration background,Comp. time,0.06905,61,525,0.04734,0.09076
1984,30-45 y.,Direct migration background,Some of both,0.04120,44,525,0.02418,0.05822
1984,30-45 y.,Direct migration background,Paid,0.23289,364,525,0.19670,0.26908
1984,30-45 y.,Direct migration background,Not compensated,0.06102,56,525,0.04052,0.08152
1984,46-65 y.,No migration background,Comp. time,0.09091,241,941,0.07253,0.10929
1984,46-65 y.,No migration background,Some of both,0.03037,83,941,0.01940,0.04134
1984,46-65 y.,No migration background,Paid,0.11801,311,941,0.09739,0.13864
1984,46-65 y.,No migration background,Not compensated,0.11378,306,941,0.09348,0.13408
1984,46-65 y.,Direct migration background,Comp. time,0.08857,41,267,0.05443,0.12272
1984,46-65 y.,Direct migration background,Paid,0.17363,226,267,0.12811,0.21915
1985,17-29 y.,No migration background,Comp. time,0.13254,287,831,0.10947,0.15561
1985,17-29 y.,No migration background,Some of both,0.05442,117,831,0.03899,0.06986
1985,17-29 y.,No migration background,Paid,0.12448,274,831,0.10202,0.14694
1985,17-29 y.,No migration background,Not compensated,0.06962,153,831,0.05231,0.08694
1985,17-29 y.,Direct migration background,Comp. time,0.05523,31,169,0.02069,0.08978
1985,17-29 y.,Direct migration background,Paid,0.16257,138,169,0.10678,0.21837
1985,30-45 y.,No migration background,Comp. time,0.13482,296,1144,0.11502,0.15462
1985,30-45 y.,No migration background,Some of both,0.05444,123,1144,0.04128,0.06759
1985,30-45 y.,No migration background,Paid,0.16635,374,1144,0.14476,0.18794
1985,30-45 y.,No migration background,Not compensated,0.15452,351,1144,0.13357,0.17548
1985,30-45 y.,Direct migration background,Comp. time,0.05113,41,372,0.02872,0.07355
1985,30-45 y.,Direct migration background,Some of both,0.04078,33,372,0.02065,0.06091
1985,30-45 y.,Direct migration background,Paid,0.21224,265,372,0.17063,0.25385
1985,30-45 y.,Direct migration background,Not compensated,0.04340,33,372,0.02267,0.06414
1985,46-65 y.,No migration background,Comp. time,0.08416,206,872,0.06572,0.10259
1985,46-65 y.,No migration background,Some of both,0.03538,90,872,0.02311,0.04765
1985,46-65 y.,No migration background,Paid,0.10315,255,872,0.08295,0.12335
1985,46-65 y.,No migration background,Not compensated,0.12637,321,872,0.10430,0.14843
1985,46-65 y.,Direct migration background,Comp. time,0.07419,36,200,0.03777,0.11060
1985,46-65 y.,Direct migration background,Paid,0.13927,164,200,0.09116,0.18737
1986,17-29 y.,No migration background,Comp. time,0.13602,282,831,0.11270,0.15934
1986,17-29 y.,No migration background,Some of both,0.06280,127,831,0.04629,0.07930
1986,17-29 y.,No migration background,Paid,0.14247,297,831,0.11869,0.16624
1986,17-29 y.,No migration background,Not compensated,0.05959,125,831,0.04348,0.07569
1986,17-29 y.,Direct migration background,Paid,0.17151,141,141,0.10907,0.23395
1986,30-45 y.,No migration background,Comp. time,0.16352,339,1028,0.14090,0.18613
1986,30-45 y.,No migration background,Some of both,0.05578,116,1028,0.04175,0.06982
1986,30-45 y.,No migration background,Paid,0.15858,331,1028,0.13624,0.18092
1986,30-45 y.,No migration background,Not compensated,0.11346,242,1028,0.09406,0.13286
1986,30-45 y.,Direct migration background,Comp. time,0.06196,55,340,0.03630,0.08763
1986,30-45 y.,Direct migration background,Some of both,0.04170,41,340,0.02042,0.06298
1986,30-45 y.,Direct migration background,Paid,0.20676,244,340,0.16365,0.24988
1986,46-65 y.,No migration background,Comp. time,0.08668,208,746,0.06647,0.10688
1986,46-65 y.,No migration background,Some of both,0.03034,73,746,0.01802,0.04265
1986,46-65 y.,No migration background,Paid,0.11105,264,746,0.08849,0.13361
1986,46-65 y.,No migration background,Not compensated,0.07974,201,746,0.06029,0.09919
1986,46-65 y.,Direct migration background,Comp. time,0.09000,46,233,0.05318,0.12683
1986,46-65 y.,Direct migration background,Paid,0.15273,187,233,0.10644,0.19903
1988,17-29 y.,No migration background,Comp. time,0.16424,299,792,0.13842,0.19006
1988,17-29 y.,No migration background,Some of both,0.05462,110,792,0.03879,0.07046
1988,17-29 y.,No migration background,Paid,0.14156,254,792,0.11727,0.16586
