year,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Comp. time,0.08082,1080,4342,0.07271,0.08893
1984,Some of both,0.03172,461,4342,0.02651,0.03693
1984,Paid,0.10288,1854,4342,0.09385,0.11192
1984,Not compensated,0.07148,947,4342,0.06381,0.07914
1985,Comp. time,0.07493,903,3706,0.06646,0.08341
1985,Some of both,0.03183,403,3706,0.02618,0.03749
1985,Paid,0.09273,1482,3706,0.08339,0.10207
1985,Not compensated,0.07615,918,3706,0.06761,0.08469
1986,Comp. time,0.08157,966,3502,0.07250,0.09063
1986,Some of both,0.03186,394,3502,0.02604,0.03768
1986,Paid,0.09696,1483,3502,0.08716,0.10676
1986,Not compensated,0.05517,659,3502,0.04761,0.06274
1988,Comp. time,0.09093,1018,3454,0.08134,0.10052
1988,Some of both,0.03505,418,3454,0.02891,0.04118
1988,Paid,0.09665,1427,3454,0.08679,0.10650
1988,Not compensated,0.05534,591,3454,0.04772,0.06297
1989,Comp. time,0.09617,1041,3649,0.08660,0.10574
1989,Some of both,0.04531,526,3649,0.03856,0.05206
1989,Paid,0.10767,1510,3649,0.09762,0.11773
1989,Not compensated,0.05580,572,3649,0.04835,0.06325
1990,Comp. time,0.11227,1972,6138,0.10438,0.12017
1990,Some of both,0.04835,920,6138,0.04299,0.05372
1990,Paid,0.12014,2492,6138,0.11201,0.12828
1990,Not compensated,0.04999,754,6138,0.04454,0.05545
1991,Comp. time,0.11472,2015,5714,0.10646,0.12299
1991,Some of both,0.04706,816,5714,0.04157,0.05256
1991,Paid,0.11135,2091,5714,0.10320,0.11951
1991,Not compensated,0.05152,792,5714,0.04579,0.05725
1992,Comp. time,0.10981,1844,5380,0.10145,0.11816
1992,Some of both,0.05241,888,5380,0.04646,0.05837
1992,Paid,0.10179,1876,5380,0.09371,0.10987
1992,Not compensated,0.04846,772,5380,0.04272,0.05420
1993,Comp. time,0.10714,1796,5256,0.09878,0.11551
1993,Some of both,0.05139,899,5256,0.04542,0.05736
1993,Paid,0.09798,1758,5256,0.08995,0.10602
