year,age_gr,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Lower Secondary Level,Comp. time,0.09457,79,255,0.05859,0.13056
1984,17-29 y.,Lower Secondary Level,Paid,0.10618,131,255,0.06829,0.14407
1984,17-29 y.,Lower Secondary Level,Not compensated,0.05693,45,255,0.02843,0.08542
1984,17-29 y.,Upper Secondary Level,Comp. time,0.16047,224,708,0.13341,0.18752
1984,17-29 y.,Upper Secondary Level,Some of both,0.06729,97,708,0.04882,0.08576
1984,17-29 y.,Upper Secondary Level,Paid,0.18874,302,708,0.15989,0.21758
1984,17-29 y.,Upper Secondary Level,Not compensated,0.05742,85,708,0.04027,0.07457
1984,17-29 y.,First Stage of Tertiary Education,Comp. time,0.26830,33,33,0.11478,0.42181
1984,30-45 y.,Primary Level,Paid,0.24603,92,92,0.15754,0.33453
1984,30-45 y.,Lower Secondary Level,Comp. time,0.05659,38,216,0.02570,0.08747
1984,30-45 y.,Lower Secondary Level,Paid,0.19165,178,216,0.13904,0.24427
1984,30-45 y.,Upper Secondary Level,Comp. time,0.16360,284,1012,0.14080,0.18641
1984,30-45 y.,Upper Secondary Level,Some of both,0.05860,104,1012,0.04412,0.07308
1984,30-45 y.,Upper Secondary Level,Paid,0.19972,419,1012,0.17508,0.22437
1984,30-45 y.,Upper Secondary Level,Not compensated,0.11380,205,1012,0.09423,0.13338
1984,30-45 y.,First Stage of Tertiary Education,Comp. time,0.18588,45,132,0.11927,0.25250
1984,30-45 y.,First Stage of Tertiary Education,Paid,0.15186,38,132,0.09041,0.21332
1984,30-45 y.,First Stage of Tertiary Education,Not compensated,0.20705,49,132,0.13766,0.27643
1984,30-45 y.,Second Stage of Tertiary Education,Comp. time,0.10083,35,228,0.06166,0.14000
1984,30-45 y.,Second Stage of Tertiary Education,Some of both,0.08160,33,228,0.04598,0.11721
1984,30-45 y.,Second Stage of Tertiary Education,Paid,0.09134,34,228,0.05387,0.12882
1984,30-45 y.,Second Stage of Tertiary Education,Not compensated,0.36902,126,228,0.30625,0.43179
1984,46-65 y.,Primary Level,Paid,0.21873,87,87,0.13136,0.30610
1984,46-65 y.,Lower Secondary Level,Comp. time,0.06243,64,251,0.03244,0.09242
