study,dataset,version,variable,value,label,label_de
soep-core,p_statistics,v39,age_gr,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,age_gr,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,age_gr,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,age_gr,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,age_gr,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,age_gr,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,age_gr,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,age_gr,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,age_gr,0,0-16 y.,0-16 J.
soep-core,p_statistics,v39,age_gr,1,17-29 y.,17-29 J.
soep-core,p_statistics,v39,age_gr,2,30-45 y.,30-45 J.
soep-core,p_statistics,v39,age_gr,3,46-65 y.,46-65 J.
soep-core,p_statistics,v39,age_gr,4,66 and older,66 und älter
soep-core,p_statistics,v39,bula_h,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,bula_h,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,bula_h,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,bula_h,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,bula_h,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,bula_h,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,bula_h,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,bula_h,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,bula_h,1,Schleswig-Holstein,Schleswig-Holstein
soep-core,p_statistics,v39,bula_h,2,Hamburg,Hamburg
soep-core,p_statistics,v39,bula_h,3,Lower Saxony,Niedersachsen
soep-core,p_statistics,v39,bula_h,4,Bremen,Bremen
soep-core,p_statistics,v39,bula_h,5,North Rhine-Westphalia,Nordrhein-Westfalen
soep-core,p_statistics,v39,bula_h,6,Hesse,Hessen
soep-core,p_statistics,v39,bula_h,7,"Rhineland-Palatinate, Saarland","Rheinland-Pfalz,Saarland"
soep-core,p_statistics,v39,bula_h,8,Baden-Wuerttemberg,Baden-Württemberg
soep-core,p_statistics,v39,bula_h,9,Bavaria,Bayern
soep-core,p_statistics,v39,bula_h,11,Berlin,Berlin
soep-core,p_statistics,v39,bula_h,12,Brandenburg,Brandenburg
soep-core,p_statistics,v39,bula_h,13,Mecklenburg-Western Pomerania,Mecklenburg-Vorpommern
soep-core,p_statistics,v39,bula_h,14,Saxony,Sachsen
soep-core,p_statistics,v39,bula_h,15,Saxony-Anhalt,Sachsen-Anhalt
soep-core,p_statistics,v39,bula_h,16,Thuringa,Thüringen
soep-core,p_statistics,v39,chronill,-8,Question not part of the survey program this year,Frage in diesem Jahr nicht Teil des Frageprogramms
soep-core,p_statistics,v39,chronill,-7,Only available in less restricted edition,nur in weniger eingeschränkter Edition verfügbar
soep-core,p_statistics,v39,chronill,-6,Version of questionnaire with modified filtering,Fragebogenversion mit geänderter Filterführung
soep-core,p_statistics,v39,chronill,-5,Not included in this version of the questionnaire,in Fragebogenversion nicht enthalten
soep-core,p_statistics,v39,chronill,-4,Inadmissable multiple response,unzulässige Mehrfachantwort
soep-core,p_statistics,v39,chronill,-3,Implausible value,unplausibler Wert
soep-core,p_statistics,v39,chronill,-2,Does not apply,trifft nicht zu
soep-core,p_statistics,v39,chronill,-1,No answer / don't know,keine Angabe/weiß nicht
soep-core,p_statistics,v39,chronill,1,Yes,Ja
soep-core,p_statistics,v39,chronill,2,No,Nein
