study,name,label,label_de,description,description_de,analysis_unit,conceptual_dataset,period
soep-core,,,Altersgruppen,,,p,,
soep-core,,,Berufsgruppen,,,p,,
soep-core,,,Bildungsniveau,,,p,,
soep-core,,,Bundesland,,,p,,
soep-core,,,Erwerbsstatus,,,p,,
soep-core,,,Aktuelle Haushaltsnummer,,,p,,
soep-core,,,Migrationshintergrund,,,p,,
soep-core,,,Parteineigung,,,p,,
soep-core,,,Aktuelles Bruttoerwerbseinkommen in Euro,,,p,,
soep-core,,,Aktuelles Nettoerwerbseinkommen in Euro,,,p,,
soep-core,,,TatsÃ¤chliche Arbeitszeit pro Woche,This variable provides data on actual weekly working hours (including overtime) for all persons employed at the time of the survey (including the self-employed). The data are obtained by asking respondents how many hours they work on average per week.,"Diese Variable liefert Daten Ã¼ber die tatsÃ¤chliche Wochenarbeitszeit (einschlieÃlich Ãberstunden) fÃ¼r alle zum Zeitpunkt der Erhebung beschÃ¤ftigten Personen (einschlieÃlich der SelbststÃ¤ndigen). Die Daten werden erhoben, indem die Befragten gefragt werden, wie viele Stunden sie im Durchschnitt pro Woche arbeiten.",p,,
soep-core,,,Vereinbarte Arbeitszeit pro Woche,,,p,,
soep-core,,,Hochrechnungsfaktor,,,p,,
soep-core,,,UnverÃ¤nderliche Personennummer,,,p,,
soep-core,,,Sorgen um allgemeine wirtschaftliche Entwicklung,,,p,,
soep-core,,,Sorgen um eigene wirtschaftliche Situation,,,p,,
soep-core,,,Sorgen um StabilitÃ¤t der FinanzmÃ¤rkte,,,p,,
soep-core,,,Sorgen um eigene Gesundheit,,,p,,
soep-core,,,Sorgen um Umweltschutz,,,p,,
soep-core,,,Sorgen um Klimawandelfolgen,,,p,,
soep-core,,,Sorgen um Friedenserhaltung,,,p,,
soep-core,,,Sorgen Ã¼ber globalen Terrorismus,,,p,,
soep-core,,,Sorgen Ã¼ber KriminalitÃ¤tsentwicklung in Deutschland,,,p,,
soep-core,,,Sorgen um Arbeitsplatzsicherheit,,,p,,
soep-core,,,Zufriedenheit mit Schul- und Berufsausbildung,,,p,,
soep-core,,,Allgemeine Lebenszufriedenheit in einem Jahr,,,p,,
soep-core,,,Zufriedenheit mit Gesundheit,,,p,,
soep-core,,,Zufriedenheit mit Schlaf,,,p,,
soep-core,,,Zufriedenheit mit Arbeit,,,p,,
soep-core,,,Zufriedenheit mit Haushalts-TÃ¤tigkeit,,,p,,
soep-core,,,Zufriedenheit mit Haushalts-Einkommen,,,p,,
soep-core,,,Zufriedenheit mit persÃ¶nlichem Einkommen,,,p,,
soep-core,,,Zufriedenheit mit Wohnung,,,p,,
soep-core,,,Zufriedenheit mit Freizeit,,,p,,
soep-core,,,Zufriedenheit mit Kinderbetreuung,,,p,,
soep-core,,,Zufriedenheit mit Familienleben,,,p,,
soep-core,,,"Zufriedenheit mit Freundes-, Bekanntenkreis",,,p,,
soep-core,,,Allgemeine Lebenszufriedenheit gegenwÃ¤rtig,,,p,,
soep-core,,,Allgemeine Lebenszufriedenheit in 5 Jahren,,,p,,
soep-core,,,HÃ¤ufigkeit Aktiver Sport,,,p,,
soep-core,,,"HÃ¤ufigkeit Mithelfen bei Freunden, Verwandten",,,p,,
soep-core,,,"HÃ¤ufigkeit ehrenamtliche TÃ¤tigkeiten in Vereinen, VerbÃ¤nden oder sozialen Dienst",,,p,,
soep-core,,,"HÃ¤ufgkeit Beteiligung in BÃ¼rgerinitiativen, in Parteien, in der Kommunalpolitik",,,p,,
soep-core,,,"HÃ¤ufigkeit Kirchgang, Besuch religiÃ¶ser Veranstaltungen",,,p,,
soep-core,,,Sorgen Ã¼ber Zuwanderung,,,p,,
soep-core,,,Sorgen Ã¼ber AuslÃ¤nderfeindlichkeit,,,p,,
soep-core,,,Stadt/Land,,,p,,
soep-core,,,Ost-/ Westdeutschland,,,p,,
soep-core,,,Geschlecht,,,p,,
soep-core,,,Erhebungsjahr,,,p,,
soep-core,,,Verbraucherpreisindex,,"Der Verbraucherpreisindex fÃ¼r Deutschland misst die durchschnittliche Preisentwicklung aller Waren und Dienstleistungen, die von privaten Haushalten fÃ¼r Konsumzwecke gekauft werden. [Weitere Informationen] (https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Methoden/Erlaeuterungen/verbraucherpreisindex.html)",p,,
soep-core,,,Bundesland,,,h,,
soep-core,,,Anzahl Kinder im HH,,,h,,
soep-core,,,Eigentümer,,,h,,
soep-core,,,Mntl. Ausgaben Lebensmittel,,,h,,
soep-core,,,Anzahl Kinder im HH 0-14 J.,,,h,,
soep-core,,,Mntl. Heiz- und Warmwasserkosten,,,h,,
soep-core,,,Garten,,,h,,
