study,dataset,version,variable,type,template_id,label,label_de,concept,description,description_de,minedition
soep-core,p_statistics,v38.1,age_gr,group,,Age groups,Altersgruppen,geburt,,,
soep-core,p_statistics,v38.1,agre,numerical,,Agreeableness (Big5),Verträglichkeit (Big5),,,,
soep-core,p_statistics,v38.1,bmi,numerical,,Body-Mass-Index,Body-Mass-Index,item_4988,,,
soep-core,p_statistics,v38.1,bula_h,group,,Federal State,Bundesland,bula,,,
soep-core,p_statistics,v38.1,chronill,categorical,,Ever diagnosed a longer-term/chronic illness by a doctor,Jemals längerfristige/chronische Krankheit von Arzt diagnostiziert,pkrno,"This variable is a reverse-coded copy of ple0024 ('No illness'). ple0024 could originally be answered with 'Yes' (No illness) or 'No' (Illness). The item was asked after the following list of illnesses where people could indicate 'Yes' if they had been diagnosed with the respective illness: Sleep disorder (included from 2011 onwards), Diabetes, Asthma, Cardiac disease (also cardiac insufficiency, weak heart), Cancer, Stroke, Migraine, High blood pressure, Depression, Dementia, Joint diseases (including arthritis, rheumatism; included from 2011 onwards), Chronic back trouble (included from 2011 onwards), Burnout (included from 2017 onwards), Thyroid disease (included from 2019 onwards), Other illness.",,
soep-core,p_statistics,v38.1,conc,numerical,,Conscientiousness (Big5),Gewissenhaftigkeit (Big5),,,,
soep-core,p_statistics,v38.1,d11109,numerical,,Number of Years of Education,Number of Years of Education,_pequiv_d11109,,,
soep-core,p_statistics,v38.1,e11103,categorical,,Employment Level of Individual,Beschäftigungsstatus (3-stufig),_pequiv_e11103,,,
soep-core,p_statistics,v38.1,extr,numerical,,Extraversion (Big5),Extraversion (Big5),,,,
soep-core,p_statistics,v38.1,germborn,categorical,,Born in Germany,In Deutschland geboren,germborn,,,
soep-core,p_statistics,v38.1,height,numerical,,Body Height In cm,Body Height in cm,,,,
soep-core,p_statistics,v38.1,hhrf,,,Weighting factor,Hochrechnungsfaktor,,,,
soep-core,p_statistics,v38.1,m11124,categorical,,Disability Status of Individual,Behinderungsstatus,_pequiv_m11124,Disability is here defined as a share of legally attested disability of more than 30%.,,
soep-core,p_statistics,v38.1,m11125,numerical,,Satisfaction with Health,Zufriedenheit mit eigener Gesundheit,_pequiv_m11125,,,
soep-core,p_statistics,v38.1,m11126,categorical,,Current Self-Rated Health Status,Gesundheitszustand,_pequiv_m11126,,,
soep-core,p_statistics,v38.1,migback,group,,Migration background,Migrationshintergrund,migback,,,
soep-core,p_statistics,v38.1,neur,numerical,,Neuroticism (Big5),Neurotizismus (Big5),,,,
soep-core,p_statistics,v38.1,occpos,categorical,,Occupational position,Berufliche Stellung,_pgen_pgstib,,,
soep-core,p_statistics,v38.1,open,numerical,,Openness to experience (Big5),Offenheit (Big5),,,,
soep-core,p_statistics,v38.1,overh,numerical,,Hours of overtime last month,Anzahl Überstunden im letzten Monat,pustd6,"This variable is a copy of plb0197, integrated with plb0196_h. The variable plb0197 is recoded (-2 = 0) for observations where plb0196_h == 0 (Worked overtime? - No).",,
soep-core,p_statistics,v38.1,overyn,categorical,,Worked overtime last month,Überstunden geleistet im letzten Monat,pustd5,"This variable is a copy of plb0196_h, integrated with plb0197. The variable plb0196_h is recoded (-2 = 1) for observations where plb0197 > 0 (Hours of overtime last month > 0).",,
soep-core,p_statistics,v38.1,party,categorical,,Party preference,Parteineigung,ppol3,"Note: from 1998 to 2020,  SOEP interviewers occationally recorded more than one preferred party for some respondents. These cases cannot clearly be assigned to one party or another and were thus subsumed under 'Party combinations'.",,
soep-core,p_statistics,v38.1,pgcasmin,categorical,,Education level (CASMIN Classification),Bildungsniveau (CASMIN-Klassifikation),_pgen_pgcasmin,,,
soep-core,p_statistics,v38.1,pgemplst,categorical,,Employment Status,Beschäftigungsstatus (7-stufig),_pgen_pgemplst,,,
soep-core,p_statistics,v38.1,pgerwzeit,numerical,,Length Of Time With Firm,Dauer der Betriebszugehörigkeit,,,,
soep-core,p_statistics,v38.1,pgfamstd,categorical,,Marital status,Familienstand,_pgen_pgfamstd,"Marital status is describing the institutional status of marriage at the time of the person interview. Marital status is based on information given by the respective person on his or her current relationship as well as on retrospective information about previous relationships asked in the biography questionnaire. Information on marital status when a child was born (provided in the biography information) is not used here, so contradicting information to file BIOBIRTH might still be possible. For those whose partner was identified within the household, marital status is counter-checked with the information given by the partner. Where contradictions can be found, indication of the person information is compiled if reasonable. If no information is available, the indication by position related to head of household is deferred. Remaining contradictions are solved using information on marriage status when a child was born as well as future reports on a given relationship. Marital status is only available for people, who were interviewed. Data on marital status provided here is generated from and hence consistent with the corresponding BIOMARSY file, although value labels differ between PGFAMSTD and SPELLTYP in BIOMARSY. Note that marital status in a specific wave can be different between data distributions due to consistency checks using up-to-date information from following waves. Because of the newly introduced construction process of BIOMARSY, changes might be more than usual. Above, the partner indicator PGPARTZ supplied here in dataset PGEN as well might not match the information provided in PGFAMSTD in its entirety.",,
soep-core,p_statistics,v38.1,pgisced97,group,,ISCED-1997-Classification,ISCED-1997-Klassifikation,,,,
soep-core,p_statistics,v38.1,pglabgro,numerical,,Current Gross Labor Income in Euro,Akt. Bruttoerwerbseink.(gen) in Euro,_pgen_pglabgro,,,
soep-core,p_statistics,v38.1,pglabnet,numerical,,Current Net Labor Income in Euro,Akt. Nettoerwerbseink.(gen) in Euro,_pgen_pglabnet,,,
soep-core,p_statistics,v38.1,pgpsbil,categorical,,School-Leaving Degree,Schulabschluss,,,,
soep-core,p_statistics,v38.1,pgtatzeit,numerical,,Actual Work Time Per Week,Tatsächliche Arbeitszeit pro Woche,_pgen_pgtatzt,This variable provides data on actual weekly working hours (including overtime) for all persons employed at the time of the survey (including the self-employed). The data are obtained by asking respondents how many hours they work on average per week.,"Diese Variable liefert Daten über die tatsächliche Wochenarbeitszeit (einschließlich Überstunden) für alle zum Zeitpunkt der Erhebung beschäftigten Personen (einschließlich der Selbstständigen). Die Daten werden erhoben, indem die Befragten gefragt werden, wie viele Stunden sie im Durchschnitt pro Woche arbeiten.",
soep-core,p_statistics,v38.1,pgvebzeit,numerical,,Agreed Upon Work Time Per Week,Vereinbarte Arbeitszeit pro Woche,_pgen_pgvebzt,,,
