"year","alter_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","direkter Migrationshintergrund","39.8","40","800","39.16","40.44"
"1984","16-34 Jahre alt","indirekter Migrationshintergrund","39.39","40","47","37.21","41.57"
"1984","16-34 Jahre alt","kein Migrationshintergrund ","39.98","40","1852","39.45","40.51"
"1984","35-65 Jahre alt","direkter Migrationshintergrund","38.71","40","1306","38.19","39.23"
"1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1984","35-65 Jahre alt","kein Migrationshintergrund ","40.33","40","2496","39.8","40.86"
"1984","66 und älter","direkter Migrationshintergrund","","","","",""
"1984","66 und älter","indirekter Migrationshintergrund","","","","",""
"1984","66 und älter","kein Migrationshintergrund ","26.74","20","42","21.04","32.44"
"1985","16-34 Jahre alt","direkter Migrationshintergrund","40.24","40","658","39.35","41.13"
"1985","16-34 Jahre alt","indirekter Migrationshintergrund","40.08","40","52","38.64","41.52"
"1985","16-34 Jahre alt","kein Migrationshintergrund ","39.74","40","1786","39.19","40.29"
"1985","35-65 Jahre alt","direkter Migrationshintergrund","39.06","40","1090","38.45","39.67"
"1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1985","35-65 Jahre alt","kein Migrationshintergrund ","39.71","40","2372","39.15","40.27"
"1985","66 und älter","direkter Migrationshintergrund","","","","",""
"1985","66 und älter","indirekter Migrationshintergrund","","","","",""
"1985","66 und älter","kein Migrationshintergrund ","28.62","21.99","36","21.73","35.51"
"1986","16-34 Jahre alt","direkter Migrationshintergrund","39.2","40","644","38.37","40.03"
"1986","16-34 Jahre alt","indirekter Migrationshintergrund","40.3","40","74","38.56","42.04"
"1986","16-34 Jahre alt","kein Migrationshintergrund ","40.28","40","1801","39.76","40.8"
"1986","35-65 Jahre alt","direkter Migrationshintergrund","38.91","40","1080","38.31","39.51"
"1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1986","35-65 Jahre alt","kein Migrationshintergrund ","40.33","40","2184","39.76","40.9"
"1986","66 und älter","direkter Migrationshintergrund","","","","",""
"1986","66 und älter","indirekter Migrationshintergrund","","","","",""
"1986","66 und älter","kein Migrationshintergrund ","","","","",""
"1987","16-34 Jahre alt","direkter Migrationshintergrund","39.87","40","659","39.19","40.55"
"1987","16-34 Jahre alt","indirekter Migrationshintergrund","39.96","40","72","38.77","41.15"
"1987","16-34 Jahre alt","kein Migrationshintergrund ","39.54","40","1822","39.03","40.05"
"1987","35-65 Jahre alt","direkter Migrationshintergrund","39.28","40","1103","38.74","39.82"
"1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1987","35-65 Jahre alt","kein Migrationshintergrund ","39.71","40","2207","39.16","40.26"
"1987","66 und älter","direkter Migrationshintergrund","","","","",""
"1987","66 und älter","indirekter Migrationshintergrund","","","","",""
"1987","66 und älter","kein Migrationshintergrund ","","","","",""
"1988","16-34 Jahre alt","direkter Migrationshintergrund","39.29","40","637","38.52","40.06"
"1988","16-34 Jahre alt","indirekter Migrationshintergrund","36.71","40","100","34.36","39.06"
"1988","16-34 Jahre alt","kein Migrationshintergrund ","39.28","40","1695","38.73","39.83"
"1988","35-65 Jahre alt","direkter Migrationshintergrund","37.82","40","1013","37.16","38.48"
"1988","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1988","35-65 Jahre alt","kein Migrationshintergrund ","39.21","40","2123","38.63","39.79"
"1988","66 und älter","direkter Migrationshintergrund","","","","",""
"1988","66 und älter","indirekter Migrationshintergrund","","","","",""
"1988","66 und älter","kein Migrationshintergrund ","","","","",""
"1989","16-34 Jahre alt","direkter Migrationshintergrund","39.17","40","607","38.42","39.92"
"1989","16-34 Jahre alt","indirekter Migrationshintergrund","38.71","40","110","37.1","40.32"
"1989","16-34 Jahre alt","kein Migrationshintergrund ","39.82","40","1734","39.32","40.32"
"1989","35-65 Jahre alt","direkter Migrationshintergrund","39.08","40","1002","38.5","39.66"
"1989","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1989","35-65 Jahre alt","kein Migrationshintergrund ","40.13","40","2026","39.57","40.69"
"1989","66 und älter","direkter Migrationshintergrund","","","","",""
"1989","66 und älter","indirekter Migrationshintergrund","","","","",""
"1989","66 und älter","kein Migrationshintergrund ","","","","",""
"1990","16-34 Jahre alt","direkter Migrationshintergrund","39.07","40","592","38.28","39.86"
"1990","16-34 Jahre alt","indirekter Migrationshintergrund","37.11","39.47","142","35.48","38.74"
"1990","16-34 Jahre alt","kein Migrationshintergrund ","40.68","40","2946","40.29","41.07"
"1990","35-65 Jahre alt","direkter Migrationshintergrund","39.44","40","1074","38.89","39.99"
"1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1990","35-65 Jahre alt","kein Migrationshintergrund ","40.86","40","3801","40.48","41.24"
"1990","66 und älter","direkter Migrationshintergrund","","","","",""
"1990","66 und älter","indirekter Migrationshintergrund","","","","",""
"1990","66 und älter","kein Migrationshintergrund ","31.8","28.62","35","26.47","37.13"
"1991","16-34 Jahre alt","direkter Migrationshintergrund","39.18","40","570","38.39","39.97"
"1991","16-34 Jahre alt","indirekter Migrationshintergrund","38.35","40","181","36.93","39.77"
"1991","16-34 Jahre alt","kein Migrationshintergrund ","39.78","40","2675","39.38","40.18"
"1991","35-65 Jahre alt","direkter Migrationshintergrund","38.32","40","1063","37.75","38.89"
"1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1991","35-65 Jahre alt","kein Migrationshintergrund ","39.42","40","3504","39.01","39.83"
"1991","66 und älter","direkter Migrationshintergrund","","","","",""
"1991","66 und älter","indirekter Migrationshintergrund","","","","",""
"1991","66 und älter","kein Migrationshintergrund ","","","","",""
"1992","16-34 Jahre alt","direkter Migrationshintergrund","39.14","39","530","38.34","39.94"
"1992","16-34 Jahre alt","indirekter Migrationshintergrund","36.93","38.5","198","35.53","38.33"
"1992","16-34 Jahre alt","kein Migrationshintergrund ","39.78","40","2506","39.4","40.16"
"1992","35-65 Jahre alt","direkter Migrationshintergrund","38.89","39","988","38.3","39.48"
"1992","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1992","35-65 Jahre alt","kein Migrationshintergrund ","39.82","40","3392","39.41","40.23"
"1992","66 und älter","direkter Migrationshintergrund","","","","",""
"1992","66 und älter","indirekter Migrationshintergrund","","","","",""
"1992","66 und älter","kein Migrationshintergrund ","","","","",""
"1993","16-34 Jahre alt","direkter Migrationshintergrund","38.5","39","504","37.7","39.3"
"1993","16-34 Jahre alt","indirekter Migrationshintergrund","38.37","39","251","37.35","39.39"
"1993","16-34 Jahre alt","kein Migrationshintergrund ","39.85","40","2406","39.43","40.27"
"1993","35-65 Jahre alt","direkter Migrationshintergrund","38.05","39","928","37.42","38.68"
"1993","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1993","35-65 Jahre alt","kein Migrationshintergrund ","39.48","40","3283","39.06","39.9"
"1993","66 und älter","direkter Migrationshintergrund","","","","",""
"1993","66 und älter","indirekter Migrationshintergrund","","","","",""
"1993","66 und älter","kein Migrationshintergrund ","","","","",""
"1994","16-34 Jahre alt","direkter Migrationshintergrund","39.34","39","443","38.47","40.21"
"1994","16-34 Jahre alt","indirekter Migrationshintergrund","38.38","39","255","37.25","39.51"
"1994","16-34 Jahre alt","kein Migrationshintergrund ","39.53","40","2319","39.1","39.96"
"1994","35-65 Jahre alt","direkter Migrationshintergrund","37.08","38.5","827","36.38","37.78"
"1994","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1994","35-65 Jahre alt","kein Migrationshintergrund ","39.58","40","3211","39.16","40"
"1994","66 und älter","direkter Migrationshintergrund","","","","",""
"1994","66 und älter","indirekter Migrationshintergrund","","","","",""
"1994","66 und älter","kein Migrationshintergrund ","","","","",""
"1995","16-34 Jahre alt","direkter Migrationshintergrund","38.58","40","547","37.7","39.46"
"1995","16-34 Jahre alt","indirekter Migrationshintergrund","35.96","39","273","34.67","37.25"
"1995","16-34 Jahre alt","kein Migrationshintergrund ","39.82","40","2335","39.38","40.26"
"1995","35-65 Jahre alt","direkter Migrationshintergrund","36.96","38.5","933","36.26","37.66"
"1995","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
