"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","38.24","39","424","37.01","39.47"
"1984","(noch) kein Abschluss","39.14","38.5","591","38.39","39.89"
"1984","AkademikerIn","41.69","41.5","561","40.52","42.86"
"1984","Hauptschule","39.85","39.5","3792","39.48","40.22"
"1984","Realschule","39.71","39.5","1101","38.96","40.46"
"1985","(Fach-)Abitur","36.11","39.5","387","34.63","37.59"
"1985","(noch) kein Abschluss","38.28","39.5","469","37.37","39.19"
"1985","AkademikerIn","42.86","42.5","562","41.83","43.89"
"1985","Hauptschule","39.25","39.5","3412","38.83","39.67"
"1985","Realschule","39.94","39.5","1071","39.2","40.68"
"1986","(Fach-)Abitur","38.34","39.5","394","37.05","39.63"
"1986","(noch) kein Abschluss","38.72","39.5","433","37.76","39.68"
"1986","AkademikerIn","43.51","43.5","540","42.44","44.58"
"1986","Hauptschule","39.56","39.5","3301","39.15","39.97"
"1986","Realschule","40.31","39.5","1041","39.61","41.01"
"1987","(Fach-)Abitur","38.13","39.5","415","36.94","39.32"
"1987","(noch) kein Abschluss","37.72","39.5","446","36.79","38.65"
"1987","AkademikerIn","42.07","41.5","544","40.98","43.16"
"1987","Hauptschule","39.22","39.5","3308","38.83","39.61"
"1987","Realschule","39.7","39.5","1068","39.02","40.38"
"1988","(Fach-)Abitur","37.53","39.5","386","36.29","38.77"
"1988","(noch) kein Abschluss","37.23","39.5","391","36.22","38.24"
"1988","AkademikerIn","42.17","41.5","523","41.14","43.2"
"1988","Hauptschule","38.71","39.5","3124","38.28","39.14"
"1988","Realschule","38.92","39.5","1060","38.2","39.64"
"1989","(Fach-)Abitur","37.99","39.5","396","36.75","39.23"
"1989","(noch) kein Abschluss","36.92","39.5","381","35.91","37.93"
"1989","AkademikerIn","42.76","42.5","525","41.78","43.74"
"1989","Hauptschule","39.69","39.5","3052","39.29","40.09"
"1989","Realschule","39.68","39.5","1040","39.04","40.32"
"1990","(Fach-)Abitur","38.45","39.75","467","37.4","39.5"
"1990","(noch) kein Abschluss","37.48","38.75","366","36.5","38.46"
"1990","AkademikerIn","43","44.75","1319","42.43","43.57"
"1990","Hauptschule","39.76","39.75","3993","39.41","40.11"
"1990","Realschule","41.49","40.4","2308","41.07","41.91"
"1991","(Fach-)Abitur","38.4","39.75","488","37.32","39.48"
"1991","(noch) kein Abschluss","35.67","38.25","387","34.56","36.78"
"1991","AkademikerIn","41.68","41.75","1225","41.06","42.3"
"1991","Hauptschule","38.86","39.75","3675","38.49","39.23"
"1991","Realschule","39.49","39.9","2095","39.03","39.95"
"1992","(Fach-)Abitur","38.01","39.75","486","36.97","39.05"
"1992","(noch) kein Abschluss","36.83","38.25","347","35.78","37.88"
"1992","AkademikerIn","41.86","41.75","1187","41.24","42.48"
"1992","Hauptschule","39.25","39.75","3396","38.88","39.62"
"1992","Realschule","39.73","39.75","2057","39.29","40.17"
"1993","(Fach-)Abitur","37.94","39.75","487","36.87","39.01"
"1993","(noch) kein Abschluss","38.61","38.75","326","37.55","39.67"
"1993","AkademikerIn","41.83","41.75","1158","41.19","42.47"
"1993","Hauptschule","38.58","39.75","3191","38.19","38.97"
"1993","Realschule","39.87","39.75","2055","39.39","40.35"
"1994","(Fach-)Abitur","38.13","38.75","506","37.04","39.22"
"1994","(noch) kein Abschluss","37.94","38.25","292","36.66","39.22"
"1994","AkademikerIn","41.67","41.75","1187","41.02","42.32"
"1994","Hauptschule","38.6","39.9","2918","38.19","39.01"
"1994","Realschule","39.57","39.75","1988","39.1","40.04"
"1995","(Fach-)Abitur","36.89","39.75","593","35.84","37.94"
"1995","(noch) kein Abschluss","36.1","37.75","267","34.76","37.44"
"1995","AkademikerIn","41.45","41.75","1309","40.81","42.09"
"1995","Hauptschule","38.31","39.75","2979","37.88","38.74"
"1995","Realschule","39.52","39.75","2131","39.04","40"
"1996","(Fach-)Abitur","37.61","39.75","590","36.6","38.62"
"1996","(noch) kein Abschluss","35.92","37.75","241","34.58","37.26"
"1996","AkademikerIn","41.81","41.5","1269","41.18","42.44"
"1996","Hauptschule","38.23","39.75","2812","37.79","38.67"
"1996","Realschule","39.22","39.75","2095","38.74","39.7"
"1997","(Fach-)Abitur","37.7","39.75","601","36.68","38.72"
"1997","(noch) kein Abschluss","35.25","37.4","222","33.86","36.64"
"1997","AkademikerIn","42.17","42.25","1288","41.55","42.79"
"1997","Hauptschule","38.64","39.75","2700","38.19","39.09"
"1997","Realschule","39.79","39.75","2071","39.28","40.3"
"1998","(Fach-)Abitur","36.41","39.75","675","35.42","37.4"
"1998","(noch) kein Abschluss","36.39","38.25","201","34.6","38.18"
"1998","AkademikerIn","41.94","41.75","1398","41.34","42.54"
"1998","Hauptschule","38.56","39.75","2807","38.11","39.01"
"1998","Realschule","39.74","39.95","2270","39.26","40.22"
"1999","(Fach-)Abitur","36.55","39.75","711","35.53","37.57"
"1999","(noch) kein Abschluss","33.65","37.25","235","31.87","35.43"
"1999","AkademikerIn","41.3","41.75","1459","40.69","41.91"
"1999","Hauptschule","38.15","39.75","2839","37.68","38.62"
"1999","Realschule","38.85","39.75","2360","38.37","39.33"
"2000","(Fach-)Abitur","37.12","39.75","1373","36.39","37.85"
"2000","(noch) kein Abschluss","32.11","38.25","188","29.88","34.34"
"2000","AkademikerIn","41.92","41.75","2683","41.45","42.39"
"2000","Hauptschule","37.81","39.75","4707","37.44","38.18"
"2000","Realschule","39.06","39.75","4285","38.69","39.43"
"2001","(Fach-)Abitur","36.98","39.75","1332","36.22","37.74"
"2001","(noch) kein Abschluss","28.51","35.25","188","26.06","30.96"
"2001","AkademikerIn","41.67","41.75","2510","41.19","42.15"
"2001","Hauptschule","37.79","39.75","4170","37.4","38.18"
"2001","Realschule","39.06","39.9","3972","38.68","39.44"
"2002","(Fach-)Abitur","36.8","39.75","1472","36.08","37.52"
"2002","(noch) kein Abschluss","28.88","33.25","169","26.26","31.5"
"2002","AkademikerIn","41.97","41.75","3292","41.53","42.41"
"2002","Hauptschule","36.84","39.75","3834","36.42","37.26"
"2002","Realschule","38.51","39.75","4064","38.13","38.89"
"2003","(Fach-)Abitur","35.64","39.75","1457","34.9","36.38"
"2003","(noch) kein Abschluss","29.38","36.5","140","26.47","32.29"
"2003","AkademikerIn","41.38","41.9","3099","40.92","41.84"
"2003","Hauptschule","36.66","38.75","3575","36.22","37.1"
"2003","Realschule","38.16","39.75","3911","37.77","38.55"
"2004","(Fach-)Abitur","35.73","39.75","1445","34.99","36.47"
"2004","(noch) kein Abschluss","28.26","33.5","128","25.1","31.42"
"2004","AkademikerIn","41.07","41.75","3019","40.61","41.53"
"2004","Hauptschule","36.44","39.75","3330","35.98","36.9"
"2004","Realschule","38.24","39.75","3734","37.84","38.64"
"2005","(Fach-)Abitur","35.67","39.75","1376","34.9","36.44"
"2005","(noch) kein Abschluss","29.05","36.75","116","25.75","32.35"
"2005","AkademikerIn","41.13","41.75","2857","40.66","41.6"
"2005","Hauptschule","36.63","39.75","3056","36.15","37.11"
"2005","Realschule","38.64","39.75","3580","38.23","39.05"
"2006","(Fach-)Abitur","35.91","39.75","1439","35.17","36.65"
"2006","(noch) kein Abschluss","33.15","37.75","108","29.6","36.7"
"2006","AkademikerIn","41.47","42.25","3084","41.01","41.93"
"2006","Hauptschule","36.75","39.75","3193","36.28","37.22"
"2006","Realschule","38.6","39.95","3775","38.19","39.01"
"2007","(Fach-)Abitur","35.87","39.75","1428","35.11","36.63"
"2007","(noch) kein Abschluss","31.6","37.25","92","28.01","35.19"
"2007","AkademikerIn","41.43","42.25","2957","40.95","41.91"
"2007","Hauptschule","37.04","39.75","2952","36.54","37.54"
"2007","Realschule","38.77","39.9","3595","38.35","39.19"
"2008","(Fach-)Abitur","35.59","39.75","1342","34.83","36.35"
"2008","(noch) kein Abschluss","29.82","34","95","26.25","33.39"
"2008","AkademikerIn","41.47","41.75","2797","41","41.94"
"2008","Hauptschule","36.86","39.75","2746","36.34","37.38"
"2008","Realschule","38.23","39.75","3451","37.8","38.66"
"2009","(Fach-)Abitur","35.39","39.85","1255","34.61","36.17"
"2009","(noch) kein Abschluss","28.98","31","87","25.18","32.78"
"2009","AkademikerIn","40.74","41.75","2687","40.24","41.24"
"2009","Hauptschule","36.88","39.9","2461","36.33","37.43"
"2009","Realschule","38.43","39.95","3252","37.98","38.88"
"2010","(Fach-)Abitur","35.05","39.75","1867","34.38","35.72"
"2010","(noch) kein Abschluss","28.86","35.5","149","25.83","31.89"
"2010","AkademikerIn","40.48","41.75","3604","40.04","40.92"
"2010","Hauptschule","35.71","39.75","3236","35.21","36.21"
"2010","Realschule","38","39.75","4478","37.6","38.4"
"2011","(Fach-)Abitur","35.73","39.85","2275","35.14","36.32"
"2011","(noch) kein Abschluss","32.88","39.9","220","30.45","35.31"
"2011","AkademikerIn","41.22","41.75","4355","40.82","41.62"
"2011","Hauptschule","36.83","39.75","3871","36.38","37.28"
"2011","Realschule","38.72","39.9","5413","38.36","39.08"
"2012","(Fach-)Abitur","35.51","39.9","2350","34.95","36.07"
"2012","(noch) kein Abschluss","28.83","29.25","238","26.45","31.21"
"2012","AkademikerIn","40.54","41.75","4255","40.15","40.93"
"2012","Hauptschule","36.4","39.75","3825","35.94","36.86"
"2012","Realschule","38.22","39.85","5285","37.86","38.58"
"2013","(Fach-)Abitur","35.58","39.75","3002","35.08","36.08"
"2013","(noch) kein Abschluss","27.95","25.5","380","26.23","29.67"
"2013","AkademikerIn","39.79","41.75","4856","39.41","40.17"
"2013","Hauptschule","36.3","39.9","4516","35.88","36.72"
"2013","Realschule","38.03","39.75","5393","37.68","38.38"
"2014","(Fach-)Abitur","35.36","39.75","2705","34.84","35.88"
"2014","(noch) kein Abschluss","29.94","33.5","264","27.83","32.05"
