year,migback,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,Pre-primary Level,,,,,,,,,,,,
1984,No migration background,Primary Level,30,38.24765077610185,36.029484621498156,40.46581693070554,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,No migration background,Lower Secondary Level,777,36.75790027926853,36.30512191351426,37.2106786450228,30.0,40.0,40.0,15.0,55.0,40.0,40.0,40.0
1984,No migration background,Upper Secondary Level,2554,40.36802262889439,40.139075898677774,40.596969359111,40.0,40.0,45.0,32.5,52.5,40.0,40.0,40.0
1984,No migration background,Post-secondary Non-tertiary Level,113,42.34068030240295,41.20083992098029,43.48052068382561,40.0,40.0,49.458333699907605,25.812499450138592,63.64583424976901,40.0,38.0,40.0
1984,No migration background,First Stage of Tertiary Education,389,41.80468539629173,41.12973022063,42.47964057195346,40.0,40.0,50.0,25.0,65.0,40.0,37.0,40.0
1984,No migration background,Second Stage of Tertiary Education,479,41.880747178244015,41.27730265803966,42.48419169844837,40.0,42.0,50.0,25.0,65.0,42.0,41.0,43.025
1984,Direct migration background,Pre-primary Level,,,,,,,,,,,,
1984,Direct migration background,Primary Level,499,39.275398204753756,38.82867660615833,39.72211980334918,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,Direct migration background,Lower Secondary Level,636,37.65347047319745,37.3027502796984,38.0041906666965,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,Direct migration background,Upper Secondary Level,696,39.556822545988716,39.19562107082141,39.91802402115602,40.0,40.0,42.0,37.0,45.0,40.0,40.0,40.0
1984,Direct migration background,Post-secondary Non-tertiary Level,83,40.77090996972856,40.14674197711252,41.395077962344594,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,Direct migration background,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Direct migration background,Second Stage of Tertiary Education,79,40.63184846968891,38.96759855866234,42.296098380715485,35.0,40.0,50.0,12.5,72.5,40.0,39.0,40.0
