"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","3.9","3.83","2291","3.85","3.95"
"2005","(noch) kein Abschluss","3.9","3.83","901","3.82","3.98"
"2005","AkademikerIn","3.79","3.58","4158","3.75","3.83"
"2005","Hauptschule","4.09","3.83","7536","4.06","4.12"
"2005","Realschule","3.99","3.83","5370","3.96","4.02"
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","3.83","3.58","1997","3.78","3.88"
"2009","(noch) kein Abschluss","3.99","3.83","480","3.88","4.1"
"2009","AkademikerIn","3.69","3.58","4022","3.65","3.73"
"2009","Hauptschule","3.95","3.83","6178","3.92","3.98"
"2009","Realschule","3.88","3.83","4795","3.85","3.91"
"2010","(Fach-)Abitur","","","","",""
"2010","(noch) kein Abschluss","","","","",""
"2010","AkademikerIn","","","","",""
"2010","Hauptschule","","","","",""
"2010","Realschule","","","","",""
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","3.89","3.83","1123","3.82","3.96"
"2012","(noch) kein Abschluss","4.03","3.83","348","3.89","4.17"
"2012","AkademikerIn","3.71","3.5","1494","3.65","3.77"
"2012","Hauptschule","4.09","3.83","1708","4.03","4.15"
"2012","Realschule","3.94","3.83","2295","3.89","3.99"
"2013","(Fach-)Abitur","3.66","3.5","2211","3.61","3.71"
"2013","(noch) kein Abschluss","3.97","3.83","482","3.86","4.08"
"2013","AkademikerIn","3.57","3.58","4456","3.53","3.61"
"2013","Hauptschule","3.89","3.83","6177","3.86","3.92"
"2013","Realschule","3.78","3.58","5030","3.75","3.81"
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","","","","",""
"2015","(noch) kein Abschluss","","","","",""
"2015","AkademikerIn","","","","",""
"2015","Hauptschule","","","","",""
"2015","Realschule","","","","",""
"2016","(Fach-)Abitur","","","","",""
"2016","(noch) kein Abschluss","","","","",""
"2016","AkademikerIn","","","","",""
"2016","Hauptschule","","","","",""
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","3.81","3.58","4520","3.77","3.85"
"2017","(noch) kein Abschluss","4.02","3.83","1652","3.96","4.08"
"2017","AkademikerIn","3.61","3.58","6927","3.58","3.64"
"2017","Hauptschule","3.89","3.83","7614","3.86","3.92"
"2017","Realschule","3.87","3.83","6941","3.84","3.9"
"2018","(Fach-)Abitur","","","","",""
"2018","(noch) kein Abschluss","","","","",""
"2018","AkademikerIn","","","","",""
"2018","Hauptschule","","","","",""
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","3.6","3.5","4156","3.56","3.64"
"2019","(noch) kein Abschluss","3.92","3.83","777","3.83","4.01"
"2019","AkademikerIn","3.42","3.17","7037","3.39","3.45"
"2019","Hauptschule","3.68","3.58","6200","3.65","3.71"
"2019","Realschule","3.64","3.58","6748","3.61","3.67"
