year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,,,,,,,,,,,,
2002,Direct migration background,,,,,,,,,,,,
2002,Indirect migration background,,,,,,,,,,,,
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,,,,,,,,,,,,
2004,Direct migration background,,,,,,,,,,,,
2004,Indirect migration background,,,,,,,,,,,,
2005,No migration background,17334,3.98187,3.96343,4.00032,3.00000,4.00000,4.66667,1.0,7.0,4.0,4.00000,4.00000
2005,Direct migration background,2329,4.08448,4.03507,4.13388,3.33333,4.00000,5.00000,1.0,7.0,4.0,4.00000,4.00000
2005,Indirect migration background,817,3.85828,3.77866,3.93790,3.00000,4.00000,4.66667,1.0,7.0,4.0,3.66667,4.00000
2006,No migration background,,,,,,,,,,,,
2006,Direct migration background,,,,,,,,,,,,
2006,Indirect migration background,,,,,,,,,,,,
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,,,,,,,,,,,,
2008,Direct migration background,,,,,,,,,,,,
2008,Indirect migration background,,,,,,,,,,,,
2009,No migration background,15471,3.85750,3.83813,3.87687,3.00000,4.00000,4.66667,1.0,7.0,4.0,3.66667,4.00000
2009,Direct migration background,1627,3.97962,3.91997,4.03927,3.00000,4.00000,4.66667,1.0,7.0,4.0,4.00000,4.00000
2009,Indirect migration background,705,3.71180,3.62308,3.80052,3.00000,3.66667,4.33333,1.0,6.33333,3.6666667,3.66667,4.00000
2010,No migration background,,,,,,,,,,,,
2010,Direct migration background,,,,,,,,,,,,
2010,Indirect migration background,,,,,,,,,,,,
2011,No migration background,,,,,,,,,,,,
2011,Direct migration background,,,,,,,,,,,,
2011,Indirect migration background,,,,,,,,,,,,
2012,No migration background,5507,3.88440,3.85106,3.91774,3.00000,4.00000,4.66667,1.0,7.0,4.0,3.66667,4.00000
2012,Direct migration background,1178,4.04222,3.97086,4.11358,3.33333,4.00000,5.00000,1.0,7.0,4.0,4.00000,4.00000
2012,Indirect migration background,422,3.98546,3.86490,4.10602,3.00000,4.00000,5.00000,1.0,7.0,4.0,3.66667,4.00000
2013,No migration background,16268,3.75623,3.73745,3.77501,3.00000,3.66667,4.66667,1.0,7.0,3.6666667,3.66667,3.66667
2013,Direct migration background,1723,3.90767,3.84852,3.96681,3.00000,4.00000,4.66667,1.0,7.0,4.0,3.66667,4.00000
2013,Indirect migration background,693,3.64650,3.55324,3.73977,2.66667,3.66667,4.33333,1.0,6.83333,3.6666667,3.33333,3.66667
2014,No migration background,,,,,,,,,,,,
2014,Direct migration background,,,,,,,,,,,,
2014,Indirect migration background,,,,,,,,,,,,
2015,No migration background,,,,,,,,,,,,
2015,Direct migration background,,,,,,,,,,,,
2015,Indirect migration background,,,,,,,,,,,,
2016,No migration background,,,,,,,,,,,,
2016,Direct migration background,,,,,,,,,,,,
2016,Indirect migration background,,,,,,,,,,,,
2017,No migration background,20030,3.79356,3.77648,3.81065,3.00000,3.66667,4.66667,1.0,7.0,3.6666667,3.66667,3.66667
2017,Direct migration background,6879,3.92778,3.89812,3.95744,3.00000,4.00000,4.66667,1.0,7.0,4.0,4.00000,4.00000
2017,Indirect migration background,1620,3.86787,3.80914,3.92661,3.00000,4.00000,4.66667,1.0,7.0,4.0,3.66667,4.00000
2018,No migration background,,,,,,,,,,,,
2018,Direct migration background,,,,,,,,,,,,
2018,Indirect migration background,,,,,,,,,,,,
2019,No migration background,19992,3.57354,3.55603,3.59105,2.66667,3.66667,4.33333,1.0,6.83333,3.6666667,3.66667,3.66667
2019,Direct migration background,3984,3.72404,3.68469,3.76339,3.00000,3.66667,4.66667,1.0,7.0,3.6666667,3.66667,3.66667
2019,Indirect migration background,1559,3.64552,3.58384,3.70719,2.66667,3.66667,4.33333,1.0,6.83333,3.6666667,3.33333,3.66667
2020,No migration background,,,,,,,,,,,,
2020,Direct migration background,,,,,,,,,,,,
2020,Indirect migration background,,,,,,,,,,,,
2021,No migration background,,,,,,,,,,,,
2021,Direct migration background,,,,,,,,,,,,
2021,Indirect migration background,,,,,,,,,,,,
2022,No migration background,,,,,,,,,,,,
2022,Direct migration background,,,,,,,,,,,,
2022,Indirect migration background,,,,,,,,,,,,
