"year","bildungsniveau","bula_h","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","Baden-Württemberg","3.83","3.83","296","3.69","3.97"
"2005","(Fach-)Abitur","Bayern","3.81","3.58","277","3.67","3.95"
"2005","(Fach-)Abitur","Berlin","3.89","3.83","112","3.68","4.1"
"2005","(Fach-)Abitur","Brandenburg","4.02","4.17","77","3.77","4.27"
"2005","(Fach-)Abitur","Bremen","","","","",""
"2005","(Fach-)Abitur","Hamburg","3.75","3.83","49","3.4","4.1"
"2005","(Fach-)Abitur","Hessen","4.07","3.83","182","3.88","4.26"
"2005","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"2005","(Fach-)Abitur","Niedersachsen","3.78","3.5","171","3.59","3.97"
"2005","(Fach-)Abitur","Nordrhein-Westfalen","4.01","3.83","632","3.91","4.11"
"2005","(Fach-)Abitur","Rheinland-Pfalz,Saarland","3.87","3.5","127","3.66","4.08"
"2005","(Fach-)Abitur","Sachsen","3.7","3.5","121","3.51","3.89"
"2005","(Fach-)Abitur","Sachsen-Anhalt","3.98","3.83","70","3.74","4.22"
"2005","(Fach-)Abitur","Schleswig-Holstein","3.62","3.5","75","3.28","3.96"
"2005","(Fach-)Abitur","Thüringen","4.05","3.83","66","3.77","4.33"
"2005","(noch) kein Abschluss","Baden-Württemberg","3.84","3.5","155","3.63","4.05"
"2005","(noch) kein Abschluss","Bayern","3.84","3.5","110","3.63","4.05"
"2005","(noch) kein Abschluss","Berlin","4.37","4.17","35","3.89","4.85"
"2005","(noch) kein Abschluss","Brandenburg","4.28","4.17","30","3.93","4.63"
"2005","(noch) kein Abschluss","Bremen","","","","",""
"2005","(noch) kein Abschluss","Hamburg","","","","",""
"2005","(noch) kein Abschluss","Hessen","4.18","4.17","56","3.81","4.55"
"2005","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"2005","(noch) kein Abschluss","Niedersachsen","3.81","3.83","83","3.55","4.07"
"2005","(noch) kein Abschluss","Nordrhein-Westfalen","3.97","3.83","215","3.8","4.14"
"2005","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","4.01","3.5","44","3.6","4.42"
