year,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,"No, never",0.25534,6802,10898,0.24715,0.26353
2005,"Yes, every week",0.02409,641,10898,0.02121,0.02697
2005,"Yes, every 2 weeks",0.03750,914,10898,0.03393,0.04107
2005,"Yes, every 3-4 weeks",0.02281,570,10898,0.02001,0.02561
2005,"Yes, less frequently",0.07237,1971,10898,0.06750,0.07723
2007,"No, never",0.26228,6768,11076,0.25409,0.27048
2007,"Yes, every week",0.02690,725,11076,0.02388,0.02991
2007,"Yes, every 2 weeks",0.03859,940,11076,0.03500,0.04217
2007,"Yes, every 3-4 weeks",0.02329,593,11076,0.02048,0.02610
2007,"Yes, less frequently",0.07878,2050,11076,0.07376,0.08379
2009,"No, never",0.26173,5868,9811,0.25303,0.27043
2009,"Yes, every week",0.03112,687,9811,0.02769,0.03456
2009,"Yes, every 2 weeks",0.03782,845,9811,0.03404,0.04159
2009,"Yes, every 3-4 weeks",0.02633,549,9811,0.02316,0.02949
2009,"Yes, less frequently",0.08469,1862,9811,0.07918,0.09020
2011,"No, never",0.27577,9909,16443,0.26893,0.28260
2011,"Yes, every week",0.03242,1185,16443,0.02971,0.03512
2011,"Yes, every 2 weeks",0.04351,1606,16443,0.04039,0.04663
2011,"Yes, every 3-4 weeks",0.02430,960,16443,0.02195,0.02665
2011,"Yes, less frequently",0.07951,2783,16443,0.07538,0.08365
2013,"No, never",0.25039,9301,15282,0.24352,0.25726
2013,"Yes, every week",0.02573,1002,15282,0.02322,0.02824
2013,"Yes, every 2 weeks",0.04040,1495,15282,0.03728,0.04353
2013,"Yes, every 3-4 weeks",0.02286,800,15282,0.02049,0.02523
2013,"Yes, less frequently",0.08038,2684,15282,0.07607,0.08469
2015,"No, never",0.27788,9186,15069,0.27072,0.28503
2015,"Yes, every week",0.03008,1016,15069,0.02735,0.03281
2015,"Yes, every 2 weeks",0.04737,1507,15069,0.04398,0.05077
2015,"Yes, every 3-4 weeks",0.02683,806,15069,0.02425,0.02941
2015,"Yes, less frequently",0.08508,2554,15069,0.08062,0.08953
2017,"No, never",0.30339,10443,16520,0.29638,0.31040
2017,"Yes, every week",0.03161,1117,16520,0.02895,0.03428
2017,"Yes, every 2 weeks",0.04655,1613,16520,0.04333,0.04976
2017,"Yes, every 3-4 weeks",0.02867,1033,16520,0.02613,0.03122
2017,"Yes, less frequently",0.07506,2314,16520,0.07104,0.07908
2019,"No, never",0.31225,10193,16659,0.30521,0.31929
2019,"Yes, every week",0.03252,1197,16659,0.02983,0.03521
2019,"Yes, every 2 weeks",0.04795,1619,16659,0.04470,0.05119
2019,"Yes, every 3-4 weeks",0.02785,1022,16659,0.02535,0.03035
2019,"Yes, less frequently",0.07620,2628,16659,0.07217,0.08023
2021,"No, never",0.26226,6543,10547,0.25386,0.27065
2021,"Yes, every week",0.02632,778,10547,0.02327,0.02938
2021,"Yes, every 2 weeks",0.04012,1086,10547,0.03638,0.04387
2021,"Yes, every 3-4 weeks",0.02267,579,10547,0.01983,0.02551
2021,"Yes, less frequently",0.06128,1561,10547,0.05670,0.06586
