year,age_gr,regtyp,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,Urban regions,"No, never",0.36087,894,1285,0.33460,0.38714
2005,17-29 y.,Urban regions,"Yes, every week",0.02401,63,1285,0.01563,0.03238
2005,17-29 y.,Urban regions,"Yes, every 2 weeks",0.05106,121,1285,0.03902,0.06310
2005,17-29 y.,Urban regions,"Yes, every 3-4 weeks",0.02932,66,1285,0.02009,0.03855
2005,17-29 y.,Urban regions,"Yes, less frequently",0.05896,141,1285,0.04607,0.07184
2005,17-29 y.,Rural regions,"No, never",0.32465,431,648,0.28857,0.36073
2005,17-29 y.,Rural regions,"Yes, every week",0.02907,32,648,0.01613,0.04202
2005,17-29 y.,Rural regions,"Yes, every 2 weeks",0.04830,58,648,0.03178,0.06482
2005,17-29 y.,Rural regions,"Yes, every 3-4 weeks",0.03447,38,648,0.02041,0.04852
2005,17-29 y.,Rural regions,"Yes, less frequently",0.07322,89,648,0.05315,0.09329
2005,30-45 y.,Urban regions,"No, never",0.45652,1978,3198,0.43926,0.47379
2005,30-45 y.,Urban regions,"Yes, every week",0.03587,151,3198,0.02942,0.04232
2005,30-45 y.,Urban regions,"Yes, every 2 weeks",0.07068,273,3198,0.06179,0.07956
2005,30-45 y.,Urban regions,"Yes, every 3-4 weeks",0.04374,172,3198,0.03665,0.05083
2005,30-45 y.,Urban regions,"Yes, less frequently",0.14919,624,3198,0.13684,0.16154
2005,30-45 y.,Rural regions,"No, never",0.39393,826,1435,0.36864,0.41922
2005,30-45 y.,Rural regions,"Yes, every week",0.05498,88,1435,0.04318,0.06677
2005,30-45 y.,Rural regions,"Yes, every 2 weeks",0.07367,139,1435,0.06015,0.08720
2005,30-45 y.,Rural regions,"Yes, every 3-4 weeks",0.04080,90,1435,0.03056,0.05104
2005,30-45 y.,Rural regions,"Yes, less frequently",0.14312,292,1435,0.12499,0.16124
2005,46-65 y.,Urban regions,"No, never",0.35960,1754,2821,0.34189,0.37731
2005,46-65 y.,Urban regions,"Yes, every week",0.03406,193,2821,0.02737,0.04076
2005,46-65 y.,Urban regions,"Yes, every 2 weeks",0.04722,200,2821,0.03939,0.05505
2005,46-65 y.,Urban regions,"Yes, every 3-4 weeks",0.02740,131,2821,0.02137,0.03342
2005,46-65 y.,Urban regions,"Yes, less frequently",0.10369,543,2821,0.09244,0.11495
2005,46-65 y.,Rural regions,"No, never",0.32373,827,1383,0.29906,0.34840
2005,46-65 y.,Rural regions,"Yes, every week",0.03501,100,1383,0.02532,0.04471
2005,46-65 y.,Rural regions,"Yes, every 2 weeks",0.04460,118,1383,0.03371,0.05548
2005,46-65 y.,Rural regions,"Yes, every 3-4 weeks",0.03216,73,1383,0.02286,0.04146
2005,46-65 y.,Rural regions,"Yes, less frequently",0.09011,265,1383,0.07501,0.10520
2005,66 and older,Urban regions,"No, never",0.02080,65,65,-0.01417,0.05576
2007,17-29 y.,Urban regions,"No, never",0.35298,842,1220,0.32615,0.37981
2007,17-29 y.,Urban regions,"Yes, every week",0.02555,58,1220,0.01669,0.03441
2007,17-29 y.,Urban regions,"Yes, every 2 weeks",0.05663,109,1220,0.04365,0.06960
2007,17-29 y.,Urban regions,"Yes, every 3-4 weeks",0.02404,58,1220,0.01544,0.03264
2007,17-29 y.,Urban regions,"Yes, less frequently",0.06396,153,1220,0.05022,0.07769
2007,17-29 y.,Rural regions,"No, never",0.34173,437,639,0.30492,0.37853
2007,17-29 y.,Rural regions,"Yes, every week",0.03171,42,639,0.01811,0.04530
2007,17-29 y.,Rural regions,"Yes, every 2 weeks",0.06500,70,639,0.04587,0.08413
2007,17-29 y.,Rural regions,"Yes, less frequently",0.07843,90,639,0.05757,0.09929
2007,30-45 y.,Urban regions,"No, never",0.46820,1867,3055,0.45051,0.48590
2007,30-45 y.,Urban regions,"Yes, every week",0.04439,178,3055,0.03709,0.05169
2007,30-45 y.,Urban regions,"Yes, every 2 weeks",0.06751,256,3055,0.05861,0.07641
2007,30-45 y.,Urban regions,"Yes, every 3-4 weeks",0.04580,169,3055,0.03839,0.05322
2007,30-45 y.,Urban regions,"Yes, less frequently",0.15430,585,3055,0.14149,0.16711
2007,30-45 y.,Rural regions,"No, never",0.43418,859,1496,0.40905,0.45930
2007,30-45 y.,Rural regions,"Yes, every week",0.04756,90,1496,0.03677,0.05835
2007,30-45 y.,Rural regions,"Yes, every 2 weeks",0.08276,156,1496,0.06879,0.09672
2007,30-45 y.,Rural regions,"Yes, every 3-4 weeks",0.04654,88,1496,0.03586,0.05721
2007,30-45 y.,Rural regions,"Yes, less frequently",0.16216,303,1496,0.14347,0.18084
2007,46-65 y.,Urban regions,"No, never",0.37685,1787,2964,0.35940,0.39430
2007,46-65 y.,Urban regions,"Yes, every week",0.04214,224,2964,0.03490,0.04937
2007,46-65 y.,Urban regions,"Yes, every 2 weeks",0.04369,209,2964,0.03633,0.05105
2007,46-65 y.,Urban regions,"Yes, every 3-4 weeks",0.02872,147,2964,0.02270,0.03473
2007,46-65 y.,Urban regions,"Yes, less frequently",0.11779,597,2964,0.10618,0.12939
2007,46-65 y.,Rural regions,"No, never",0.33966,873,1513,0.31579,0.36353
2007,46-65 y.,Rural regions,"Yes, every week",0.04244,117,1513,0.03228,0.05260
2007,46-65 y.,Rural regions,"Yes, every 2 weeks",0.05175,134,1513,0.04058,0.06291
2007,46-65 y.,Rural regions,"Yes, every 3-4 weeks",0.04339,100,1513,0.03312,0.05366
2007,46-65 y.,Rural regions,"Yes, less frequently",0.10557,289,1513,0.09008,0.12105
2007,66 and older,Urban regions,"No, never",0.01772,62,62,-0.01539,0.05084
2007,66 and older,Rural regions,"No, never",0.03130,41,41,-0.02266,0.08527
2009,17-29 y.,Urban regions,"No, never",0.36016,703,1080,0.33152,0.38881
2009,17-29 y.,Urban regions,"Yes, every week",0.03446,68,1080,0.02358,0.04535
2009,17-29 y.,Urban regions,"Yes, every 2 weeks",0.04333,95,1080,0.03119,0.05548
2009,17-29 y.,Urban regions,"Yes, every 3-4 weeks",0.03691,61,1080,0.02566,0.04816
2009,17-29 y.,Urban regions,"Yes, less frequently",0.07571,153,1080,0.05993,0.09149
2009,17-29 y.,Rural regions,"No, never",0.35202,361,499,0.31007,0.39397
2009,17-29 y.,Rural regions,"Yes, every 2 weeks",0.05514,56,499,0.03509,0.07519
2009,17-29 y.,Rural regions,"Yes, less frequently",0.08250,82,499,0.05834,0.10667
2009,30-45 y.,Urban regions,"No, never",0.44881,1490,2484,0.42924,0.46837
2009,30-45 y.,Urban regions,"Yes, every week",0.05338,151,2484,0.04454,0.06222
2009,30-45 y.,Urban regions,"Yes, every 2 weeks",0.06744,208,2484,0.05757,0.07730
2009,30-45 y.,Urban regions,"Yes, every 3-4 weeks",0.05202,133,2484,0.04328,0.06075
2009,30-45 y.,Urban regions,"Yes, less frequently",0.16966,502,2484,0.15490,0.18442
2009,30-45 y.,Rural regions,"No, never",0.41649,740,1273,0.38940,0.44358
2009,30-45 y.,Rural regions,"Yes, every week",0.05088,87,1273,0.03880,0.06296
2009,30-45 y.,Rural regions,"Yes, every 2 weeks",0.07242,117,1273,0.05817,0.08666
2009,30-45 y.,Rural regions,"Yes, every 3-4 weeks",0.04726,78,1273,0.03560,0.05892
2009,30-45 y.,Rural regions,"Yes, less frequently",0.16703,251,1273,0.14653,0.18753
2009,46-65 y.,Urban regions,"No, never",0.37890,1606,2735,0.36071,0.39708
2009,46-65 y.,Urban regions,"Yes, every week",0.05249,221,2735,0.04413,0.06085
2009,46-65 y.,Urban regions,"Yes, every 2 weeks",0.04920,211,2735,0.04109,0.05730
2009,46-65 y.,Urban regions,"Yes, every 3-4 weeks",0.03035,151,2735,0.02392,0.03679
2009,46-65 y.,Urban regions,"Yes, less frequently",0.12443,546,2735,0.11205,0.13680
2009,46-65 y.,Rural regions,"No, never",0.36275,848,1483,0.33827,0.38723
2009,46-65 y.,Rural regions,"Yes, every week",0.04158,115,1483,0.03141,0.05174
2009,46-65 y.,Rural regions,"Yes, every 2 weeks",0.05887,146,1483,0.04689,0.07086
2009,46-65 y.,Rural regions,"Yes, every 3-4 weeks",0.04069,93,1483,0.03063,0.05075
2009,46-65 y.,Rural regions,"Yes, less frequently",0.10961,281,1483,0.09370,0.12551
2009,66 and older,Urban regions,"No, never",0.02523,81,116,-0.00343,0.05389
2009,66 and older,Urban regions,"Yes, less frequently",0.00877,35,116,-0.00827,0.02582
2009,66 and older,Rural regions,"No, never",0.02723,39,39,-0.02452,0.07898
2011,17-29 y.,Urban regions,"No, never",0.34627,906,1373,0.32109,0.37144
2011,17-29 y.,Urban regions,"Yes, every week",0.03750,92,1373,0.02745,0.04756
2011,17-29 y.,Urban regions,"Yes, every 2 weeks",0.06119,151,1373,0.04851,0.07388
2011,17-29 y.,Urban regions,"Yes, every 3-4 weeks",0.02315,64,1373,0.01519,0.03111
2011,17-29 y.,Urban regions,"Yes, less frequently",0.06184,160,1373,0.04909,0.07458
2011,17-29 y.,Rural regions,"No, never",0.39939,548,854,0.36652,0.43225
2011,17-29 y.,Rural regions,"Yes, every week",0.02460,47,854,0.01420,0.03499
2011,17-29 y.,Rural regions,"Yes, every 2 weeks",0.06718,106,854,0.05038,0.08397
2011,17-29 y.,Rural regions,"Yes, every 3-4 weeks",0.03052,46,854,0.01897,0.04206
2011,17-29 y.,Rural regions,"Yes, less frequently",0.08050,107,854,0.06224,0.09875
2011,30-45 y.,Urban regions,"No, never",0.48328,2939,4919,0.46931,0.49724
2011,30-45 y.,Urban regions,"Yes, every week",0.05802,350,4919,0.05149,0.06456
2011,30-45 y.,Urban regions,"Yes, every 2 weeks",0.06900,437,4919,0.06192,0.07608
2011,30-45 y.,Urban regions,"Yes, every 3-4 weeks",0.04406,292,4919,0.03833,0.04980
2011,30-45 y.,Urban regions,"Yes, less frequently",0.15299,901,4919,0.14293,0.16305
2011,30-45 y.,Rural regions,"No, never",0.44933,1579,2685,0.43051,0.46815
2011,30-45 y.,Rural regions,"Yes, every week",0.04859,163,2685,0.04046,0.05672
2011,30-45 y.,Rural regions,"Yes, every 2 weeks",0.08420,290,2685,0.07370,0.09471
2011,30-45 y.,Rural regions,"Yes, every 3-4 weeks",0.05083,179,2685,0.04252,0.05914
2011,30-45 y.,Rural regions,"Yes, less frequently",0.17918,474,2685,0.16467,0.19369
2011,46-65 y.,Urban regions,"No, never",0.41438,2446,4071,0.39924,0.42951
2011,46-65 y.,Urban regions,"Yes, every week",0.05324,331,4071,0.04634,0.06014
2011,46-65 y.,Urban regions,"Yes, every 2 weeks",0.06123,368,4071,0.05386,0.06859
2011,46-65 y.,Urban regions,"Yes, every 3-4 weeks",0.03644,225,4071,0.03068,0.04219
2011,46-65 y.,Urban regions,"Yes, less frequently",0.11695,701,4071,0.10707,0.12682
2011,46-65 y.,Rural regions,"No, never",0.39602,1368,2326,0.37614,0.41590
2011,46-65 y.,Rural regions,"Yes, every week",0.04576,180,2326,0.03726,0.05425
2011,46-65 y.,Rural regions,"Yes, every 2 weeks",0.06658,237,2326,0.05644,0.07671
2011,46-65 y.,Rural regions,"Yes, every 3-4 weeks",0.03669,147,2326,0.02905,0.04433
