year,regtyp,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,"No, never",0.26525,4691,7395,0.25518,0.27531
2005,Urban regions,"Yes, every week",0.02214,414,7395,0.01878,0.02549
2005,Urban regions,"Yes, every 2 weeks",0.03774,598,7395,0.03340,0.04209
2005,Urban regions,"Yes, every 3-4 weeks",0.02244,369,7395,0.01907,0.02582
2005,Urban regions,"Yes, less frequently",0.07377,1323,7395,0.06781,0.07972
2005,Rural regions,"No, never",0.23394,2111,3503,0.21991,0.24796
2005,Rural regions,"Yes, every week",0.02832,227,3503,0.02282,0.03381
2005,Rural regions,"Yes, every 2 weeks",0.03697,316,3503,0.03072,0.04322
2005,Rural regions,"Yes, every 3-4 weeks",0.02360,201,3503,0.01857,0.02863
2005,Rural regions,"Yes, less frequently",0.06935,648,3503,0.06094,0.07777
2007,Urban regions,"No, never",0.26764,4558,7346,0.25751,0.27776
2007,Urban regions,"Yes, every week",0.02590,467,7346,0.02227,0.02953
2007,Urban regions,"Yes, every 2 weeks",0.03648,580,7346,0.03219,0.04077
2007,Urban regions,"Yes, every 3-4 weeks",0.02248,382,7346,0.01909,0.02587
2007,Urban regions,"Yes, less frequently",0.07882,1359,7346,0.07266,0.08498
2007,Rural regions,"No, never",0.25098,2210,3730,0.23707,0.26490
2007,Rural regions,"Yes, every week",0.02901,258,3730,0.02362,0.03440
2007,Rural regions,"Yes, every 2 weeks",0.04304,360,3730,0.03653,0.04955
2007,Rural regions,"Yes, every 3-4 weeks",0.02499,211,3730,0.01998,0.03000
2007,Rural regions,"Yes, less frequently",0.07868,691,3730,0.07004,0.08733
2009,Urban regions,"No, never",0.26586,3880,6435,0.25506,0.27665
2009,Urban regions,"Yes, every week",0.03191,447,6435,0.02762,0.03621
2009,Urban regions,"Yes, every 2 weeks",0.03605,524,6435,0.03150,0.04061
2009,Urban regions,"Yes, every 3-4 weeks",0.02615,348,6435,0.02225,0.03005
2009,Urban regions,"Yes, less frequently",0.08600,1236,6435,0.07915,0.09285
2009,Rural regions,"No, never",0.25310,1988,3376,0.23843,0.26777
2009,Rural regions,"Yes, every week",0.02947,240,3376,0.02377,0.03518
2009,Rural regions,"Yes, every 2 weeks",0.04152,321,3376,0.03479,0.04825
2009,Rural regions,"Yes, every 3-4 weeks",0.02670,201,3376,0.02126,0.03214
2009,Rural regions,"Yes, less frequently",0.08196,626,3376,0.07271,0.09122
2011,Urban regions,"No, never",0.27711,6378,10509,0.26855,0.28567
2011,Urban regions,"Yes, every week",0.03421,786,10509,0.03074,0.03769
2011,Urban regions,"Yes, every 2 weeks",0.04172,970,10509,0.03790,0.04555
2011,Urban regions,"Yes, every 3-4 weeks",0.02338,585,10509,0.02049,0.02627
2011,Urban regions,"Yes, less frequently",0.07659,1790,10509,0.07151,0.08168
2011,Rural regions,"No, never",0.27298,3531,5934,0.26164,0.28432
2011,Rural regions,"Yes, every week",0.02870,399,5934,0.02445,0.03295
2011,Rural regions,"Yes, every 2 weeks",0.04722,636,5934,0.04182,0.05261
2011,Rural regions,"Yes, every 3-4 weeks",0.02621,375,5934,0.02214,0.03027
2011,Rural regions,"Yes, less frequently",0.08557,993,5934,0.07845,0.09268
2013,Urban regions,"No, never",0.24815,6016,9758,0.23958,0.25672
2013,Urban regions,"Yes, every week",0.02652,659,9758,0.02334,0.02971
2013,Urban regions,"Yes, every 2 weeks",0.03588,876,9758,0.03219,0.03957
2013,Urban regions,"Yes, every 3-4 weeks",0.02252,481,9758,0.01957,0.02546
2013,Urban regions,"Yes, less frequently",0.08055,1726,9758,0.07515,0.08595
2013,Rural regions,"No, never",0.25503,3285,5524,0.24353,0.26653
2013,Rural regions,"Yes, every week",0.02409,343,5524,0.02005,0.02814
2013,Rural regions,"Yes, every 2 weeks",0.04975,619,5524,0.04401,0.05548
2013,Rural regions,"Yes, every 3-4 weeks",0.02358,319,5524,0.01958,0.02758
2013,Rural regions,"Yes, less frequently",0.08004,958,5524,0.07288,0.08719
2015,Urban regions,"No, never",0.27429,5994,9797,0.26546,0.28313
2015,Urban regions,"Yes, every week",0.03060,675,9797,0.02719,0.03401
2015,Urban regions,"Yes, every 2 weeks",0.04604,933,9797,0.04189,0.05020
2015,Urban regions,"Yes, every 3-4 weeks",0.02640,495,9797,0.02323,0.02958
2015,Urban regions,"Yes, less frequently",0.08883,1700,9797,0.08319,0.09446
2015,Rural regions,"No, never",0.28547,3192,5272,0.27328,0.29766
2015,Rural regions,"Yes, every week",0.02897,341,5272,0.02444,0.03350
2015,Rural regions,"Yes, every 2 weeks",0.05019,574,5272,0.04430,0.05608
2015,Rural regions,"Yes, every 3-4 weeks",0.02773,311,5272,0.02330,0.03217
2015,Rural regions,"Yes, less frequently",0.07713,854,5272,0.06992,0.08433
2017,Urban regions,"No, never",0.30070,6763,10691,0.29201,0.30939
2017,Urban regions,"Yes, every week",0.03191,732,10691,0.02858,0.03525
2017,Urban regions,"Yes, every 2 weeks",0.04502,994,10691,0.04109,0.04895
2017,Urban regions,"Yes, every 3-4 weeks",0.03020,666,10691,0.02695,0.03344
2017,Urban regions,"Yes, less frequently",0.07593,1536,10691,0.07091,0.08095
2017,Rural regions,"No, never",0.30928,3680,5829,0.29741,0.32114
2017,Rural regions,"Yes, every week",0.03096,385,5829,0.02651,0.03540
2017,Rural regions,"Yes, every 2 weeks",0.04989,619,5829,0.04430,0.05548
2017,Rural regions,"Yes, every 3-4 weeks",0.02534,367,5829,0.02131,0.02938
2017,Rural regions,"Yes, less frequently",0.07316,778,5829,0.06647,0.07984
