year,sampreg,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,West,"No, never",0.26599,5398,8499,0.25660,0.27538
2005,West,"Yes, every week",0.02495,507,8499,0.02164,0.02827
2005,West,"Yes, every 2 weeks",0.03541,651,8499,0.03148,0.03934
2005,West,"Yes, every 3-4 weeks",0.02291,437,8499,0.01973,0.02609
2005,West,"Yes, less frequently",0.07320,1506,8499,0.06766,0.07873
2005,East,"No, never",0.20683,1404,2399,0.19062,0.22304
2005,East,"Yes, every week",0.02017,134,2399,0.01454,0.02579
2005,East,"Yes, every 2 weeks",0.04700,263,2399,0.03853,0.05547
2005,East,"Yes, every 3-4 weeks",0.02236,133,2399,0.01644,0.02828
2005,East,"Yes, less frequently",0.06861,465,2399,0.05849,0.07872
2007,West,"No, never",0.27022,5324,8569,0.26082,0.27963
2007,West,"Yes, every week",0.02715,570,8569,0.02370,0.03059
2007,West,"Yes, every 2 weeks",0.03590,658,8569,0.03196,0.03984
2007,West,"Yes, every 3-4 weeks",0.02296,454,8569,0.01979,0.02613
2007,West,"Yes, less frequently",0.07883,1563,8569,0.07312,0.08453
2007,East,"No, never",0.22635,1444,2507,0.20996,0.24273
2007,East,"Yes, every week",0.02578,155,2507,0.01957,0.03198
2007,East,"Yes, every 2 weeks",0.05075,282,2507,0.04215,0.05934
2007,East,"Yes, every 3-4 weeks",0.02480,139,2507,0.01871,0.03089
2007,East,"Yes, less frequently",0.07854,487,2507,0.06801,0.08907
2009,West,"No, never",0.26998,4575,7524,0.25995,0.28001
2009,West,"Yes, every week",0.03140,515,7524,0.02746,0.03534
2009,West,"Yes, every 2 weeks",0.03648,620,7524,0.03224,0.04072
2009,West,"Yes, every 3-4 weeks",0.02500,402,7524,0.02147,0.02853
2009,West,"Yes, less frequently",0.08560,1412,7524,0.07928,0.09192
2009,East,"No, never",0.22474,1293,2287,0.20762,0.24185
2009,East,"Yes, every week",0.02990,172,2287,0.02292,0.03688
2009,East,"Yes, every 2 weeks",0.04382,225,2287,0.03543,0.05221
2009,East,"Yes, every 3-4 weeks",0.03227,147,2287,0.02503,0.03952
2009,East,"Yes, less frequently",0.08061,450,2287,0.06945,0.09177
2011,West,"No, never",0.28032,7939,12974,0.27259,0.28804
2011,West,"Yes, every week",0.03266,941,12974,0.02960,0.03572
2011,West,"Yes, every 2 weeks",0.04169,1209,12974,0.03825,0.04513
2011,West,"Yes, every 3-4 weeks",0.02360,711,12974,0.02098,0.02621
2011,West,"Yes, less frequently",0.07824,2174,12974,0.07362,0.08286
2011,East,"No, never",0.25455,1970,3469,0.24005,0.26905
2011,East,"Yes, every week",0.03128,244,3469,0.02549,0.03707
2011,East,"Yes, every 2 weeks",0.05201,397,3469,0.04462,0.05940
2011,East,"Yes, every 3-4 weeks",0.02759,249,3469,0.02214,0.03304
2011,East,"Yes, less frequently",0.08545,609,3469,0.07615,0.09476
2013,West,"No, never",0.25104,7434,12039,0.24329,0.25879
2013,West,"Yes, every week",0.02553,792,12039,0.02271,0.02835
2013,West,"Yes, every 2 weeks",0.03769,1124,12039,0.03429,0.04109
2013,West,"Yes, every 3-4 weeks",0.02182,607,12039,0.01921,0.02444
2013,West,"Yes, less frequently",0.07782,2082,12039,0.07304,0.08261
2013,East,"No, never",0.24733,1867,3243,0.23248,0.26219
2013,East,"Yes, every week",0.02669,210,3243,0.02114,0.03224
2013,East,"Yes, every 2 weeks",0.05321,371,3243,0.04548,0.06094
2013,East,"Yes, every 3-4 weeks",0.02776,193,3243,0.02210,0.03341
2013,East,"Yes, less frequently",0.09244,602,3243,0.08247,0.10241
2015,West,"No, never",0.28078,7482,12171,0.27279,0.28876
2015,West,"Yes, every week",0.03082,827,12171,0.02775,0.03389
2015,West,"Yes, every 2 weeks",0.04552,1174,12171,0.04182,0.04923
2015,West,"Yes, every 3-4 weeks",0.02598,619,12171,0.02315,0.02881
2015,West,"Yes, less frequently",0.08640,2069,12171,0.08141,0.09139
2015,East,"No, never",0.26416,1704,2898,0.24810,0.28021
2015,East,"Yes, every week",0.02656,189,2898,0.02070,0.03241
2015,East,"Yes, every 2 weeks",0.05612,333,2898,0.04773,0.06450
2015,East,"Yes, every 3-4 weeks",0.03084,187,2898,0.02454,0.03713
2015,East,"Yes, less frequently",0.07883,485,2898,0.06901,0.08864
2017,West,"No, never",0.30577,8427,13275,0.29793,0.31361
2017,West,"Yes, every week",0.03203,919,13275,0.02904,0.03503
2017,West,"Yes, every 2 weeks",0.04592,1267,13275,0.04236,0.04948
2017,West,"Yes, every 3-4 weeks",0.02870,811,13275,0.02586,0.03154
2017,West,"Yes, less frequently",0.07566,1851,13275,0.07117,0.08016
2017,East,"No, never",0.29186,2016,3245,0.27622,0.30751
2017,East,"Yes, every week",0.02959,198,3245,0.02375,0.03542
2017,East,"Yes, every 2 weeks",0.04956,346,3245,0.04210,0.05703
2017,East,"Yes, every 3-4 weeks",0.02857,222,3245,0.02283,0.03430
2017,East,"Yes, less frequently",0.07214,463,3245,0.06324,0.08104
2019,West,"No, never",0.31616,8114,13238,0.30824,0.32408
2019,West,"Yes, every week",0.03300,971,13238,0.02996,0.03605
2019,West,"Yes, every 2 weeks",0.04678,1242,13238,0.04319,0.05038
2019,West,"Yes, every 3-4 weeks",0.02815,818,13238,0.02533,0.03097
2019,West,"Yes, less frequently",0.07648,2093,13238,0.07195,0.08100
2019,East,"No, never",0.29228,2047,3368,0.27691,0.30764
