year,sex,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,male,"No, never",0.26395,3278,5786,0.25259,0.27531
2005,male,"Yes, every week",0.02967,388,5786,0.02529,0.03404
2005,male,"Yes, every 2 weeks",0.03553,427,5786,0.03076,0.04030
2005,male,"Yes, every 3-4 weeks",0.02971,350,5786,0.02534,0.03409
2005,male,"Yes, less frequently",0.10611,1343,5786,0.09817,0.11404
2005,female,"No, never",0.24705,3524,5112,0.23523,0.25888
2005,female,"Yes, every week",0.01873,253,5112,0.01501,0.02244
2005,female,"Yes, every 2 weeks",0.03940,487,5112,0.03406,0.04473
2005,female,"Yes, every 3-4 weeks",0.01616,220,5112,0.01270,0.01961
2005,female,"Yes, less frequently",0.03988,628,5112,0.03452,0.04525
2007,male,"No, never",0.27448,3287,5835,0.26303,0.28593
2007,male,"Yes, every week",0.03210,426,5835,0.02758,0.03663
2007,male,"Yes, every 2 weeks",0.03969,461,5835,0.03468,0.04470
2007,male,"Yes, every 3-4 weeks",0.03087,359,5835,0.02644,0.03531
2007,male,"Yes, less frequently",0.10519,1302,5835,0.09731,0.11306
2007,female,"No, never",0.25051,3481,5241,0.23878,0.26224
2007,female,"Yes, every week",0.02188,299,5241,0.01792,0.02584
2007,female,"Yes, every 2 weeks",0.03752,479,5241,0.03238,0.04267
2007,female,"Yes, every 3-4 weeks",0.01597,234,5241,0.01258,0.01937
2007,female,"Yes, less frequently",0.05330,748,5241,0.04721,0.05938
2009,male,"No, never",0.26813,2815,5072,0.25594,0.28033
2009,male,"Yes, every week",0.03816,382,5072,0.03289,0.04344
2009,male,"Yes, every 2 weeks",0.03988,395,5072,0.03449,0.04527
2009,male,"Yes, every 3-4 weeks",0.03141,318,5072,0.02661,0.03621
2009,male,"Yes, less frequently",0.11018,1162,5072,0.10156,0.11880
2009,female,"No, never",0.25555,3053,4739,0.24313,0.26797
2009,female,"Yes, every week",0.02432,305,4739,0.01994,0.02871
2009,female,"Yes, every 2 weeks",0.03583,450,4739,0.03054,0.04112
2009,female,"Yes, every 3-4 weeks",0.02141,231,4739,0.01729,0.02553
2009,female,"Yes, less frequently",0.06006,700,4739,0.05330,0.06683
2011,male,"No, never",0.28180,4633,8238,0.27209,0.29152
2011,male,"Yes, every week",0.03623,617,8238,0.03219,0.04026
2011,male,"Yes, every 2 weeks",0.04378,728,8238,0.03936,0.04820
2011,male,"Yes, every 3-4 weeks",0.02955,553,8238,0.02590,0.03321
2011,male,"Yes, less frequently",0.10891,1707,8238,0.10218,0.11563
2011,female,"No, never",0.26999,5276,8205,0.26038,0.27960
2011,female,"Yes, every week",0.02877,568,8205,0.02515,0.03239
2011,female,"Yes, every 2 weeks",0.04326,878,8205,0.03886,0.04766
2011,female,"Yes, every 3-4 weeks",0.01927,407,8205,0.01629,0.02224
2011,female,"Yes, less frequently",0.05134,1076,8205,0.04657,0.05612
2013,male,"No, never",0.25237,4212,7407,0.24248,0.26226
2013,male,"Yes, every week",0.02550,496,7407,0.02191,0.02909
2013,male,"Yes, every 2 weeks",0.04011,653,7407,0.03564,0.04458
2013,male,"Yes, every 3-4 weeks",0.02624,435,7407,0.02260,0.02988
2013,male,"Yes, less frequently",0.10552,1611,7407,0.09853,0.11252
2013,female,"No, never",0.24849,5089,7875,0.23895,0.25804
2013,female,"Yes, every week",0.02595,506,7875,0.02244,0.02947
2013,female,"Yes, every 2 weeks",0.04068,842,7875,0.03632,0.04505
2013,female,"Yes, every 3-4 weeks",0.01961,365,7875,0.01655,0.02267
2013,female,"Yes, less frequently",0.05615,1073,7875,0.05107,0.06124
2015,male,"No, never",0.28569,4260,7371,0.27537,0.29600
2015,male,"Yes, every week",0.03232,505,7371,0.02828,0.03635
2015,male,"Yes, every 2 weeks",0.04366,648,7371,0.03899,0.04832
2015,male,"Yes, every 3-4 weeks",0.03270,459,7371,0.02864,0.03676
2015,male,"Yes, less frequently",0.10848,1499,7371,0.10138,0.11558
2015,female,"No, never",0.27032,4926,7698,0.26040,0.28024
2015,female,"Yes, every week",0.02791,511,7698,0.02423,0.03159
2015,female,"Yes, every 2 weeks",0.05098,859,7698,0.04607,0.05589
2015,female,"Yes, every 3-4 weeks",0.02114,347,7698,0.01792,0.02435
2015,female,"Yes, less frequently",0.06239,1055,7698,0.05699,0.06779
2017,male,"No, never",0.30804,4807,8033,0.29794,0.31814
2017,male,"Yes, every week",0.03521,550,8033,0.03118,0.03924
2017,male,"Yes, every 2 weeks",0.04558,707,8033,0.04102,0.05014
2017,male,"Yes, every 3-4 weeks",0.03520,572,8033,0.03117,0.03923
2017,male,"Yes, less frequently",0.09538,1397,8033,0.08895,0.10180
2017,female,"No, never",0.29883,5636,8487,0.28909,0.30857
2017,female,"Yes, every week",0.02808,567,8487,0.02457,0.03160
2017,female,"Yes, every 2 weeks",0.04750,906,8487,0.04297,0.05203
2017,female,"Yes, every 3-4 weeks",0.02226,461,8487,0.01912,0.02540
2017,female,"Yes, less frequently",0.05509,917,8487,0.05024,0.05995
2019,male,"No, never",0.31739,4766,8377,0.30742,0.32736
2019,male,"Yes, every week",0.03581,668,8377,0.03183,0.03979
2019,male,"Yes, every 2 weeks",0.04788,754,8377,0.04330,0.05245
2019,male,"Yes, every 3-4 weeks",0.03399,569,8377,0.03011,0.03787
2019,male,"Yes, less frequently",0.09670,1620,8377,0.09037,0.10303
2019,female,"No, never",0.30745,5425,8278,0.29751,0.31740
2019,female,"Yes, every week",0.02933,529,8278,0.02569,0.03296
2019,female,"Yes, every 2 weeks",0.04806,865,8278,0.04345,0.05267
2019,female,"Yes, every 3-4 weeks",0.02169,451,8278,0.01855,0.02483
2019,female,"Yes, less frequently",0.05621,1008,8278,0.05124,0.06117
2021,male,"No, never",0.26629,3293,5500,0.25460,0.27797
2021,male,"Yes, every week",0.02941,456,5500,0.02494,0.03387
2021,male,"Yes, every 2 weeks",0.03667,501,5500,0.03170,0.04164
2021,male,"Yes, every 3-4 weeks",0.02685,314,5500,0.02258,0.03112
2021,male,"Yes, less frequently",0.07900,936,5500,0.07187,0.08613
2021,female,"No, never",0.25830,3249,5044,0.24622,0.27038
2021,female,"Yes, every week",0.02331,322,5044,0.01915,0.02747
2021,female,"Yes, every 2 weeks",0.04353,585,5044,0.03790,0.04917
2021,female,"Yes, every 3-4 weeks",0.01858,265,5044,0.01486,0.02231
2021,female,"Yes, less frequently",0.04386,623,5044,0.03821,0.04952
