year,quintil_oecd,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,"No, never",0.15540,636,983,0.13274,0.17806
2005,1st Quintile,"Yes, every week",0.01787,67,983,0.00958,0.02615
2005,1st Quintile,"Yes, every 2 weeks",0.02393,97,983,0.01437,0.03349
2005,1st Quintile,"Yes, every 3-4 weeks",0.01467,49,983,0.00715,0.02219
2005,1st Quintile,"Yes, less frequently",0.03038,134,983,0.01965,0.04112
2005,2nd Quintile,"No, never",0.20678,988,1513,0.18637,0.22720
2005,2nd Quintile,"Yes, every week",0.01647,83,1513,0.01005,0.02289
2005,2nd Quintile,"Yes, every 2 weeks",0.03236,154,1513,0.02344,0.04128
2005,2nd Quintile,"Yes, every 3-4 weeks",0.01610,66,1513,0.00975,0.02244
2005,2nd Quintile,"Yes, less frequently",0.04600,222,1513,0.03544,0.05656
2005,3rd Quintile,"No, never",0.27427,1277,1946,0.25444,0.29410
2005,3rd Quintile,"Yes, every week",0.01400,77,1946,0.00878,0.01922
2005,3rd Quintile,"Yes, every 2 weeks",0.04114,175,1946,0.03231,0.04997
2005,3rd Quintile,"Yes, every 3-4 weeks",0.01748,84,1946,0.01165,0.02330
2005,3rd Quintile,"Yes, less frequently",0.07311,333,1946,0.06154,0.08468
2005,4th Quintile,"No, never",0.30804,1614,2538,0.29007,0.32600
2005,4th Quintile,"Yes, every week",0.02943,131,2538,0.02285,0.03600
2005,4th Quintile,"Yes, every 2 weeks",0.04944,213,2538,0.04100,0.05787
2005,4th Quintile,"Yes, every 3-4 weeks",0.02681,140,2538,0.02053,0.03310
2005,4th Quintile,"Yes, less frequently",0.08508,440,2538,0.07423,0.09594
2005,5th Quintile,"No, never",0.33257,2287,3918,0.31782,0.34733
2005,5th Quintile,"Yes, every week",0.04274,283,3918,0.03641,0.04908
2005,5th Quintile,"Yes, every 2 weeks",0.04068,275,3918,0.03449,0.04687
2005,5th Quintile,"Yes, every 3-4 weeks",0.03902,231,3918,0.03295,0.04508
2005,5th Quintile,"Yes, less frequently",0.12739,842,3918,0.11694,0.13783
2007,1st Quintile,"No, never",0.17872,751,1075,0.15580,0.20163
2007,1st Quintile,"Yes, every week",0.01564,67,1075,0.00822,0.02306
2007,1st Quintile,"Yes, every 2 weeks",0.02538,98,1075,0.01597,0.03478
2007,1st Quintile,"Yes, every 3-4 weeks",0.00716,31,1075,0.00212,0.01220
2007,1st Quintile,"Yes, less frequently",0.03172,128,1075,0.02124,0.04220
2007,2nd Quintile,"No, never",0.22410,1029,1589,0.20359,0.24461
2007,2nd Quintile,"Yes, every week",0.01776,88,1589,0.01126,0.02425
2007,2nd Quintile,"Yes, every 2 weeks",0.02945,142,1589,0.02114,0.03777
2007,2nd Quintile,"Yes, every 3-4 weeks",0.01920,79,1589,0.01245,0.02595
2007,2nd Quintile,"Yes, less frequently",0.05153,251,1589,0.04066,0.06240
2007,3rd Quintile,"No, never",0.27614,1291,2024,0.25666,0.29562
2007,3rd Quintile,"Yes, every week",0.02106,103,2024,0.01480,0.02731
2007,3rd Quintile,"Yes, every 2 weeks",0.04392,203,2024,0.03499,0.05285
2007,3rd Quintile,"Yes, every 3-4 weeks",0.02692,116,2024,0.01986,0.03397
2007,3rd Quintile,"Yes, less frequently",0.06452,311,2024,0.05381,0.07522
2007,4th Quintile,"No, never",0.31147,1616,2641,0.29381,0.32914
