year,age_gr,pgisced97,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,17-29 y.,Lower Secondary Level,"No, never",0.40795,293,326,0.35452,0.46138
2005,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.03952,33,326,0.01834,0.06070
2005,17-29 y.,Upper Secondary Level,"No, never",0.39137,623,941,0.36017,0.42257
2005,17-29 y.,Upper Secondary Level,"Yes, every week",0.03560,51,941,0.02376,0.04745
2005,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.05776,90,941,0.04285,0.07268
2005,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.04535,58,941,0.03205,0.05865
2005,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.08907,119,941,0.07086,0.10728
2005,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.45475,134,134,0.37012,0.53938
2005,17-29 y.,First Stage of Tertiary Education,"No, never",0.39501,31,31,0.22007,0.56994
2005,17-29 y.,Second Stage of Tertiary Education,"No, never",0.45167,102,102,0.35461,0.54872
2005,30-45 y.,Lower Secondary Level,"No, never",0.38511,167,167,0.31108,0.45914
2005,30-45 y.,Upper Secondary Level,"No, never",0.44503,1438,2270,0.42459,0.46548
2005,30-45 y.,Upper Secondary Level,"Yes, every week",0.03840,111,2270,0.03049,0.04631
2005,30-45 y.,Upper Secondary Level,"Yes, every 2 weeks",0.07145,210,2270,0.06085,0.08205
2005,30-45 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.03631,111,2270,0.02861,0.04400
2005,30-45 y.,Upper Secondary Level,"Yes, less frequently",0.12834,400,2270,0.11458,0.14211
2005,30-45 y.,Post-secondary Non-tertiary Level,"No, never",0.54387,265,335,0.49046,0.59729
2005,30-45 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.13012,70,335,0.09404,0.16620
2005,30-45 y.,First Stage of Tertiary Education,"No, never",0.41086,271,493,0.36739,0.45433
2005,30-45 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.10214,62,493,0.07538,0.12890
2005,30-45 y.,First Stage of Tertiary Education,"Yes, every 3-4 weeks",0.06779,42,493,0.04558,0.09000
2005,30-45 y.,First Stage of Tertiary Education,"Yes, less frequently",0.19666,118,493,0.16154,0.23178
2005,30-45 y.,Second Stage of Tertiary Education,"No, never",0.41586,639,1182,0.38775,0.44397
2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every week",0.06107,75,1182,0.04742,0.07473
2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.06908,92,1182,0.05461,0.08354
2005,30-45 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.05480,77,1182,0.04182,0.06778
2005,30-45 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.22093,299,1182,0.19727,0.24459
2005,46-65 y.,Lower Secondary Level,"No, never",0.28755,162,162,0.21763,0.35746
2005,46-65 y.,Upper Secondary Level,"No, never",0.35844,1330,1975,0.33728,0.37959
2005,46-65 y.,Upper Secondary Level,"Yes, every week",0.02297,89,1975,0.01636,0.02958
2005,46-65 y.,Upper Secondary Level,"Yes, every 2 weeks",0.04356,159,1975,0.03456,0.05257
2005,46-65 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.02457,76,1975,0.01774,0.03140
2005,46-65 y.,Upper Secondary Level,"Yes, less frequently",0.07990,321,1975,0.06794,0.09186
2005,46-65 y.,Post-secondary Non-tertiary Level,"No, never",0.32952,101,132,0.24902,0.41001
2005,46-65 y.,Post-secondary Non-tertiary Level,"Yes, less frequently",0.10899,31,132,0.05562,0.16235
2005,46-65 y.,First Stage of Tertiary Education,"No, never",0.34741,218,340,0.29672,0.39810
2005,46-65 y.,First Stage of Tertiary Education,"Yes, every 2 weeks",0.07837,40,340,0.04976,0.10698
2005,46-65 y.,First Stage of Tertiary Education,"Yes, less frequently",0.10336,82,340,0.07096,0.13577
2005,46-65 y.,Second Stage of Tertiary Education,"No, never",0.35890,750,1429,0.33403,0.38378
2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every week",0.07848,163,1429,0.06453,0.09243
2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every 2 weeks",0.05106,89,1429,0.03964,0.06248
2005,46-65 y.,Second Stage of Tertiary Education,"Yes, every 3-4 weeks",0.04109,80,1429,0.03080,0.05139
2005,46-65 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.18492,347,1429,0.16478,0.20505
2005,66 and older,Upper Secondary Level,"No, never",0.01809,37,37,-0.02545,0.06163
2005,66 and older,Second Stage of Tertiary Education,"No, never",0.04437,37,37,-0.02290,0.11164
2007,17-29 y.,Lower Secondary Level,"No, never",0.33824,226,294,0.28406,0.39241
2007,17-29 y.,Lower Secondary Level,"Yes, every 2 weeks",0.05892,32,294,0.03196,0.08589
2007,17-29 y.,Lower Secondary Level,"Yes, less frequently",0.05891,36,294,0.03195,0.08587
2007,17-29 y.,Upper Secondary Level,"No, never",0.41372,650,953,0.38243,0.44500
2007,17-29 y.,Upper Secondary Level,"Yes, every week",0.03668,51,953,0.02474,0.04862
2007,17-29 y.,Upper Secondary Level,"Yes, every 2 weeks",0.07471,94,953,0.05801,0.09141
2007,17-29 y.,Upper Secondary Level,"Yes, every 3-4 weeks",0.02395,38,953,0.01424,0.03367
2007,17-29 y.,Upper Secondary Level,"Yes, less frequently",0.07601,120,953,0.05917,0.09284
2007,17-29 y.,Post-secondary Non-tertiary Level,"No, never",0.44023,118,118,0.35028,0.53018
2007,17-29 y.,Second Stage of Tertiary Education,"No, never",0.45271,110,150,0.37278,0.53263
2007,17-29 y.,Second Stage of Tertiary Education,"Yes, less frequently",0.18253,40,150,0.12050,0.24455
