year,age_gr,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Urban regions,Yes,0.03003,58,544,0.01568,0.04439
2009,17-29 y.,Urban regions,No,0.23407,486,544,0.19845,0.26968
2009,17-29 y.,Rural regions,No,0.18873,195,195,0.13367,0.24379
2009,30-45 y.,Urban regions,No,0.19273,529,529,0.15908,0.22637
2009,30-45 y.,Rural regions,No,0.12451,162,162,0.07351,0.17551
2009,46-65 y.,Urban regions,No,0.12256,425,425,0.09134,0.15377
2009,46-65 y.,Rural regions,No,0.07585,153,153,0.03376,0.11794
2009,66 and older,Urban regions,No,0.02617,81,81,-0.00881,0.06115
2014,17-29 y.,Urban regions,Yes,0.02498,100,783,0.01404,0.03591
2014,17-29 y.,Urban regions,No,0.22401,683,783,0.19478,0.25323
2014,17-29 y.,Rural regions,Yes,0.02960,39,306,0.01058,0.04862
2014,17-29 y.,Rural regions,No,0.18346,267,306,0.14002,0.22690
2014,30-45 y.,Urban regions,Yes,0.01094,46,845,0.00392,0.01796
2014,30-45 y.,Urban regions,No,0.15750,799,845,0.13293,0.18208
2014,30-45 y.,Rural regions,No,0.10698,308,308,0.07240,0.14155
2014,46-65 y.,Urban regions,No,0.11239,598,598,0.08705,0.13772
2014,46-65 y.,Rural regions,No,0.08111,260,260,0.04786,0.11436
2014,66 and older,Urban regions,No,0.03325,102,102,-0.00171,0.06822
2014,66 and older,Rural regions,No,0.01925,35,35,-0.02694,0.06543
2019,17-29 y.,Urban regions,Yes,0.02370,84,777,0.01300,0.03440
2019,17-29 y.,Urban regions,No,0.23758,693,777,0.20763,0.26752
2019,17-29 y.,Rural regions,Yes,0.03161,38,272,0.01078,0.05244
2019,17-29 y.,Rural regions,No,0.16017,234,272,0.11650,0.20384
2019,30-45 y.,Urban regions,Yes,0.00836,38,726,0.00173,0.01498
2019,30-45 y.,Urban regions,No,0.17294,688,726,0.14541,0.20047
2019,30-45 y.,Rural regions,No,0.10194,234,234,0.06309,0.14079
2019,46-65 y.,Urban regions,No,0.10367,760,760,0.08198,0.12536
2019,46-65 y.,Rural regions,No,0.07504,294,294,0.04487,0.10520
2019,66 and older,Urban regions,No,0.03679,129,129,0.00418,0.06940
2019,66 and older,Rural regions,No,0.02607,49,49,-0.01901,0.07115
