year,age_gr,migback,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No migration background,Yes,0.03232,73,611,0.01829,0.04636
2009,17-29 y.,No migration background,No,0.21939,538,611,0.18655,0.25223
2009,17-29 y.,Direct migration background,No,0.17926,38,38,0.05567,0.30285
2009,17-29 y.,Indirect migration background,No,0.24191,105,105,0.15960,0.32421
2009,30-45 y.,No migration background,No,0.15388,527,527,0.12304,0.18472
2009,30-45 y.,Direct migration background,No,0.22378,105,105,0.14367,0.30388
2009,30-45 y.,Indirect migration background,No,0.27106,59,59,0.15666,0.38546
2009,46-65 y.,No migration background,No,0.08905,452,452,0.06277,0.11534
2009,46-65 y.,Direct migration background,No,0.20570,120,120,0.13307,0.27832
2009,66 and older,No migration background,No,0.01294,58,58,-0.01640,0.04228
2009,66 and older,Direct migration background,No,0.11502,41,41,0.01615,0.21389
2014,17-29 y.,No migration background,Yes,0.02648,97,668,0.01430,0.03867
2014,17-29 y.,No migration background,No,0.20335,571,668,0.17280,0.23389
2014,17-29 y.,Direct migration background,No,0.22812,181,181,0.16682,0.28942
2014,17-29 y.,Indirect migration background,No,0.23612,198,198,0.17681,0.29543
2014,30-45 y.,No migration background,No,0.13142,640,640,0.10523,0.15762
2014,30-45 y.,Direct migration background,No,0.15532,328,328,0.11606,0.19458
2014,30-45 y.,Indirect migration background,No,0.21919,139,139,0.15017,0.28822
2014,46-65 y.,No migration background,No,0.08789,638,638,0.06590,0.10988
2014,46-65 y.,Direct migration background,No,0.17561,194,194,0.12193,0.22929
2014,66 and older,No migration background,No,0.02013,98,98,-0.00782,0.04808
2014,66 and older,Direct migration background,No,0.11931,39,39,0.01624,0.22237
2019,17-29 y.,No migration background,Yes,0.02768,90,779,0.01615,0.03920
2019,17-29 y.,No migration background,No,0.22674,689,779,0.19732,0.25616
2019,17-29 y.,Direct migration background,No,0.21970,100,100,0.13814,0.30126
2019,17-29 y.,Indirect migration background,No,0.20507,188,188,0.14720,0.26294
2019,30-45 y.,No migration background,No,0.14757,575,575,0.11855,0.17658
2019,30-45 y.,Direct migration background,No,0.17287,296,296,0.12972,0.21603
2019,30-45 y.,Indirect migration background,No,0.15960,94,94,0.08517,0.23404
2019,46-65 y.,No migration background,No,0.07878,813,813,0.06025,0.09731
2019,46-65 y.,Direct migration background,No,0.15793,219,219,0.10952,0.20634
2019,46-65 y.,Indirect migration background,No,0.20704,58,58,0.10185,0.31223
2019,66 and older,No migration background,No,0.02611,146,146,0.00015,0.05206
2019,66 and older,Direct migration background,No,0.09872,33,33,-0.00463,0.20207
