year,quintil_oecd,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.01435,41,418,0.00293,0.02576
2009,1st Quintile,No,0.12176,377,418,0.09038,0.15315
2009,2nd Quintile,No,0.08967,308,308,0.05771,0.12163
2009,3rd Quintile,No,0.09472,345,345,0.06377,0.12566
2009,4th Quintile,No,0.10125,402,402,0.07172,0.13077
2009,5th Quintile,Yes,0.01203,60,677,0.00381,0.02024
2009,5th Quintile,No,0.12488,617,677,0.09996,0.14980
2014,1st Quintile,Yes,0.01133,64,824,0.00410,0.01857
2014,1st Quintile,No,0.11004,760,824,0.08866,0.13142
2014,2nd Quintile,Yes,0.00502,32,572,-0.00078,0.01081
2014,2nd Quintile,No,0.07011,540,572,0.04916,0.09105
2014,3rd Quintile,Yes,0.00590,44,599,-0.00024,0.01203
2014,3rd Quintile,No,0.09114,555,599,0.06807,0.11421
2014,4th Quintile,Yes,0.00400,37,609,-0.00102,0.00902
2014,4th Quintile,No,0.09768,572,609,0.07408,0.12128
2014,5th Quintile,Yes,0.00959,59,683,0.00227,0.01690
2014,5th Quintile,No,0.11020,624,683,0.08670,0.13371
2019,1st Quintile,Yes,0.00813,54,667,0.00131,0.01495
2019,1st Quintile,No,0.10209,613,667,0.07909,0.12508
2019,2nd Quintile,No,0.09074,515,515,0.06591,0.11558
2019,3rd Quintile,Yes,0.00679,41,558,-0.00003,0.01360
2019,3rd Quintile,No,0.09321,517,558,0.06906,0.11735
2019,4th Quintile,Yes,0.00552,32,510,-0.00092,0.01196
2019,4th Quintile,No,0.08613,478,510,0.06175,0.11050
2019,5th Quintile,Yes,0.00830,40,612,0.00110,0.01549
2019,5th Quintile,No,0.10714,572,612,0.08261,0.13166
