year,migback,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.00810,128,1703,0.00384,0.01236
2009,No migration background,No,0.09274,1575,1703,0.07896,0.10653
2009,Direct migration background,No,0.18799,304,304,0.14399,0.23198
2009,Indirect migration background,No,0.13902,171,171,0.08701,0.19103
2014,No migration background,Yes,0.00589,152,2099,0.00261,0.00916
2014,No migration background,No,0.08329,1947,2099,0.07146,0.09511
2014,Direct migration background,Yes,0.01229,52,794,0.00462,0.01996
2014,Direct migration background,No,0.16240,742,794,0.13673,0.18807
2014,Indirect migration background,Yes,0.01160,32,395,0.00103,0.02218
2014,Indirect migration background,No,0.11531,363,395,0.08377,0.14685
2019,No migration background,Yes,0.00662,150,2373,0.00335,0.00988
2019,No migration background,No,0.08731,2223,2373,0.07595,0.09867
2019,Direct migration background,Yes,0.00877,41,689,0.00180,0.01574
2019,Direct migration background,No,0.15424,648,689,0.12725,0.18123
2019,Indirect migration background,Yes,0.00891,36,382,-0.00053,0.01834
2019,Indirect migration background,No,0.09931,346,382,0.06928,0.12934
