year,regtyp,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.00973,119,1640,0.00498,0.01448
2009,Urban regions,No,0.11881,1521,1640,0.10314,0.13447
2009,Rural regions,Yes,0.00899,47,576,0.00128,0.01671
2009,Rural regions,No,0.08054,529,576,0.05830,0.10279
2014,Urban regions,Yes,0.00788,179,2361,0.00431,0.01145
2014,Urban regions,No,0.10546,2182,2361,0.09307,0.11785
2014,Rural regions,Yes,0.00566,57,927,0.00083,0.01049
2014,Rural regions,No,0.07554,870,927,0.05852,0.09256
2019,Urban regions,Yes,0.00683,161,2431,0.00355,0.01010
2019,Urban regions,No,0.10841,2270,2431,0.09605,0.12077
2019,Rural regions,Yes,0.00722,55,866,0.00158,0.01287
2019,Rural regions,No,0.06861,811,866,0.05176,0.08545
