year,sex,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.00971,78,1176,0.00411,0.01532
2009,male,No,0.11863,1098,1176,0.10014,0.13712
2009,female,Yes,0.00927,88,1040,0.00344,0.01510
2009,female,No,0.09465,952,1040,0.07685,0.11245
2014,male,Yes,0.00688,103,1617,0.00285,0.01090
2014,male,No,0.10605,1514,1617,0.09104,0.12106
2014,female,Yes,0.00744,133,1671,0.00332,0.01157
2014,female,No,0.08596,1538,1671,0.07251,0.09940
2019,male,Yes,0.00681,104,1775,0.00298,0.01063
2019,male,No,0.10635,1671,1775,0.09201,0.12070
2019,female,Yes,0.00747,123,1666,0.00334,0.01161
2019,female,No,0.08956,1543,1666,0.07584,0.10327
