year,hhtyp,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Owner,Yes,0.13171,36,293,0.09292,0.17050
1996,Single-person household,Owner,No,0.86829,257,293,0.82950,0.90708
1996,Single-person household,Tenant,Yes,0.04571,56,1140,0.03358,0.05784
1996,Single-person household,Tenant,No,0.95429,1084,1140,0.94216,0.96642
1996,Couple without children,Owner,Yes,0.16438,127,691,0.13673,0.19203
1996,Couple without children,Owner,No,0.83562,564,691,0.80797,0.86327
1996,Couple without children,Tenant,Yes,0.08093,89,1150,0.06516,0.09670
1996,Couple without children,Tenant,No,0.91907,1061,1150,0.90330,0.93484
1996,Single parent,Owner,No,0.72237,75,75,0.62034,0.82441
1996,Single parent,Tenant,No,0.90458,259,259,0.86872,0.94043
1996,Couple with children,Owner,Yes,0.21083,267,1173,0.18748,0.23419
1996,Couple with children,Owner,No,0.78917,906,1173,0.76581,0.81252
1996,Couple with children,Tenant,Yes,0.10005,127,1513,0.08492,0.11517
1996,Couple with children,Tenant,No,0.89995,1386,1513,0.88483,0.91508
1996,Multi-generational household,Owner,No,0.79634,52,52,0.68581,0.90687
1996,Multi-generational household,Tenant,No,0.93231,54,54,0.86468,0.99994
1996,Other Combinations,Owner,No,0.72624,49,49,0.60010,0.85239
1996,Other Combinations,Tenant,No,0.83301,80,80,0.75077,0.91526
2001,Single-person household,Owner,Yes,0.10041,90,773,0.07920,0.12161
2001,Single-person household,Owner,No,0.89959,683,773,0.87839,0.92080
2001,Single-person household,Tenant,Yes,0.05093,114,2153,0.04164,0.06022
2001,Single-person household,Tenant,No,0.94907,2039,2153,0.93978,0.95836
2001,Couple without children,Owner,Yes,0.15432,298,1781,0.13753,0.17110
2001,Couple without children,Owner,No,0.84568,1483,1781,0.82890,0.86247
2001,Couple without children,Tenant,Yes,0.09690,172,1808,0.08326,0.11054
2001,Couple without children,Tenant,No,0.90310,1636,1808,0.88946,0.91674
2001,Single parent,Owner,Yes,0.19216,38,192,0.13629,0.24804
2001,Single parent,Owner,No,0.80784,154,192,0.75196,0.86371
2001,Single parent,Tenant,Yes,0.11115,61,514,0.08395,0.13835
2001,Single parent,Tenant,No,0.88885,453,514,0.86165,0.91605
2001,Couple with children,Owner,Yes,0.22641,541,2339,0.20944,0.24337
2001,Couple with children,Owner,No,0.77359,1798,2339,0.75663,0.79056
2001,Couple with children,Tenant,Yes,0.13388,249,1836,0.11830,0.14946
2001,Couple with children,Tenant,No,0.86612,1587,1836,0.85054,0.88170
2001,Multi-generational household,Owner,No,0.72709,86,86,0.63239,0.82179
2001,Multi-generational household,Tenant,No,0.97682,41,41,0.93019,1.02345
2001,Other Combinations,Owner,No,0.69839,44,44,0.56121,0.83557
2001,Other Combinations,Tenant,No,0.91220,54,54,0.83600,0.98839
2006,Single-person household,Owner,Yes,0.10375,101,956,0.08441,0.12309
2006,Single-person household,Owner,No,0.89625,855,956,0.87691,0.91559
2006,Single-person household,Tenant,Yes,0.05909,140,2331,0.04951,0.06866
2006,Single-person household,Tenant,No,0.94091,2191,2331,0.93134,0.95049
2006,Couple without children,Owner,Yes,0.15098,366,2308,0.13637,0.16559
2006,Couple without children,Owner,No,0.84902,1942,2308,0.83441,0.86363
2006,Couple without children,Tenant,Yes,0.08267,154,1850,0.07011,0.09522
2006,Couple without children,Tenant,No,0.91733,1696,1850,0.90478,0.92989
2006,Single parent,Owner,Yes,0.16654,42,225,0.11775,0.21533
2006,Single parent,Owner,No,0.83346,183,225,0.78467,0.88225
2006,Single parent,Tenant,Yes,0.14179,73,547,0.11253,0.17105
2006,Single parent,Tenant,No,0.85821,474,547,0.82895,0.88747
2006,Couple with children,Owner,Yes,0.22446,532,2375,0.20768,0.24125
2006,Couple with children,Owner,No,0.77554,1843,2375,0.75875,0.79232
2006,Couple with children,Tenant,Yes,0.13563,210,1461,0.11807,0.15320
2006,Couple with children,Tenant,No,0.86437,1251,1461,0.84680,0.88193
2006,Multi-generational household,Owner,No,0.82858,57,57,0.72987,0.92729
2006,Other Combinations,Owner,No,0.77370,48,48,0.65407,0.89333
2006,Other Combinations,Tenant,No,0.90126,37,37,0.80381,0.99871
2011,Single-person household,Owner,Yes,0.10151,112,1075,0.08345,0.11957
2011,Single-person household,Owner,No,0.89813,963,1075,0.88004,0.91622
2011,Single-person household,Tenant,Yes,0.06963,161,2435,0.05952,0.07975
2011,Single-person household,Tenant,No,0.92789,2274,2435,0.91761,0.93816
2011,Couple without children,Owner,Yes,0.14267,369,2514,0.12900,0.15635
2011,Couple without children,Owner,No,0.85733,2145,2514,0.84365,0.87100
2011,Couple without children,Tenant,Yes,0.08488,165,1857,0.07220,0.09756
2011,Couple without children,Tenant,No,0.91445,1692,1857,0.90173,0.92718
2011,Single parent,Owner,Yes,0.11823,40,223,0.07576,0.16070
2011,Single parent,Owner,No,0.55432,183,223,0.48894,0.61970
2011,Single parent,Tenant,Yes,0.06129,77,561,0.04142,0.08116
2011,Single parent,Tenant,No,0.41149,484,561,0.37073,0.45225
2011,Couple with children,Owner,Yes,0.18850,439,2030,0.17148,0.20552
2011,Couple with children,Owner,No,0.65044,1591,2030,0.62969,0.67119
2011,Couple with children,Tenant,Yes,0.10175,170,1210,0.08471,0.11879
2011,Couple with children,Tenant,No,0.62259,1040,1210,0.59527,0.64992
2011,Multi-generational household,Owner,No,0.78162,46,46,0.66091,0.90233
2011,Other Combinations,Owner,No,0.77089,36,36,0.63166,0.91012
2011,Other Combinations,Tenant,No,0.79043,42,42,0.66585,0.91501
2016,Single-person household,Owner,Yes,0.09905,100,932,0.07986,0.11824
2016,Single-person household,Owner,No,0.90095,832,932,0.88176,0.92014
2016,Single-person household,Tenant,Yes,0.05772,136,2455,0.04849,0.06695
2016,Single-person household,Tenant,No,0.94228,2319,2455,0.93305,0.95151
2016,Couple without children,Owner,Yes,0.15899,343,2222,0.14378,0.17420
2016,Couple without children,Owner,No,0.84101,1879,2222,0.82580,0.85622
2016,Couple without children,Tenant,Yes,0.10472,190,1875,0.09086,0.11859
2016,Couple without children,Tenant,No,0.89528,1685,1875,0.88141,0.90914
2016,Single parent,Owner,Yes,0.22204,89,382,0.18031,0.26378
2016,Single parent,Owner,No,0.77796,293,382,0.73622,0.81969
2016,Single parent,Tenant,Yes,0.14583,159,1142,0.12535,0.16631
2016,Single parent,Tenant,No,0.85417,983,1142,0.83369,0.87465
2016,Couple with children,Owner,Yes,0.19820,537,2662,0.18306,0.21335
2016,Couple with children,Owner,No,0.80180,2125,2662,0.78665,0.81694
2016,Couple with children,Tenant,Yes,0.15442,355,2328,0.13974,0.16911
2016,Couple with children,Tenant,No,0.84558,1973,2328,0.83089,0.86026
2016,Multi-generational household,Owner,No,0.85256,40,40,0.74128,0.96383
2016,Multi-generational household,Tenant,No,0.87241,45,45,0.77383,0.97099
2016,Other Combinations,Owner,No,0.84498,43,43,0.73553,0.95444
2016,Other Combinations,Tenant,No,0.89351,128,128,0.83986,0.94716
2021,Single-person household,Owner,Yes,0.08150,84,862,0.06322,0.09977
2021,Single-person household,Owner,No,0.91835,778,862,0.90006,0.93664
2021,Single-person household,Tenant,Yes,0.05639,138,2325,0.04701,0.06577
2021,Single-person household,Tenant,No,0.92795,2187,2325,0.91744,0.93847
2021,Couple without children,Owner,Yes,0.14650,307,1924,0.13070,0.16231
2021,Couple without children,Owner,No,0.85349,1617,1924,0.83768,0.86929
2021,Couple without children,Tenant,Yes,0.11457,166,1489,0.09839,0.13075
2021,Couple without children,Tenant,No,0.88028,1323,1489,0.86379,0.89678
2021,Single parent,Owner,Yes,0.28586,74,249,0.22963,0.34209
2021,Single parent,Owner,No,0.71414,175,249,0.65791,0.77037
2021,Single parent,Tenant,Yes,0.18879,118,647,0.15861,0.21897
2021,Single parent,Tenant,No,0.78889,529,647,0.75742,0.82036
2021,Couple with children,Owner,Yes,0.22528,450,1881,0.20640,0.24416
2021,Couple with children,Owner,No,0.77122,1431,1881,0.75223,0.79021
