year,quintil_oecd_hh,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,5th Quintile,Urban regions,Yes,0.10737,194,1682,0.09257,0.12217
2001,5th Quintile,Urban regions,No,0.89263,1488,1682,0.87783,0.90743
2001,5th Quintile,Rural regions,Yes,0.17075,89,499,0.13770,0.20380
2001,5th Quintile,Rural regions,No,0.82925,410,499,0.79620,0.86230
2006,1st Quintile,Urban regions,Yes,0.08294,119,1331,0.06812,0.09776
2006,1st Quintile,Urban regions,No,0.91706,1212,1331,0.90224,0.93188
2006,1st Quintile,Rural regions,Yes,0.15198,129,765,0.12652,0.17744
2006,1st Quintile,Rural regions,No,0.84802,636,765,0.82256,0.87348
2006,2nd Quintile,Urban regions,Yes,0.10835,155,1331,0.09164,0.12505
2006,2nd Quintile,Urban regions,No,0.89165,1176,1331,0.87495,0.90836
2006,2nd Quintile,Rural regions,Yes,0.15373,169,891,0.13003,0.17743
2006,2nd Quintile,Rural regions,No,0.84627,722,891,0.82257,0.86997
2006,3rd Quintile,Urban regions,Yes,0.10292,175,1498,0.08753,0.11832
2006,3rd Quintile,Urban regions,No,0.89708,1323,1498,0.88168,0.91247
2006,3rd Quintile,Rural regions,Yes,0.18088,168,889,0.15556,0.20620
2006,3rd Quintile,Rural regions,No,0.81912,721,889,0.79380,0.84444
2006,4th Quintile,Urban regions,Yes,0.09743,191,1686,0.08327,0.11159
2006,4th Quintile,Urban regions,No,0.90257,1495,1686,0.88841,0.91673
2006,4th Quintile,Rural regions,Yes,0.18070,147,807,0.15414,0.20726
2006,4th Quintile,Rural regions,No,0.81930,660,807,0.79274,0.84586
2006,5th Quintile,Urban regions,Yes,0.09872,278,2318,0.08657,0.11086
2006,5th Quintile,Urban regions,No,0.90128,2040,2318,0.88914,0.91343
2006,5th Quintile,Rural regions,Yes,0.15453,132,743,0.12853,0.18054
2006,5th Quintile,Rural regions,No,0.84547,611,743,0.81946,0.87147
2011,1st Quintile,Urban regions,Yes,0.07205,130,1387,0.05843,0.08566
2011,1st Quintile,Urban regions,No,0.79175,1257,1387,0.77037,0.81312
2011,1st Quintile,Rural regions,Yes,0.11553,126,868,0.09425,0.13681
2011,1st Quintile,Rural regions,No,0.75870,742,868,0.73022,0.78718
2011,2nd Quintile,Urban regions,Yes,0.08192,130,1332,0.06719,0.09665
2011,2nd Quintile,Urban regions,No,0.82564,1202,1332,0.80526,0.84602
2011,2nd Quintile,Rural regions,Yes,0.14496,154,907,0.12203,0.16788
2011,2nd Quintile,Rural regions,No,0.74473,753,907,0.71633,0.77312
2011,3rd Quintile,Urban regions,Yes,0.09801,167,1450,0.08271,0.11332
2011,3rd Quintile,Urban regions,No,0.83093,1283,1450,0.81163,0.85023
2011,3rd Quintile,Rural regions,Yes,0.14528,167,925,0.12256,0.16800
2011,3rd Quintile,Rural regions,No,0.79581,758,925,0.76982,0.82180
2011,4th Quintile,Urban regions,Yes,0.10255,197,1637,0.08785,0.11725
2011,4th Quintile,Urban regions,No,0.84720,1440,1637,0.82977,0.86464
2011,4th Quintile,Rural regions,Yes,0.14807,126,799,0.12343,0.17271
2011,4th Quintile,Rural regions,No,0.80084,673,799,0.77313,0.82855
2011,5th Quintile,Urban regions,Yes,0.10516,243,2064,0.09192,0.11840
2011,5th Quintile,Urban regions,No,0.85875,1821,2064,0.84372,0.87377
2011,5th Quintile,Rural regions,Yes,0.18376,131,712,0.15529,0.21223
2011,5th Quintile,Rural regions,No,0.78555,581,712,0.75538,0.81572
2016,1st Quintile,Urban regions,Yes,0.09407,239,1987,0.08123,0.10691
2016,1st Quintile,Urban regions,No,0.87816,1748,1987,0.86378,0.89255
2016,1st Quintile,Rural regions,Yes,0.15057,200,1109,0.12952,0.17163
2016,1st Quintile,Rural regions,No,0.82608,909,1109,0.80376,0.84839
2016,2nd Quintile,Urban regions,Yes,0.10168,209,1849,0.08790,0.11546
2016,2nd Quintile,Urban regions,No,0.89832,1640,1849,0.88454,0.91210
2016,2nd Quintile,Rural regions,Yes,0.15245,201,1192,0.13204,0.17287
2016,2nd Quintile,Rural regions,No,0.84755,991,1192,0.82713,0.86796
2016,3rd Quintile,Urban regions,Yes,0.10785,202,1725,0.09320,0.12249
2016,3rd Quintile,Urban regions,No,0.89215,1523,1725,0.87751,0.90680
2016,3rd Quintile,Rural regions,Yes,0.14050,177,1018,0.11914,0.16186
2016,3rd Quintile,Rural regions,No,0.85950,841,1018,0.83814,0.88086
2016,4th Quintile,Urban regions,Yes,0.10821,203,1761,0.09369,0.12272
2016,4th Quintile,Urban regions,No,0.89179,1558,1761,0.87728,0.90631
2016,4th Quintile,Rural regions,Yes,0.16380,163,901,0.13962,0.18798
2016,4th Quintile,Rural regions,No,0.83620,738,901,0.81202,0.86038
2016,5th Quintile,Urban regions,Yes,0.10955,242,2050,0.09603,0.12308
2016,5th Quintile,Urban regions,No,0.89045,1808,2050,0.87692,0.90397
2016,5th Quintile,Rural regions,Yes,0.17356,120,705,0.14559,0.20154
2016,5th Quintile,Rural regions,No,0.82644,585,705,0.79846,0.85441
2021,1st Quintile,Urban regions,Yes,0.09380,132,1350,0.07824,0.10935
2021,1st Quintile,Urban regions,No,0.85846,1218,1350,0.83985,0.87706
2021,1st Quintile,Rural regions,Yes,0.14840,126,691,0.12187,0.17492
2021,1st Quintile,Rural regions,No,0.82456,565,691,0.79618,0.85294
2021,2nd Quintile,Urban regions,Yes,0.09329,166,1332,0.07767,0.10892
2021,2nd Quintile,Urban regions,No,0.89796,1166,1332,0.88169,0.91422
2021,2nd Quintile,Rural regions,Yes,0.11851,158,852,0.09679,0.14022
2021,2nd Quintile,Rural regions,No,0.87824,694,852,0.85627,0.90021
2021,3rd Quintile,Urban regions,Yes,0.10674,171,1299,0.08994,0.12354
2021,3rd Quintile,Urban regions,No,0.89124,1128,1299,0.87430,0.90818
2021,3rd Quintile,Rural regions,Yes,0.14630,143,725,0.12056,0.17205
2021,3rd Quintile,Rural regions,No,0.85257,582,725,0.82674,0.87840
2021,4th Quintile,Urban regions,Yes,0.13025,183,1396,0.11258,0.14791
2021,4th Quintile,Urban regions,No,0.86865,1213,1396,0.85093,0.88638
2021,4th Quintile,Rural regions,Yes,0.13281,110,682,0.10732,0.15829
2021,4th Quintile,Rural regions,No,0.86679,572,682,0.84126,0.89231
2021,5th Quintile,Urban regions,Yes,0.11892,285,2018,0.10480,0.13305
2021,5th Quintile,Urban regions,No,0.87828,1733,2018,0.86401,0.89255
2021,5th Quintile,Rural regions,Yes,0.19537,134,691,0.16579,0.22495
2021,5th Quintile,Rural regions,No,0.79620,557,691,0.76614,0.82626
