year,regtyp,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.10355,367,3770,0.09382,0.11328
1996,Urban regions,West,No,0.89645,3403,3770,0.88672,0.90618
1996,Urban regions,East,Yes,0.09069,64,638,0.06839,0.11299
1996,Urban regions,East,No,0.90931,574,638,0.88701,0.93161
1996,Rural regions,West,Yes,0.13300,135,1023,0.11218,0.15382
1996,Rural regions,West,No,0.86700,888,1023,0.84618,0.88782
1996,Rural regions,East,Yes,0.17554,238,1200,0.15400,0.19707
1996,Rural regions,East,No,0.82446,962,1200,0.80293,0.84600
2001,Urban regions,West,Yes,0.10281,759,6828,0.09560,0.11001
2001,Urban regions,West,No,0.89719,6069,6828,0.88999,0.90440
2001,Urban regions,East,Yes,0.09809,112,955,0.07922,0.11697
2001,Urban regions,East,No,0.90191,843,955,0.88303,0.92078
2001,Rural regions,West,Yes,0.14084,317,2009,0.12562,0.15606
2001,Rural regions,West,No,0.85916,1692,2009,0.84394,0.87438
2001,Rural regions,East,Yes,0.19837,434,1888,0.18038,0.21636
2001,Rural regions,East,No,0.80163,1454,1888,0.78364,0.81962
2006,Urban regions,West,Yes,0.09936,817,7176,0.09244,0.10629
2006,Urban regions,West,No,0.90064,6359,7176,0.89371,0.90756
2006,Urban regions,East,Yes,0.08494,101,992,0.06758,0.10230
2006,Urban regions,East,No,0.91506,891,992,0.89770,0.93242
2006,Rural regions,West,Yes,0.15153,357,2161,0.13641,0.16665
2006,Rural regions,West,No,0.84847,1804,2161,0.83335,0.86359
2006,Rural regions,East,Yes,0.18534,390,1936,0.16802,0.20265
2006,Rural regions,East,No,0.81466,1546,1936,0.79735,0.83198
2011,Urban regions,West,Yes,0.09336,772,6851,0.08647,0.10025
2011,Urban regions,West,No,0.83165,6079,6851,0.82279,0.84051
2011,Urban regions,East,Yes,0.08369,95,1022,0.06671,0.10068
2011,Urban regions,East,No,0.83846,927,1022,0.81589,0.86104
2011,Rural regions,West,Yes,0.13588,368,2341,0.12200,0.14977
2011,Rural regions,West,No,0.77803,1973,2341,0.76119,0.79487
2011,Rural regions,East,Yes,0.15978,336,1870,0.14317,0.17639
2011,Rural regions,East,No,0.77238,1534,1870,0.75337,0.79139
2016,Urban regions,West,Yes,0.10737,995,8255,0.10069,0.11405
2016,Urban regions,West,No,0.88722,7260,8255,0.88040,0.89405
2016,Urban regions,East,Yes,0.07607,100,1122,0.06055,0.09159
2016,Urban regions,East,No,0.91776,1022,1122,0.90168,0.93385
2016,Rural regions,West,Yes,0.15214,501,2973,0.13923,0.16505
2016,Rural regions,West,No,0.84302,2472,2973,0.82994,0.85610
2016,Rural regions,East,Yes,0.15976,360,1952,0.14350,0.17602
2016,Rural regions,East,No,0.83519,1592,1952,0.81873,0.85166
2021,Urban regions,West,Yes,0.11191,862,6511,0.10425,0.11956
2021,Urban regions,West,No,0.87593,5649,6511,0.86792,0.88394
2021,Urban regions,East,Yes,0.07908,76,898,0.06142,0.09674
2021,Urban regions,East,No,0.90194,822,898,0.88248,0.92140
2021,Rural regions,West,Yes,0.14618,396,2153,0.13126,0.16111
2021,Rural regions,West,No,0.84371,1757,2153,0.82837,0.85905
2021,Rural regions,East,Yes,0.14402,277,1493,0.12620,0.16183
2021,Rural regions,East,No,0.85142,1216,1493,0.83337,0.86947
