year,regtyp,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.03372,468,11682,0.03045,0.03700
2009,Urban regions,No,0.80746,11214,11682,0.80031,0.81461
2009,Rural regions,Yes,0.02816,210,6336,0.02409,0.03224
2009,Rural regions,No,0.82053,6126,6336,0.81108,0.82998
2011,Urban regions,Yes,0.03639,627,13360,0.03321,0.03956
2011,Urban regions,No,0.72970,12733,13360,0.72217,0.73723
2011,Rural regions,Yes,0.03396,314,7385,0.02983,0.03809
2011,Rural regions,No,0.73466,7071,7385,0.72459,0.74473
2013,Urban regions,Yes,0.04363,689,12047,0.03998,0.04727
2013,Urban regions,No,0.65339,11358,12047,0.64489,0.66189
2013,Rural regions,Yes,0.04103,353,6819,0.03632,0.04574
2013,Rural regions,No,0.70008,6466,6819,0.68920,0.71096
2015,Urban regions,Yes,0.04804,769,16171,0.04474,0.05133
2015,Urban regions,No,0.77188,15402,16171,0.76541,0.77834
2015,Rural regions,Yes,0.04372,392,8869,0.03946,0.04797
2015,Rural regions,No,0.79271,8477,8869,0.78427,0.80115
2017,Urban regions,Yes,0.04694,841,17147,0.04377,0.05010
2017,Urban regions,No,0.78489,16306,17147,0.77874,0.79104
2017,Rural regions,Yes,0.04563,442,9402,0.04141,0.04985
2017,Rural regions,No,0.79314,8960,9402,0.78495,0.80133
2019,Urban regions,Yes,0.04989,882,16365,0.04655,0.05322
2019,Urban regions,No,0.77971,15483,16365,0.77336,0.78606
2019,Rural regions,Yes,0.04681,464,8806,0.04240,0.05123
2019,Rural regions,No,0.78715,8342,8806,0.77860,0.79570
2021,Urban regions,Yes,0.05641,695,12996,0.05244,0.06038
2021,Urban regions,No,0.76552,12301,12996,0.75824,0.77281
2021,Rural regions,Yes,0.05566,353,6167,0.04994,0.06139
2021,Rural regions,No,0.76962,5814,6167,0.75911,0.78013
