year,ple0015,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.03193,678,18018,0.02936,0.03449
2009,No,0.81169,17340,18018,0.80598,0.81740
2011,Yes,0.03560,941,20745,0.03308,0.03812
2011,No,0.73132,19804,20745,0.72529,0.73735
2013,Yes,0.04278,1042,18866,0.03989,0.04567
2013,No,0.66861,17824,18866,0.66189,0.67533
2015,Yes,0.04665,1161,25040,0.04404,0.04927
2015,No,0.77856,23879,25040,0.77341,0.78370
2017,Yes,0.04653,1283,26549,0.04399,0.04906
2017,No,0.78748,25266,26549,0.78256,0.79240
2019,Yes,0.04903,1382,25725,0.04639,0.05167
2019,No,0.78224,24343,25725,0.77720,0.78729
2021,Yes,0.05616,1048,19164,0.05290,0.05942
2021,No,0.76688,18116,19164,0.76089,0.77287
