"year","hhtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","78","70.17","2380","76.24","79.76"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","55.78","50.5","1060","53.66","57.9"
"1986","Alleinerziehende","Ostdeutschland","","","","",""
"1986","Alleinerziehende","Westdeutschland","85.39","74","704","81.59","89.19"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","91.45","84.62","8677","90.42","92.48"
"1986","Sonstige","Ostdeutschland","","","","",""
"1986","Sonstige","Westdeutschland","95.96","83.12","878","91.95","99.97"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","71.07","63.46","2362","69.43","72.71"
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","54.1","50.5","1068","52.03","56.17"
"1987","Alleinerziehende","Ostdeutschland","","","","",""
"1987","Alleinerziehende","Westdeutschland","75.94","70.67","703","72.95","78.93"
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","82.56","75.5","8451","81.58","83.54"
"1987","Sonstige","Ostdeutschland","","","","",""
"1987","Sonstige","Westdeutschland","84.95","80.12","937","82.2","87.7"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","66.39","60.5","2304","64.89","67.89"
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","51.12","47.5","1018","49.01","53.23"
"1988","Alleinerziehende","Ostdeutschland","","","","",""
"1988","Alleinerziehende","Westdeutschland","70","60.33","692","67.07","72.93"
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","75.31","65.5","8034","74.37","76.25"
"1988","Sonstige","Ostdeutschland","","","","",""
"1988","Sonstige","Westdeutschland","72.29","63.46","818","68.95","75.63"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","62.43","51.08","2292","60.77","64.09"
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","50.08","45.5","1021","47.82","52.34"
"1989","Alleinerziehende","Ostdeutschland","","","","",""
"1989","Alleinerziehende","Westdeutschland","66.92","60.33","651","64.2","69.64"
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","71.23","63.71","7639","70.33","72.13"
"1989","Sonstige","Ostdeutschland","","","","",""
"1989","Sonstige","Westdeutschland","68.03","60.33","817","64.3","71.76"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","19.21","14.96","954","18.41","20.01"
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","62.78","51.08","2324","61.21","64.35"
"1990","1-Pers.- Haushalt","Ostdeutschland","14.09","10.83","324","12.87","15.31"
"1990","1-Pers.- Haushalt","Westdeutschland","48.47","42.79","989","46.6","50.34"
"1990","Alleinerziehende","Ostdeutschland","19.02","14.5","304","17.52","20.52"
"1990","Alleinerziehende","Westdeutschland","64.53","59.25","638","61.88","67.18"
"1990","Paar mit Kind(ern)","Ostdeutschland","24.02","19.58","4042","23.53","24.51"
"1990","Paar mit Kind(ern)","Westdeutschland","69.64","63.58","7439","68.67","70.61"
"1990","Sonstige","Ostdeutschland","25.54","20.67","395","23.51","27.57"
"1990","Sonstige","Westdeutschland","75.57","63.46","881","72.52","78.62"
"1991","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","32.2","22.62","890","30.43","33.97"
"1991","(Ehe-)Paar ohne Kind(er)","Westdeutschland","65.63","59.58","2358","64.28","66.98"
"1991","1-Pers.- Haushalt","Ostdeutschland","22.4","14.96","285","19.92","24.88"
"1991","1-Pers.- Haushalt","Westdeutschland","50.6","46.42","977","48.79","52.41"
"1991","Alleinerziehende","Ostdeutschland","28.45","19.58","274","25.61","31.29"
