"year","quintil","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","67.44","62.5","2220","66.05","68.83"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","70.87","63.46","4500","69.71","72.03"
"1995","2","Ostdeutschland","69.85","63.46","1477","68.28","71.42"
"1995","2","Westdeutschland","68.4","63.67","3280","67.16","69.64"
"1995","3","Ostdeutschland","73.69","68.58","672","71.18","76.2"
"1995","3","Westdeutschland","71.15","63.71","2244","69.6","72.7"
"1995","4","Ostdeutschland","77.12","75.5","242","73.24","81"
"1995","4","Westdeutschland","72.3","64.92","1502","70.45","74.15"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","98.43","98","47","78.02","118.84"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","81.41","75.5","749","78.48","84.34"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","63.66","57.75","1926","62.24","65.08"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","65.34","55.71","4111","64.26","66.42"
"1996","2","Ostdeutschland","65.35","60.5","1540","63.83","66.87"
"1996","2","Westdeutschland","65.19","59.33","3209","64.04","66.34"
"1996","3","Ostdeutschland","68","60.5","757","65.6","70.4"
"1996","3","Westdeutschland","63.09","56.5","2277","61.84","64.34"
"1996","4","Ostdeutschland","71.59","65.96","275","66.95","76.23"
"1996","4","Westdeutschland","69.03","60.96","1535","67.38","70.68"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","76.13","75","68","68.55","83.71"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","75.27","68.58","845","72.77","77.77"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","64.32","59.33","1861","62.89","65.75"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","65.91","57.75","3855","64.88","66.94"
"1997","2","Ostdeutschland","68.13","62.5","1462","66.37","69.89"
"1997","2","Westdeutschland","64.75","55.71","3150","63.61","65.89"
"1997","3","Ostdeutschland","67.87","60.5","781","65.68","70.06"
"1997","3","Westdeutschland","66.84","59.83","2361","65.51","68.17"
"1997","4","Ostdeutschland","68.93","60.33","299","65.01","72.85"
"1997","4","Westdeutschland","69.97","61.04","1526","68.19","71.75"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","76.83","74","69","68.92","84.74"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","76.68","71.29","840","73.87","79.49"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","62.42","55.71","2007","61.02","63.82"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","63.72","52.79","4033","62.73","64.71"
"1998","2","Ostdeutschland","61.36","53.83","1324","59.69","63.03"
"1998","2","Westdeutschland","63.26","55.21","3518","62.15","64.37"
"1998","3","Ostdeutschland","64.57","59.33","855","62.5","66.64"
"1998","3","Westdeutschland","64.56","57.75","2532","63.31","65.81"
"1998","4","Ostdeutschland","66.53","60.5","374","63.02","70.04"
"1998","4","Westdeutschland","68.75","60.62","1874","67.19","70.31"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","80.13","62.46","90","72.82","87.44"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","76.51","67.46","1001","74.05","78.97"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","59","51.08","1591","57.48","60.52"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","62.91","51.58","3419","61.79","64.03"
"1999","2","Ostdeutschland","61.86","55.21","1546","60.22","63.5"
"1999","2","Westdeutschland","61.66","51.08","3549","60.59","62.73"
"1999","3","Ostdeutschland","62.54","56.5","934","60.66","64.42"
"1999","3","Westdeutschland","64.04","55.96","2598","62.78","65.3"
"1999","4","Ostdeutschland","62.34","60.33","395","59.37","65.31"
"1999","4","Westdeutschland","63.68","57.04","1932","62.21","65.15"
"1999","5 Einkommensstärkstes Quintil","Ostdeutschland","99.59","83.12","93","89.2","109.98"
"1999","5 Einkommensstärkstes Quintil","Westdeutschland","72.2","63.46","1157","69.96","74.44"
"2000","1 Einkommensschwächstes Quintil","Ostdeutschland","60.45","51.08","2453","59.08","61.82"
"2000","1 Einkommensschwächstes Quintil","Westdeutschland","65.11","55.21","5680","64.14","66.08"
"2000","2","Ostdeutschland","62.24","55.21","2221","60.98","63.5"
"2000","2","Westdeutschland","66.46","59.83","6019","65.52","67.4"
"2000","3","Ostdeutschland","65.43","60.5","1403","63.78","67.08"
"2000","3","Westdeutschland","69.96","63.46","5030","68.94","70.98"
"2000","4","Ostdeutschland","65.33","58.83","687","62.78","67.88"
"2000","4","Westdeutschland","69.1","60.96","3860","67.9","70.3"
"2000","5 Einkommensstärkstes Quintil","Ostdeutschland","86.19","75","241","81.67","90.71"
"2000","5 Einkommensstärkstes Quintil","Westdeutschland","76.85","68.08","2527","75.17","78.53"
"2001","1 Einkommensschwächstes Quintil","Ostdeutschland","67.01","59.33","2043","65.24","68.78"
"2001","1 Einkommensschwächstes Quintil","Westdeutschland","73.07","62.5","4857","71.92","74.22"
"2001","2","Ostdeutschland","70.24","61.5","1973","68.59","71.89"
"2001","2","Westdeutschland","75.72","65.5","5286","74.58","76.86"
"2001","3","Ostdeutschland","69.82","61.88","1429","67.86","71.78"
"2001","3","Westdeutschland","76.89","68","4586","75.73","78.05"
"2001","4","Ostdeutschland","70.85","63.46","746","68","73.7"
"2001","4","Westdeutschland","77.68","68.08","3667","76.29","79.07"
"2001","5 Einkommensstärkstes Quintil","Ostdeutschland","87.39","78.83","271","82.24","92.54"
"2001","5 Einkommensstärkstes Quintil","Westdeutschland","87.47","75.71","2467","85.51","89.43"
"2002","1 Einkommensschwächstes Quintil","Ostdeutschland","69.93","59.5","1768","67.96","71.9"
"2002","1 Einkommensschwächstes Quintil","Westdeutschland","72.79","59.5","4016","71.37","74.21"
"2002","2","Ostdeutschland","69.65","62.25","1665","67.78","71.52"
"2002","2","Westdeutschland","74.41","66.38","4506","73.33","75.49"
"2002","3","Ostdeutschland","69.3","59.58","1452","67.24","71.36"
"2002","3","Westdeutschland","75.52","66.33","4184","74.26","76.78"
"2002","4","Ostdeutschland","73.82","65.83","935","71.2","76.44"
"2002","4","Westdeutschland","78.25","69.79","4560","76.79","79.71"
"2002","5 Einkommensstärkstes Quintil","Ostdeutschland","96.58","79.5","537","91.35","101.81"
