"year","hhtyp","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","63.33","60.5","840","60.97","65.69"
"1995","(Ehe-)Paar ohne Kind(er)","2","66.89","63.21","850","64.86","68.92"
"1995","(Ehe-)Paar ohne Kind(er)","3","69.68","62.54","808","67.32","72.04"
"1995","(Ehe-)Paar ohne Kind(er)","4","69.92","64.96","670","67.34","72.5"
"1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","85.16","76.33","322","80.16","90.16"
"1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","49.92","45.5","478","47.42","52.42"
"1995","1-Pers.- Haushalt","2","52.55","50.5","400","49.81","55.29"
"1995","1-Pers.- Haushalt","3","55.97","50.5","215","52.25","59.69"
"1995","1-Pers.- Haushalt","4","61.71","52.5","140","56.05","67.37"
"1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","65.63","57.54","94","56.68","74.58"
"1995","Alleinerziehende","1 Einkommensschwächstes Quintil","70.62","65.5","532","67.68","73.56"
"1995","Alleinerziehende","2","76.31","75.5","192","71.88","80.74"
"1995","Alleinerziehende","3","78.33","65.38","110","70.82","85.84"
"1995","Alleinerziehende","4","87.54","69.46","58","75.3","99.78"
"1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","75.89","74.79","4426","74.78","77"
"1995","Paar mit Kind(ern)","2","74.14","67.58","2996","72.86","75.42"
"1995","Paar mit Kind(ern)","3","76.1","70.5","1563","74.25","77.95"
"1995","Paar mit Kind(ern)","4","76.62","71.71","770","74.08","79.16"
"1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","87.48","78.79","325","83.53","91.43"
"1995","Sonstige","1 Einkommensschwächstes Quintil","84.71","83.12","444","80.51","88.91"
"1995","Sonstige","2","68.91","62.46","319","65.17","72.65"
