year,quintil_oecd,sex,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,male,Yes,0.19149,200,1043,0.16759,0.21538
2011,1st Quintile,male,No,0.80851,843,1043,0.78462,0.83241
2011,1st Quintile,female,Yes,0.31369,357,1450,0.28980,0.33759
2011,1st Quintile,female,No,0.68631,1093,1450,0.66241,0.71020
2011,2nd Quintile,male,Yes,0.18697,223,1224,0.16512,0.20883
2011,2nd Quintile,male,No,0.81303,1001,1224,0.79117,0.83488
2011,2nd Quintile,female,Yes,0.29324,381,1503,0.27022,0.31627
2011,2nd Quintile,female,No,0.70676,1122,1503,0.68373,0.72978
2011,3rd Quintile,male,Yes,0.19142,264,1464,0.17126,0.21158
2011,3rd Quintile,male,No,0.80858,1200,1464,0.78842,0.82874
2011,3rd Quintile,female,Yes,0.27426,384,1600,0.25239,0.29612
2011,3rd Quintile,female,No,0.72574,1216,1600,0.70388,0.74761
2011,4th Quintile,male,Yes,0.13610,241,1659,0.11960,0.15261
2011,4th Quintile,male,No,0.86390,1418,1659,0.84739,0.88040
2011,4th Quintile,female,Yes,0.21429,315,1630,0.19437,0.23422
2011,4th Quintile,female,No,0.78571,1315,1630,0.76578,0.80563
2011,5th Quintile,male,Yes,0.14185,312,2050,0.12675,0.15696
2011,5th Quintile,male,No,0.85815,1738,2050,0.84304,0.87325
2011,5th Quintile,female,Yes,0.21449,407,2039,0.19666,0.23231
2011,5th Quintile,female,No,0.78551,1632,2039,0.76769,0.80334
2013,1st Quintile,male,Yes,0.19607,238,1284,0.17435,0.21780
2013,1st Quintile,male,No,0.80393,1046,1284,0.78220,0.82565
2013,1st Quintile,female,Yes,0.28773,431,1816,0.26690,0.30856
2013,1st Quintile,female,No,0.71227,1385,1816,0.69144,0.73310
2013,2nd Quintile,male,Yes,0.19248,286,1532,0.17273,0.21223
2013,2nd Quintile,male,No,0.80752,1246,1532,0.78777,0.82727
2013,2nd Quintile,female,Yes,0.31181,507,1909,0.29102,0.33259
2013,2nd Quintile,female,No,0.68819,1402,1909,0.66741,0.70898
2013,3rd Quintile,male,Yes,0.21327,343,1711,0.19385,0.23268
2013,3rd Quintile,male,No,0.78673,1368,1711,0.76732,0.80615
2013,3rd Quintile,female,Yes,0.27514,495,1893,0.25502,0.29527
2013,3rd Quintile,female,No,0.72486,1398,1893,0.70473,0.74498
2013,4th Quintile,male,Yes,0.13015,280,1905,0.11504,0.14527
2013,4th Quintile,male,No,0.86985,1625,1905,0.85473,0.88496
2013,4th Quintile,female,Yes,0.26201,466,2012,0.24279,0.28123
2013,4th Quintile,female,No,0.73799,1546,2012,0.71877,0.75721
2013,5th Quintile,male,Yes,0.15479,384,2400,0.14032,0.16927
2013,5th Quintile,male,No,0.84521,2016,2400,0.83073,0.85968
2013,5th Quintile,female,Yes,0.20965,473,2400,0.19336,0.22594
2013,5th Quintile,female,No,0.79035,1927,2400,0.77406,0.80664
2015,1st Quintile,male,Yes,0.17083,303,2107,0.15476,0.18690
2015,1st Quintile,male,No,0.82917,1804,2107,0.81310,0.84524
2015,1st Quintile,female,Yes,0.26497,609,2975,0.24911,0.28083
2015,1st Quintile,female,No,0.73503,2366,2975,0.71917,0.75089
2015,2nd Quintile,male,Yes,0.18791,377,2278,0.17186,0.20395
2015,2nd Quintile,male,No,0.81209,1901,2278,0.79605,0.82814
2015,2nd Quintile,female,Yes,0.28279,621,2971,0.26659,0.29899
2015,2nd Quintile,female,No,0.71721,2350,2971,0.70101,0.73341
2015,3rd Quintile,male,Yes,0.15920,310,2247,0.14407,0.17434
2015,3rd Quintile,male,No,0.84080,1937,2247,0.82566,0.85593
2015,3rd Quintile,female,Yes,0.26892,548,2595,0.25186,0.28598
2015,3rd Quintile,female,No,0.73108,2047,2595,0.71402,0.74814
2015,4th Quintile,male,Yes,0.15652,338,2275,0.14159,0.17146
2015,4th Quintile,male,No,0.84348,1937,2275,0.82854,0.85841
2015,4th Quintile,female,Yes,0.21349,460,2480,0.19736,0.22963
2015,4th Quintile,female,No,0.78651,2020,2480,0.77037,0.80264
2015,5th Quintile,male,Yes,0.14214,368,2551,0.12858,0.15569
2015,5th Quintile,male,No,0.85786,2183,2551,0.84431,0.87142
2015,5th Quintile,female,Yes,0.19632,473,2557,0.18093,0.21172
2015,5th Quintile,female,No,0.80368,2084,2557,0.78828,0.81907
2017,1st Quintile,male,Yes,0.18636,278,1955,0.16909,0.20363
2017,1st Quintile,male,No,0.81364,1677,1955,0.79637,0.83091
2017,1st Quintile,female,Yes,0.26402,534,2762,0.24758,0.28046
2017,1st Quintile,female,No,0.73598,2228,2762,0.71954,0.75242
2017,2nd Quintile,male,Yes,0.17926,332,2112,0.16289,0.19562
2017,2nd Quintile,male,No,0.82074,1780,2112,0.80438,0.83711
2017,2nd Quintile,female,Yes,0.28882,590,2681,0.27166,0.30598
2017,2nd Quintile,female,No,0.71118,2091,2681,0.69402,0.72834
2017,3rd Quintile,male,Yes,0.21395,356,2017,0.19605,0.23185
2017,3rd Quintile,male,No,0.78605,1661,2017,0.76815,0.80395
2017,3rd Quintile,female,Yes,0.28229,517,2397,0.26427,0.30031
2017,3rd Quintile,female,No,0.71771,1880,2397,0.69969,0.73573
2017,4th Quintile,male,Yes,0.15580,315,2077,0.14020,0.17140
2017,4th Quintile,male,No,0.84420,1762,2077,0.82860,0.85980
2017,4th Quintile,female,Yes,0.25349,470,2281,0.23563,0.27134
2017,4th Quintile,female,No,0.74651,1811,2281,0.72866,0.76437
2017,5th Quintile,male,Yes,0.15491,355,2277,0.14004,0.16977
2017,5th Quintile,male,No,0.84509,1922,2277,0.83023,0.85996
2017,5th Quintile,female,Yes,0.21294,427,2277,0.19612,0.22976
2017,5th Quintile,female,No,0.78706,1850,2277,0.77024,0.80388
2019,1st Quintile,male,Yes,0.17128,285,1876,0.15423,0.18834
2019,1st Quintile,male,No,0.82872,1591,1876,0.81166,0.84577
2019,1st Quintile,female,Yes,0.27881,550,2569,0.26147,0.29616
2019,1st Quintile,female,No,0.72119,2019,2569,0.70384,0.73853
2019,2nd Quintile,male,Yes,0.17221,378,2112,0.15610,0.18832
2019,2nd Quintile,male,No,0.82779,1734,2112,0.81168,0.84390
2019,2nd Quintile,female,Yes,0.29401,650,2657,0.27669,0.31134
2019,2nd Quintile,female,No,0.70599,2007,2657,0.68866,0.72331
2019,3rd Quintile,male,Yes,0.18537,362,2018,0.16842,0.20233
2019,3rd Quintile,male,No,0.81463,1656,2018,0.79767,0.83158
2019,3rd Quintile,female,Yes,0.24842,522,2404,0.23115,0.26570
2019,3rd Quintile,female,No,0.75158,1882,2404,0.73430,0.76885
2019,4th Quintile,male,Yes,0.17282,350,2022,0.15634,0.18930
2019,4th Quintile,male,No,0.82718,1672,2022,0.81070,0.84366
2019,4th Quintile,female,Yes,0.25648,498,2251,0.23843,0.27452
2019,4th Quintile,female,No,0.74352,1753,2251,0.72548,0.76157
2019,5th Quintile,male,Yes,0.17508,426,2420,0.15993,0.19022
2019,5th Quintile,male,No,0.82492,1994,2420,0.80978,0.84007
2019,5th Quintile,female,Yes,0.20085,487,2398,0.18482,0.21689
2019,5th Quintile,female,No,0.79915,1911,2398,0.78311,0.81518
2021,1st Quintile,male,Yes,0.17125,305,2298,0.15584,0.18666
2021,1st Quintile,male,No,0.82875,1993,2298,0.81334,0.84416
2021,1st Quintile,female,Yes,0.30917,547,2470,0.29094,0.32740
2021,1st Quintile,female,No,0.69083,1923,2470,0.67260,0.70906
2021,2nd Quintile,male,Yes,0.21194,302,1598,0.19189,0.23198
2021,2nd Quintile,male,No,0.78806,1296,1598,0.76802,0.80811
2021,2nd Quintile,female,Yes,0.26809,458,1928,0.24831,0.28787
2021,2nd Quintile,female,No,0.73191,1470,1928,0.71213,0.75169
2021,3rd Quintile,male,Yes,0.19092,256,1438,0.17060,0.21125
2021,3rd Quintile,male,No,0.80908,1182,1438,0.78875,0.82940
2021,3rd Quintile,female,Yes,0.28819,394,1686,0.26656,0.30982
2021,3rd Quintile,female,No,0.71181,1292,1686,0.69018,0.73344
2021,4th Quintile,male,Yes,0.17959,251,1517,0.16027,0.19891
2021,4th Quintile,male,No,0.82041,1266,1517,0.80109,0.83973
2021,4th Quintile,female,Yes,0.29324,408,1665,0.27137,0.31512
2021,4th Quintile,female,No,0.70676,1257,1665,0.68488,0.72863
2021,5th Quintile,male,Yes,0.16449,367,2249,0.14916,0.17981
2021,5th Quintile,male,No,0.83551,1882,2249,0.82019,0.85084
2021,5th Quintile,female,Yes,0.23076,425,2006,0.21232,0.24920
2021,5th Quintile,female,No,0.76924,1581,2006,0.75080,0.78768
