"ple0021","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2011","Westdeutschland","maennlich","1235","","",""
"Ja","2011","Westdeutschland","weiblich","1863","","",""
"Ja","2011","Ostdeutschland","maennlich","407","0.164265330406667","0.149220846444235","0.179309814369099"
"Ja","2011","Ostdeutschland","weiblich","589","0.252513824963527","0.235733373657608","0.269294276269446"
"Nein","2011","Westdeutschland","maennlich","6224","0.837911631772654","0.829548232664481","0.846275030880828"
"Nein","2011","Westdeutschland","weiblich","6518","0.750928637531044","0.741669694703804","0.760187580358285"
"Nein","2011","Ostdeutschland","maennlich","1923","","",""
"Nein","2011","Ostdeutschland","weiblich","1986","","",""
"Ja","2012","Westdeutschland","maennlich","","","",""
"Ja","2012","Westdeutschland","weiblich","","","",""
"Ja","2012","Ostdeutschland","maennlich","","","",""
"Ja","2012","Ostdeutschland","weiblich","","","",""
"Nein","2012","Westdeutschland","maennlich","","","",""
"Nein","2012","Westdeutschland","weiblich","","","",""
"Nein","2012","Ostdeutschland","maennlich","","","",""
"Nein","2012","Ostdeutschland","weiblich","","","",""
"Ja","2013","Westdeutschland","maennlich","1161","","",""
"Ja","2013","Westdeutschland","weiblich","1820","","",""
"Ja","2013","Ostdeutschland","maennlich","370","0.163321175846122","0.147522194279767","0.179120157412477"
"Ja","2013","Ostdeutschland","weiblich","553","0.249720476493419","0.232216157988203","0.267224794998635"
"Nein","2013","Westdeutschland","maennlich","5570","0.824128232938658","0.815033210904778","0.833223254972538"
"Nein","2013","Westdeutschland","weiblich","5863","0.729473624817358","0.719540353954008","0.739406895680708"
"Nein","2013","Ostdeutschland","maennlich","1733","","",""
"Nein","2013","Ostdeutschland","weiblich","1796","","",""
"Ja","2014","Westdeutschland","maennlich","","","",""
"Ja","2014","Westdeutschland","weiblich","","","",""
"Ja","2014","Ostdeutschland","maennlich","","","",""
"Ja","2014","Ostdeutschland","weiblich","","","",""
"Nein","2014","Westdeutschland","maennlich","","","",""
"Nein","2014","Westdeutschland","weiblich","","","",""
"Nein","2014","Ostdeutschland","maennlich","","","",""
"Nein","2014","Ostdeutschland","weiblich","","","",""
"Ja","2015","Westdeutschland","maennlich","1278","","",""
"Ja","2015","Westdeutschland","weiblich","2083","","",""
"Ja","2015","Ostdeutschland","maennlich","418","0.183199183503972","0.167716602884201","0.198681764123743"
"Ja","2015","Ostdeutschland","weiblich","629","0.244499889802425","0.228734611757587","0.260265167847263"
"Nein","2015","Westdeutschland","maennlich","7782","0.842308089516433","0.834803547639141","0.849812631393726"
"Nein","2015","Westdeutschland","weiblich","8644","0.75436382952686","0.746217808289696","0.762509850764024"
"Nein","2015","Ostdeutschland","maennlich","1980","","",""
"Nein","2015","Ostdeutschland","weiblich","2226","","",""
"Ja","2016","Westdeutschland","maennlich","","","",""
"Ja","2016","Westdeutschland","weiblich","","","",""
"Ja","2016","Ostdeutschland","maennlich","","","",""
"Ja","2016","Ostdeutschland","weiblich","","","",""
"Nein","2016","Westdeutschland","maennlich","","","",""
"Nein","2016","Westdeutschland","weiblich","","","",""
"Nein","2016","Ostdeutschland","maennlich","","","",""
"Nein","2016","Ostdeutschland","weiblich","","","",""
"Ja","2017","Westdeutschland","maennlich","1435","","",""
"Ja","2017","Westdeutschland","weiblich","2225","","",""
"Ja","2017","Ostdeutschland","maennlich","486","0.195694089943344","0.180373529710126","0.211014650176561"
"Ja","2017","Ostdeutschland","weiblich","656","0.243006218988408","0.227694240266534","0.258318197710283"
"Nein","2017","Westdeutschland","maennlich","8250","0.832413580668274","0.824975048115124","0.839852113221424"
"Nein","2017","Westdeutschland","weiblich","9049","0.746947899123205","0.738922637404719","0.75497316084169"
"Nein","2017","Ostdeutschland","maennlich","2090","","",""
"Nein","2017","Ostdeutschland","weiblich","2358","","",""
"Ja","2018","Westdeutschland","maennlich","","","",""
"Ja","2018","Westdeutschland","weiblich","","","",""
"Ja","2018","Ostdeutschland","maennlich","","","",""
"Ja","2018","Ostdeutschland","weiblich","","","",""
"Nein","2018","Westdeutschland","maennlich","","","",""
"Nein","2018","Westdeutschland","weiblich","","","",""
"Nein","2018","Ostdeutschland","maennlich","","","",""
"Nein","2018","Ostdeutschland","weiblich","","","",""
"Ja","2019","Westdeutschland","maennlich","1599","","",""
"Ja","2019","Westdeutschland","weiblich","2253","","",""
"Ja","2019","Ostdeutschland","maennlich","485","0.195197851556118","0.180115760925055","0.210279942187182"
"Ja","2019","Ostdeutschland","weiblich","676","0.258841099230673","0.242943680510734","0.274738517950612"
"Nein","2019","Westdeutschland","maennlich","8039","0.828404691383233","0.820877575366125","0.835931807400342"
"Nein","2019","Westdeutschland","weiblich","8289","0.746839241918132","0.73853885487977","0.755139628956494"
"Nein","2019","Ostdeutschland","maennlich","2168","","",""
"Nein","2019","Ostdeutschland","weiblich","2240","","",""
