,Unnamed: 0,year,bula_h,regtyp,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,Schleswig-Holstein,Urban regions,Yes,0.17507,38,20704,0.12077,0.23973
1,1,2011,Schleswig-Holstein,Urban regions,No,0.82493,167,20704,0.70893,0.95952
2,2,2011,Schleswig-Holstein,Rural regions,Yes,0.20362,90,20704,0.17457,0.23444
3,3,2011,Schleswig-Holstein,Rural regions,No,0.79638,356,20704,0.72938,0.86822
4,4,2011,Hamburg,Urban regions,Yes,0.20525,61,20704,0.17135,0.23546
5,5,2011,Hamburg,Urban regions,No,0.79475,250,20704,0.69275,0.87749
6,6,2011,Lower Saxony,Urban regions,Yes,0.17319,148,20704,0.15496,0.19503
7,7,2011,Lower Saxony,Urban regions,No,0.82681,713,20704,0.78429,0.89177
8,8,2011,Lower Saxony,Rural regions,Yes,0.20505,197,20704,0.17986,0.22962
9,9,2011,Lower Saxony,Rural regions,No,0.79495,850,20704,0.74613,0.84133
10,10,2011,Bremen,Urban regions,No,1.0,104,20704,0.83987,1.17528
11,11,2011,North Rhine-Westphalia,Urban regions,Yes,0.21059,771,20704,0.2004,0.22138
12,12,2011,North Rhine-Westphalia,Urban regions,No,0.78941,3225,20704,0.76155,0.81419
13,13,2011,North Rhine-Westphalia,Rural regions,Yes,0.22472,32,20704,0.1546,0.29266
14,14,2011,North Rhine-Westphalia,Rural regions,No,0.77528,103,20704,0.6286,0.89997
15,15,2011,Hesse,Urban regions,Yes,0.17956,206,20704,0.16106,0.20074
16,16,2011,Hesse,Urban regions,No,0.82044,951,20704,0.77174,0.87985
17,17,2011,Hesse,Rural regions,Yes,0.27705,67,20704,0.22529,0.32103
18,18,2011,Hesse,Rural regions,No,0.72295,185,20704,0.63751,0.8136
19,19,2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.20276,164,20704,0.18109,0.22797
20,20,2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.79724,714,20704,0.73847,0.85867
21,21,2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.21819,80,20704,0.18985,0.25344
22,22,2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.78181,248,20704,0.69621,0.86026
23,23,2011,Baden-Wuerttemberg,Urban regions,Yes,0.22082,463,20704,0.2057,0.24008
24,24,2011,Baden-Wuerttemberg,Urban regions,No,0.77918,1777,20704,0.73843,0.81468
25,25,2011,Baden-Wuerttemberg,Rural regions,Yes,0.2325,50,20704,0.1765,0.29222
26,26,2011,Baden-Wuerttemberg,Rural regions,No,0.7675,196,20704,0.63534,0.89997
27,27,2011,Bavaria,Urban regions,Yes,0.21691,301,20704,0.1956,0.2375
28,28,2011,Bavaria,Urban regions,No,0.78309,1195,20704,0.74507,0.83604
29,29,2011,Bavaria,Rural regions,Yes,0.18744,321,20704,0.17082,0.20783
30,30,2011,Bavaria,Rural regions,No,0.81256,1367,20704,0.76587,0.86182
31,31,2011,Berlin,Urban regions,Yes,0.21623,165,20704,0.18989,0.23539
32,32,2011,Berlin,Urban regions,No,0.78377,616,20704,0.73433,0.82826
33,33,2011,Brandenburg,Urban regions,No,1.0,57,20704,0.83295,1.196
34,34,2011,Brandenburg,Rural regions,Yes,0.20827,170,20704,0.17488,0.24074
35,35,2011,Brandenburg,Rural regions,No,0.79173,643,20704,0.72665,0.86246
36,36,2011,Mecklenburg-Western Pomerania,Urban regions,No,1.0,38,20704,0.70239,1.27553
37,37,2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.22894,95,20704,0.18993,0.27167
38,38,2011,Mecklenburg-Western Pomerania,Rural regions,No,0.77106,375,20704,0.70314,0.84481
39,39,2011,Saxony,Urban regions,Yes,0.2079,143,20704,0.18628,0.22795
40,40,2011,Saxony,Urban regions,No,0.7921,581,20704,0.73638,0.86036
41,41,2011,Saxony,Rural regions,Yes,0.22358,142,20704,0.19347,0.2472
42,42,2011,Saxony,Rural regions,No,0.77642,538,20704,0.71073,0.83556
43,43,2011,Saxony-Anhalt,Urban regions,Yes,0.29412,54,20704,0.23848,0.35528
44,44,2011,Saxony-Anhalt,Urban regions,No,0.70588,151,20704,0.58254,0.88862
45,45,2011,Saxony-Anhalt,Rural regions,Yes,0.18593,126,20704,0.15857,0.21826
46,46,2011,Saxony-Anhalt,Rural regions,No,0.81407,536,20704,0.75405,0.88341
47,47,2011,Thuringa,Urban regions,Yes,0.13853,46,20704,0.11535,0.15915
48,48,2011,Thuringa,Urban regions,No,0.86147,220,20704,0.7126,1.01266
49,49,2011,Thuringa,Rural regions,Yes,0.19715,123,20704,0.17699,0.21871
50,50,2011,Thuringa,Rural regions,No,0.80285,495,20704,0.73899,0.87696
51,51,2013,Schleswig-Holstein,Urban regions,Yes,0.2377,31,18810,0.17256,0.29317
52,52,2013,Schleswig-Holstein,Urban regions,No,0.7623,137,18810,0.6468,0.89699
53,53,2013,Schleswig-Holstein,Rural regions,Yes,0.23321,87,18810,0.19848,0.28101
54,54,2013,Schleswig-Holstein,Rural regions,No,0.76679,338,18810,0.70195,0.83672
55,55,2013,Hamburg,Urban regions,Yes,0.19793,55,18810,0.16335,0.24171
56,56,2013,Hamburg,Urban regions,No,0.80207,254,18810,0.69796,0.89395
57,57,2013,Lower Saxony,Urban regions,Yes,0.20851,130,18810,0.1788,0.24163
58,58,2013,Lower Saxony,Urban regions,No,0.79149,610,18810,0.73178,0.86038
