year,migback,regtyp,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Urban regions,Yes,0.11904334729743887,2280,20736,0.11896196173550809,0.11912473285936966
2011,No migration background,Urban regions,No,0.4292540733293748,8881,20736,0.42912968026847326,0.4293784663902764
2011,No migration background,Rural regions,Yes,0.06173132345016774,1383,20736,0.06167084036518513,0.06179180653515035
2011,No migration background,Rural regions,No,0.22896395037472525,5396,20736,0.22885835657248088,0.22906954417696962
2011,Direct migration background,Urban regions,Yes,0.018366266495765962,285,20736,0.018332522018129124,0.0184000109734028
2011,Direct migration background,Urban regions,No,0.07573598012038293,1262,20736,0.07566948853621175,0.07580247170455412
2011,Direct migration background,Rural regions,Yes,0.005559792406094823,101,20736,0.005541105553602318,0.005578479258587328
2011,Direct migration background,Rural regions,No,0.023056093363593905,367,20736,0.0230183756631545,0.02309381106403331
2011,Indirect migration background,Urban regions,Yes,0.001826698873082759,36,20736,0.001815967532293728,0.00183743021387179
2011,Indirect migration background,Urban regions,No,0.029827768468063894,616,20736,0.029785016871976273,0.029870520064151515
2011,Indirect migration background,Rural regions,No,0.006634705821309027,129,20736,0.00661430334610786,0.006655108296510195
2013,No migration background,Urban regions,Yes,0.1291132541384089,2174,18860,0.12902595336874173,0.12920055490807608
2013,No migration background,Urban regions,No,0.4417648657348446,7997,18860,0.4416355783984121,0.44189415307127705
2013,No migration background,Rural regions,Yes,0.06906003964343307,1325,18860,0.06899402716075831,0.06912605212610784
2013,No migration background,Rural regions,No,0.24518875768602488,4940,18860,0.2450767568472519,0.24530075852479788
2013,Direct migration background,Urban regions,Yes,0.01667472813362281,261,18860,0.016641390881474188,0.016708065385771433
2013,Direct migration background,Urban regions,No,0.05140082824792251,1052,18860,0.051343340109231195,0.05145831638661383
2013,Direct migration background,Rural regions,Yes,0.005306798636692588,102,18860,0.005287883360033772,0.005325713913351404
2013,Direct migration background,Rural regions,No,0.014060991402433842,315,18860,0.014030337567479755,0.014091645237387929
2013,Indirect migration background,Urban regions,Yes,0.0015496438773443901,36,18860,0.0015394031451515995,0.0015598846095371808
2013,Indirect migration background,Urban regions,No,0.01996809917029744,527,18860,0.019931679141299685,0.020004519199295193
2013,Indirect migration background,Rural regions,No,0.005911993328975029,131,18860,0.005892034677092811,0.0059319519808572465
2015,No migration background,Urban regions,Yes,0.117118897017357,2306,25027,0.11704158930535714,0.11719620472935686
2015,No migration background,Urban regions,No,0.41327101535406635,9309,25027,0.4131526309567097,0.413389399751423
2015,No migration background,Rural regions,Yes,0.062122487912151116,1425,25027,0.06206445749346079,0.06218051833084144
2015,No migration background,Rural regions,No,0.22600612318544427,6023,25027,0.2259055720248275,0.22610667434606105
2015,Direct migration background,Urban regions,Yes,0.017525520483703327,433,25027,0.017493973755506553,0.0175570672119001
2015,Direct migration background,Urban regions,No,0.08627008219832963,2854,25027,0.08620258321197855,0.08633758118468071
2015,Direct migration background,Rural regions,Yes,0.005367380749830989,171,25027,0.005349814834963464,0.005384946664698513
2015,Direct migration background,Rural regions,No,0.023263942192407214,957,25027,0.02322770216746551,0.02330018221734892
