"ple0021","year","migback","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2011","kein Migrationshintergrund","Westdeutschland","2699","0.218040408439878","0.210988618529759","0.225092198349996"
"Ja","2011","kein Migrationshintergrund","Ostdeutschland","965","0.207847244772377","0.196328580521406","0.219365909023347"
"Ja","2011","direkter Migrationshintergrund","Westdeutschland","357","0.1916377587951","0.174032556170086","0.209242961420114"
"Ja","2011","direkter Migrationshintergrund","Ostdeutschland","29","","",""
"Ja","2011","indirekter Migrationshintergrund","Westdeutschland","42","0.0561203950355786","0.0396377903435122","0.0726029997276449"
"Ja","2011","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2011","kein Migrationshintergrund","Westdeutschland","10472","0.781959591560122","0.774907801650004","0.789011381470241"
"Nein","2011","kein Migrationshintergrund","Ostdeutschland","3802","0.792152755227623","0.780634090976653","0.803671419478593"
"Nein","2011","direkter Migrationshintergrund","Westdeutschland","1563","0.8083622412049","0.790757038579886","0.825967443829914"
"Nein","2011","direkter Migrationshintergrund","Ostdeutschland","66","0.731621048421381","0.642515733367386","0.820726363475375"
"Nein","2011","indirekter Migrationshintergrund","Westdeutschland","707","0.943879604964421","0.927397000272355","0.960362209656488"
"Nein","2011","indirekter Migrationshintergrund","Ostdeutschland","41","0.896636911632646","0.805644555967754","0.987629267297538"
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2013","kein Migrationshintergrund","Westdeutschland","2604","0.228399736674131","0.220929953851863","0.2358695194964"
"Ja","2013","kein Migrationshintergrund","Ostdeutschland","900","0.207175562913128","0.19510125511555","0.219249870710706"
"Ja","2013","direkter Migrationshintergrund","Westdeutschland","338","0.245417501483203","0.224410130667449","0.266424872298958"
"Ja","2013","direkter Migrationshintergrund","Ostdeutschland","20","","",""
"Ja","2013","indirekter Migrationshintergrund","Westdeutschland","39","0.0592486320501542","0.0413585791307933","0.0771386849695151"
"Ja","2013","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2013","kein Migrationshintergrund","Westdeutschland","9529","0.771600263325869","0.7641304805036","0.779070046148137"
"Nein","2013","kein Migrationshintergrund","Ostdeutschland","3428","0.792824437086872","0.780750129289294","0.80489874488445"
"Nein","2013","direkter Migrationshintergrund","Westdeutschland","1274","0.754582498516797","0.733575127701042","0.775589869332551"
