year,age_gr,pgisced97,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Pre-primary Level,No,0.46692,310,310,0.41130,0.52255
2011,17-29 y.,Primary Level,No,0.71469,36,36,0.56509,0.86429
2011,17-29 y.,Lower Secondary Level,No,0.75894,462,462,0.71990,0.79799
2011,17-29 y.,Upper Secondary Level,Yes,0.02915,38,1352,0.02018,0.03812
2011,17-29 y.,Upper Secondary Level,No,0.89390,1314,1352,0.87748,0.91033
2011,17-29 y.,Post-secondary Non-tertiary Level,No,0.91679,209,209,0.87925,0.95432
2011,17-29 y.,First Stage of Tertiary Education,No,0.93708,49,49,0.86838,1.00577
2011,17-29 y.,Second Stage of Tertiary Education,No,0.94197,281,281,0.91458,0.96935
2011,30-45 y.,Primary Level,No,0.63646,56,56,0.50934,0.76359
2011,30-45 y.,Lower Secondary Level,No,0.67708,309,309,0.62486,0.72930
2011,30-45 y.,Upper Secondary Level,Yes,0.06154,196,2376,0.05187,0.07120
2011,30-45 y.,Upper Secondary Level,No,0.72922,2180,2376,0.71134,0.74709
2011,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.06535,33,472,0.04303,0.08766
2011,30-45 y.,Post-secondary Non-tertiary Level,No,0.70703,439,472,0.66592,0.74813
2011,30-45 y.,First Stage of Tertiary Education,No,0.76729,342,342,0.72244,0.81214
2011,30-45 y.,Second Stage of Tertiary Education,Yes,0.03687,52,1226,0.02632,0.04743
2011,30-45 y.,Second Stage of Tertiary Education,No,0.76656,1174,1226,0.74287,0.79025
2011,46-65 y.,Primary Level,No,0.61258,52,52,0.47888,0.74629
2011,46-65 y.,Lower Secondary Level,Yes,0.33395,181,536,0.29399,0.37392
2011,46-65 y.,Lower Secondary Level,No,0.62097,355,536,0.57986,0.66208
2011,46-65 y.,Upper Secondary Level,Yes,0.22375,953,4121,0.21103,0.23648
2011,46-65 y.,Upper Secondary Level,No,0.74143,3168,4121,0.72806,0.75480
2011,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.21630,75,390,0.17538,0.25721
2011,46-65 y.,Post-secondary Non-tertiary Level,No,0.70654,315,390,0.66129,0.75179
2011,46-65 y.,First Stage of Tertiary Education,Yes,0.20183,139,651,0.17097,0.23269
2011,46-65 y.,First Stage of Tertiary Education,No,0.75824,512,651,0.72533,0.79116
2011,46-65 y.,Second Stage of Tertiary Education,Yes,0.16031,339,1988,0.14418,0.17644
2011,46-65 y.,Second Stage of Tertiary Education,No,0.79345,1649,1988,0.77565,0.81125
2011,66 and older,Lower Secondary Level,Yes,0.45072,364,819,0.41662,0.48481
2011,66 and older,Lower Secondary Level,No,0.54764,455,819,0.51353,0.58175
2011,66 and older,Upper Secondary Level,Yes,0.40432,1038,2641,0.38560,0.42304
2011,66 and older,Upper Secondary Level,No,0.59515,1603,2641,0.57643,0.61388
2011,66 and older,Post-secondary Non-tertiary Level,Yes,0.48499,53,123,0.39630,0.57367
2011,66 and older,Post-secondary Non-tertiary Level,No,0.51501,70,123,0.42633,0.60370
2011,66 and older,First Stage of Tertiary Education,Yes,0.33808,140,377,0.29026,0.38589
2011,66 and older,First Stage of Tertiary Education,No,0.66103,237,377,0.61318,0.70887
2011,66 and older,Second Stage of Tertiary Education,Yes,0.33199,341,1087,0.30398,0.36000
2011,66 and older,Second Stage of Tertiary Education,No,0.66718,746,1087,0.63916,0.69521
2013,17-29 y.,Pre-primary Level,No,0.36580,255,255,0.30657,0.42503
2013,17-29 y.,Primary Level,No,0.50813,32,32,0.33214,0.68412
2013,17-29 y.,Lower Secondary Level,No,0.56463,375,375,0.51438,0.61488
2013,17-29 y.,Upper Secondary Level,No,0.75393,1091,1091,0.72836,0.77950
2013,17-29 y.,Post-secondary Non-tertiary Level,No,0.79917,160,160,0.73690,0.86144
2013,17-29 y.,First Stage of Tertiary Education,No,0.89291,44,44,0.80049,0.98534
2013,17-29 y.,Second Stage of Tertiary Education,No,0.81417,300,300,0.77008,0.85826
2013,30-45 y.,Primary Level,No,0.37137,47,47,0.23174,0.51100
2013,30-45 y.,Lower Secondary Level,No,0.47201,253,253,0.41037,0.53364
2013,30-45 y.,Upper Secondary Level,Yes,0.05323,154,1894,0.04312,0.06334
2013,30-45 y.,Upper Secondary Level,No,0.63688,1740,1894,0.61521,0.65854
2013,30-45 y.,Post-secondary Non-tertiary Level,No,0.61749,385,385,0.56888,0.66610
2013,30-45 y.,First Stage of Tertiary Education,No,0.77219,277,277,0.72271,0.82168
2013,30-45 y.,Second Stage of Tertiary Education,Yes,0.04354,63,1118,0.03157,0.05551
2013,30-45 y.,Second Stage of Tertiary Education,No,0.67480,1055,1118,0.64733,0.70227
2013,46-65 y.,Primary Level,No,0.41816,41,41,0.26530,0.57102
2013,46-65 y.,Lower Secondary Level,Yes,0.25823,155,464,0.21836,0.29809
2013,46-65 y.,Lower Secondary Level,No,0.55091,309,464,0.50560,0.59621
2013,46-65 y.,Upper Secondary Level,Yes,0.22947,926,3856,0.21620,0.24275
2013,46-65 y.,Upper Secondary Level,No,0.70357,2930,3856,0.68915,0.71798
2013,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.21562,84,405,0.17551,0.25572
2013,46-65 y.,Post-secondary Non-tertiary Level,No,0.58102,321,405,0.53291,0.62914
2013,46-65 y.,First Stage of Tertiary Education,Yes,0.17664,127,634,0.14693,0.20635
2013,46-65 y.,First Stage of Tertiary Education,No,0.75777,507,634,0.72439,0.79114
2013,46-65 y.,Second Stage of Tertiary Education,Yes,0.18155,340,1894,0.16418,0.19891
2013,46-65 y.,Second Stage of Tertiary Education,No,0.72600,1554,1894,0.70591,0.74609
2013,66 and older,Lower Secondary Level,Yes,0.46775,338,726,0.43142,0.50407
2013,66 and older,Lower Secondary Level,No,0.52237,388,726,0.48601,0.55873
2013,66 and older,Upper Secondary Level,Yes,0.40525,998,2536,0.38614,0.42436
2013,66 and older,Upper Secondary Level,No,0.59136,1538,2536,0.57223,0.61050
2013,66 and older,Post-secondary Non-tertiary Level,Yes,0.53875,51,116,0.44764,0.62986
2013,66 and older,Post-secondary Non-tertiary Level,No,0.43752,65,116,0.34685,0.52819
2013,66 and older,First Stage of Tertiary Education,Yes,0.33390,124,345,0.28407,0.38374
2013,66 and older,First Stage of Tertiary Education,No,0.66560,221,345,0.61574,0.71545
2013,66 and older,Second Stage of Tertiary Education,Yes,0.31323,359,1149,0.28640,0.34006
2013,66 and older,Second Stage of Tertiary Education,No,0.67822,790,1149,0.65120,0.70524
