year,pgisced97,quintil_oecd,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No answer / don't know,1st Quintile,No,0.94314,80,80,0.89208,0.99421
2011,No answer / don't know,2nd Quintile,No,0.92709,55,55,0.85775,0.99644
2011,No answer / don't know,3rd Quintile,No,0.98993,59,59,0.96425,1.01562
2011,No answer / don't know,4th Quintile,No,0.94389,39,39,0.87073,1.01706
2011,No answer / don't know,5th Quintile,No,0.95365,37,37,0.88498,1.02233
2011,Pre-primary Level,4th Quintile,No,0.99735,70,70,0.98521,1.00948
2011,Pre-primary Level,5th Quintile,No,0.99811,55,55,0.98652,1.00970
2011,Primary Level,1st Quintile,No,0.64832,47,47,0.51033,0.78631
2011,Lower Secondary Level,1st Quintile,Yes,0.33787,137,473,0.29520,0.38054
2011,Lower Secondary Level,1st Quintile,No,0.66213,336,473,0.61946,0.70480
2011,Lower Secondary Level,2nd Quintile,Yes,0.31300,111,371,0.26575,0.36025
2011,Lower Secondary Level,2nd Quintile,No,0.68700,260,371,0.63975,0.73425
2011,Lower Secondary Level,3rd Quintile,Yes,0.31306,87,309,0.26127,0.36485
2011,Lower Secondary Level,3rd Quintile,No,0.68694,222,309,0.63515,0.73873
2011,Lower Secondary Level,4th Quintile,Yes,0.25215,47,185,0.18941,0.31490
2011,Lower Secondary Level,4th Quintile,No,0.74785,138,185,0.68510,0.81059
2011,Lower Secondary Level,5th Quintile,No,0.77742,78,78,0.68450,0.87033
2011,Upper Secondary Level,1st Quintile,Yes,0.25431,322,1428,0.23172,0.27691
2011,Upper Secondary Level,1st Quintile,No,0.74569,1106,1428,0.72309,0.76828
2011,Upper Secondary Level,2nd Quintile,Yes,0.24659,345,1586,0.22537,0.26781
2011,Upper Secondary Level,2nd Quintile,No,0.75341,1241,1586,0.73219,0.77463
2011,Upper Secondary Level,3rd Quintile,Yes,0.23325,376,1735,0.21335,0.25316
2011,Upper Secondary Level,3rd Quintile,No,0.76675,1359,1735,0.74684,0.78665
2011,Upper Secondary Level,4th Quintile,Yes,0.18001,299,1642,0.16142,0.19859
2011,Upper Secondary Level,4th Quintile,No,0.81999,1343,1642,0.80141,0.83858
2011,Upper Secondary Level,5th Quintile,Yes,0.21103,303,1427,0.18985,0.23221
2011,Upper Secondary Level,5th Quintile,No,0.78897,1124,1427,0.76779,0.81015
2011,Post-secondary Non-tertiary Level,1st Quintile,No,0.73199,81,81,0.63493,0.82905
2011,Post-secondary Non-tertiary Level,2nd Quintile,No,0.88925,118,118,0.83238,0.94611
2011,Post-secondary Non-tertiary Level,3rd Quintile,Yes,0.20925,33,185,0.15048,0.26803
2011,Post-secondary Non-tertiary Level,3rd Quintile,No,0.79075,152,185,0.73197,0.84952
2011,Post-secondary Non-tertiary Level,4th Quintile,No,0.84066,196,196,0.78929,0.89203
