year,quintil_oecd,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Yes,0.26019,557,2493,0.24297,0.27742
2011,1st Quintile,No,0.73981,1936,2493,0.72258,0.75703
2011,2nd Quintile,Yes,0.24449,604,2727,0.22836,0.26063
2011,2nd Quintile,No,0.75551,2123,2727,0.73937,0.77164
2011,3rd Quintile,Yes,0.23428,648,3064,0.21928,0.24928
2011,3rd Quintile,No,0.76572,2416,3064,0.75072,0.78072
2011,4th Quintile,Yes,0.17369,556,3289,0.16074,0.18664
2011,4th Quintile,No,0.82631,2733,3289,0.81336,0.83926
2011,5th Quintile,Yes,0.17582,719,4089,0.16415,0.18749
2011,5th Quintile,No,0.82418,3370,4089,0.81251,0.83585
2013,1st Quintile,Yes,0.24744,669,3100,0.23224,0.26263
2013,1st Quintile,No,0.75256,2431,3100,0.73737,0.76776
2013,2nd Quintile,Yes,0.25721,793,3441,0.24260,0.27182
2013,2nd Quintile,No,0.74279,2648,3441,0.72818,0.75740
2013,3rd Quintile,Yes,0.24500,838,3604,0.23096,0.25905
2013,3rd Quintile,No,0.75500,2766,3604,0.74095,0.76904
2013,4th Quintile,Yes,0.19504,746,3917,0.18263,0.20745
2013,4th Quintile,No,0.80496,3171,3917,0.79255,0.81737
2013,5th Quintile,Yes,0.18083,857,4800,0.16994,0.19172
2013,5th Quintile,No,0.81917,3943,4800,0.80828,0.83006
2015,1st Quintile,Yes,0.22202,912,5082,0.21059,0.23345
2015,1st Quintile,No,0.77798,4170,5082,0.76655,0.78941
2015,2nd Quintile,Yes,0.23977,998,5249,0.22822,0.25132
2015,2nd Quintile,No,0.76023,4251,5249,0.74868,0.77178
2015,3rd Quintile,Yes,0.21576,858,4842,0.20417,0.22734
2015,3rd Quintile,No,0.78424,3984,4842,0.77266,0.79583
2015,4th Quintile,Yes,0.18468,798,4755,0.17365,0.19571
2015,4th Quintile,No,0.81532,3957,4755,0.80429,0.82635
2015,5th Quintile,Yes,0.16762,841,5108,0.15737,0.17786
2015,5th Quintile,No,0.83238,4267,5108,0.82214,0.84263
2017,1st Quintile,Yes,0.22851,812,4717,0.21653,0.24049
2017,1st Quintile,No,0.77149,3905,4717,0.75951,0.78347
2017,2nd Quintile,Yes,0.23872,922,4793,0.22665,0.25079
2017,2nd Quintile,No,0.76128,3871,4793,0.74921,0.77335
2017,3rd Quintile,Yes,0.25079,873,4414,0.23800,0.26358
2017,3rd Quintile,No,0.74921,3541,4414,0.73642,0.76200
2017,4th Quintile,Yes,0.20461,785,4358,0.19264,0.21659
2017,4th Quintile,No,0.79539,3573,4358,0.78341,0.80736
2017,5th Quintile,Yes,0.18253,782,4554,0.17131,0.19375
2017,5th Quintile,No,0.81747,3772,4554,0.80625,0.82869
2019,1st Quintile,Yes,0.23019,835,4445,0.21781,0.24257
2019,1st Quintile,No,0.76981,3610,4445,0.75743,0.78219
2019,2nd Quintile,Yes,0.23764,1028,4769,0.22556,0.24972
2019,2nd Quintile,No,0.76236,3741,4769,0.75028,0.77444
2019,3rd Quintile,Yes,0.21884,884,4422,0.20665,0.23103
2019,3rd Quintile,No,0.78116,3538,4422,0.76897,0.79335
2019,4th Quintile,Yes,0.21495,848,4273,0.20263,0.22726
2019,4th Quintile,No,0.78505,3425,4273,0.77274,0.79737
2019,5th Quintile,Yes,0.18691,913,4818,0.17590,0.19792
2019,5th Quintile,No,0.81309,3905,4818,0.80208,0.82410
2021,1st Quintile,Yes,0.24647,853,4772,0.23425,0.25870
2021,1st Quintile,No,0.75353,3919,4772,0.74130,0.76575
2021,2nd Quintile,Yes,0.24208,761,3528,0.22794,0.25622
2021,2nd Quintile,No,0.75792,2767,3528,0.74378,0.77206
2021,3rd Quintile,Yes,0.24172,650,3125,0.22671,0.25674
2021,3rd Quintile,No,0.75828,2475,3125,0.74326,0.77329
2021,4th Quintile,Yes,0.23501,659,3182,0.22028,0.24975
2021,4th Quintile,No,0.76499,2523,3182,0.75025,0.77972
2021,5th Quintile,Yes,0.19449,792,4255,0.18259,0.20638
2021,5th Quintile,No,0.80551,3463,4255,0.79362,0.81741
