year,sex,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.07932373008702215,1642,20745,0.07925582972989682,0.07939163044414747
2011,male,No,0.4096945421294608,8147,20745,0.40957097996474656,0.4098181042941751
2011,female,Yes,0.12757089190452484,2452,20745,0.1274870699295667,0.12765471387948296
2011,female,No,0.3834108358789922,8504,20745,0.3832886707789138,0.3835330009790706
2013,male,Yes,0.0845334258564185,1531,18866,0.08446100640502026,0.08460584530781674
2013,male,No,0.4029261735603315,7303,18866,0.4027984866123735,0.4030538605082895
2013,female,Yes,0.13728597042858073,2373,18866,0.1371963790418043,0.13737556181535718
2013,female,No,0.37525443015466914,7659,18866,0.3751283826488654,0.3753804776604729
2015,male,Yes,0.07891225186344177,1696,25040,0.07884744347277324,0.07897706025411029
2015,male,No,0.4084953317425518,9762,25040,0.40837716883926545,0.4086134946458382
2015,female,Yes,0.12590437862745082,2712,25040,0.1258246327198206,0.12598412453508104
2015,female,No,0.38668803776655564,10870,25040,0.38657097208380986,0.3868051034493014
2017,male,Yes,0.08443500281881913,1921,26549,0.0843690003312236,0.08450100530641466
2017,male,No,0.40580967631129566,10340,26549,0.40569310855443413,0.4059262440681572
2017,female,Yes,0.12815637041182243,2881,26549,0.1280770209745089,0.12823571984913595
2017,female,No,0.3815989504580629,11407,26549,0.381483633508035,0.38171426740809083
2019,male,Yes,0.08587736478944212,2079,25718,0.08581078033394839,0.08594394924493585
2019,male,No,0.4033692282747291,10199,25718,0.4032526452086394,0.4034858113408188
2019,female,Yes,0.1300464118307767,2919,25718,0.12996647839231099,0.1301263452692424
2019,female,No,0.3807069951050521,10521,25718,0.3805916033491455,0.38082238686095876
2021,male,Yes,0.09037934664705483,1500,19158,0.09031149330872322,0.09044719998538643
2021,male,No,0.4019361782738975,7793,19158,0.40182015134966054,0.40205220519813445
2021,female,Yes,0.14134340521033745,2250,19158,0.1412609621709513,0.1414258482497236
2021,female,No,0.3663410698687103,7615,19158,0.36622705091563634,0.36645508882178424
