"ple0021","year","regtyp","n","percent","lower_confidence","upper_confidence","NA"
"Ja","2011","Staedtischer Raum","2597","0.206705344656583","0.199831855234313","0.213578834078853",""
"Ja","2011","Laendlicher Raum","1497","0.207759364366642","0.198523251170847","0.216995477562436",""
"Nein","2011","Staedtischer Raum","10736","0.793294655343417","0.786421165921147","0.800168144765687",""
"Nein","2011","Laendlicher Raum","5915","0.792240635633358","0.783004522437564","0.801476748829153",""
"Ja","2012","Staedtischer Raum","","","","",""
"Ja","2012","Laendlicher Raum","","","","",""
"Nein","2012","Staedtischer Raum","","","","",""
"Nein","2012","Laendlicher Raum","","","","",""
"Ja","2013","Staedtischer Raum","2468","0.222485524590927","0.215052964137905","0.22991808504395",""
"Ja","2013","Laendlicher Raum","1436","0.218701652223246","0.20890337357385","0.228499930872643",""
"Nein","2013","Staedtischer Raum","9561","0.777514475409072","0.77008191495605","0.784947035862095",""
"Nein","2013","Laendlicher Raum","5401","0.781298347776753","0.771500069127357","0.79109662642615",""
"Ja","2014","Staedtischer Raum","","","","",""
"Ja","2014","Laendlicher Raum","","","","",""
"Nein","2014","Staedtischer Raum","","","","",""
"Nein","2014","Laendlicher Raum","","","","",""
"Ja","2015","Staedtischer Raum","2795","0.203268304528071","0.197060950770344","0.209475658285798",""
"Ja","2015","Laendlicher Raum","1613","0.208263359166508","0.199824255242875","0.216702463090142",""
"Nein","2015","Staedtischer Raum","13351","0.796731695471929","0.790524341714202","0.802939049229656",""
"Nein","2015","Laendlicher Raum","7281","0.791736640833492","0.783297536909858","0.800175744757125",""
"Ja","2016","Staedtischer Raum","","","","",""
"Ja","2016","Laendlicher Raum","","","","",""
"Nein","2016","Staedtischer Raum","","","","",""
"Nein","2016","Laendlicher Raum","","","","",""
"Ja","2017","Staedtischer Raum","2977","0.203477314683595","0.19744681520521","0.209507814161981",""
"Ja","2017","Laendlicher Raum","1825","0.232590395796811","0.224062835928577","0.241117955665045",""
"Nein","2017","Staedtischer Raum","14143","0.796522685316405","0.790492185838019","0.80255318479479",""
"Nein","2017","Laendlicher Raum","7604","0.767409604203189","0.758882044334955","0.775937164071423",""
"Ja","2018","Staedtischer Raum","","","","",""
"Ja","2018","Laendlicher Raum","","","","",""
"Nein","2018","Staedtischer Raum","","","","",""
"Nein","2018","Laendlicher Raum","","","","",""
"Ja","2019","Staedtischer Raum","3070","0.207257279864262","0.201054198512903","0.213460361215621",""
"Ja","2019","Laendlicher Raum","1845","0.236185390649268","0.227346814720877","0.245023966577659",""
"Nein","2019","Staedtischer Raum","13333","0.792742720135738","0.786539638784379","0.798945801487097",""
"Nein","2019","Laendlicher Raum","7026","0.763814609350732","0.754976033422341","0.772653185279123",""
