year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,,,,,,,,,,,,
1985,Rural regions,,,,,,,,,,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,,,,,,,,,,,,
1988,Rural regions,,,,,,,,,,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,,,,,,,,,,,,
1992,Rural regions,,,,,,,,,,,,
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,,,,,,,,,,,,
1995,Rural regions,,,,,,,,,,,,
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,,,,,,,,,,,,
1997,Rural regions,,,,,,,,,,,,
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,,,,,,,,,,,,
1999,Rural regions,,,,,,,,,,,,
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,7737,3.488820532408748,3.4719357180236665,3.505705346793829,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
2001,Rural regions,3903,3.101542982952458,3.0797393449510486,3.123346620953867,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2002,Urban regions,,,,,,,,,,,,
2002,Rural regions,,,,,,,,,,,,
2003,Urban regions,,,,,,,,,,,,
2003,Rural regions,,,,,,,,,,,,
2004,Urban regions,,,,,,,,,,,,
2004,Rural regions,,,,,,,,,,,,
2005,Urban regions,,,,,,,,,,,,
2005,Rural regions,,,,,,,,,,,,
2006,Urban regions,8114,3.4928403587176198,3.4760137888367595,3.50966692859848,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
2006,Rural regions,4105,3.2061500358727213,3.183550800448149,3.2287492712972936,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2007,Urban regions,,,,,,,,,,,,
2007,Rural regions,,,,,,,,,,,,
2008,Urban regions,,,,,,,,,,,,
2008,Rural regions,,,,,,,,,,,,
2009,Urban regions,,,,,,,,,,,,
2009,Rural regions,,,,,,,,,,,,
2010,Urban regions,,,,,,,,,,,,
2010,Rural regions,,,,,,,,,,,,
2011,Urban regions,7809,3.664674515114191,3.647435138564241,3.681913891664141,2.0,4.0,5.0,1.0,7.0,4.0,4.0,5.0
2011,Rural regions,4202,3.3787697310807725,3.355938390694326,3.401601071467219,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
2012,Urban regions,,,,,,,,,,,,
2012,Rural regions,,,,,,,,,,,,
2013,Urban regions,,,,,,,,,,,,
2013,Rural regions,,,,,,,,,,,,
2014,Urban regions,,,,,,,,,,,,
2014,Rural regions,,,,,,,,,,,,
2015,Urban regions,,,,,,,,,,,,
2015,Rural regions,,,,,,,,,,,,
2016,Urban regions,9335,3.5550899588745946,3.53918797689281,3.5709919408563793,2.0,3.0,5.0,1.0,7.0,3.0,2.0,3.0
2016,Rural regions,4930,3.2843950990791244,3.2634216500497675,3.3053685481084814,2.0,3.0,4.0,1.0,7.0,3.0,3.0,3.0
2017,Urban regions,,,,,,,,,,,,
2017,Rural regions,,,,,,,,,,,,
2018,Urban regions,,,,,,,,,,,,
2018,Rural regions,,,,,,,,,,,,
2019,Urban regions,,,,,,,,,,,,
2019,Rural regions,,,,,,,,,,,,
2020,Urban regions,,,,,,,,,,,,
2020,Rural regions,,,,,,,,,,,,
2021,Urban regions,8551,3.5512331825890486,3.5345999879705814,3.567866377207516,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
2021,Rural regions,3936,3.3629271867546215,3.3394855472831964,3.3863688262260467,2.0,3.0,5.0,1.0,7.0,3.0,3.0,3.0
