"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2001","2","Laendlicher Raum","2.76","1.5","2651","2.71","2.81"
"2001","2","Staedtischer Raum","2.77","1.5","3954","2.73","2.81"
"2001","3","Laendlicher Raum","3.11","2.5","3899","3.07","3.15"
"2001","3","Staedtischer Raum","3.28","2.5","6238","3.24","3.32"
"2001","4","Laendlicher Raum","3.57","2.5","2417","3.51","3.63"
"2001","4","Staedtischer Raum","3.79","3.5","5155","3.75","3.83"
"2001","5","Laendlicher Raum","4.12","3.5","991","4.03","4.21"
"2001","5","Staedtischer Raum","4.47","4.5","3343","4.42","4.52"
"2002","2","Laendlicher Raum","","","","",""
"2002","2","Staedtischer Raum","","","","",""
"2002","3","Laendlicher Raum","","","","",""
"2002","3","Staedtischer Raum","","","","",""
"2002","4","Laendlicher Raum","","","","",""
"2002","4","Staedtischer Raum","","","","",""
"2002","5","Laendlicher Raum","","","","",""
"2002","5","Staedtischer Raum","","","","",""
"2003","2","Laendlicher Raum","","","","",""
"2003","2","Staedtischer Raum","","","","",""
"2003","3","Laendlicher Raum","","","","",""
"2003","3","Staedtischer Raum","","","","",""
"2003","4","Laendlicher Raum","","","","",""
"2003","4","Staedtischer Raum","","","","",""
"2003","5","Laendlicher Raum","","","","",""
"2003","5","Staedtischer Raum","","","","",""
"2004","2","Laendlicher Raum","","","","",""
"2004","2","Staedtischer Raum","","","","",""
"2004","3","Laendlicher Raum","","","","",""
"2004","3","Staedtischer Raum","","","","",""
"2004","4","Laendlicher Raum","","","","",""
"2004","4","Staedtischer Raum","","","","",""
"2004","5","Laendlicher Raum","","","","",""
"2004","5","Staedtischer Raum","","","","",""
"2005","2","Laendlicher Raum","","","","",""
"2005","2","Staedtischer Raum","","","","",""
"2005","3","Laendlicher Raum","","","","",""
"2005","3","Staedtischer Raum","","","","",""
"2005","4","Laendlicher Raum","","","","",""
"2005","4","Staedtischer Raum","","","","",""
"2005","5","Laendlicher Raum","","","","",""
"2005","5","Staedtischer Raum","","","","",""
"2006","2","Laendlicher Raum","2.73","1.5","2161","2.67","2.79"
"2006","2","Staedtischer Raum","2.74","1.5","2886","2.69","2.79"
"2006","3","Laendlicher Raum","3.2","2.5","3205","3.15","3.25"
"2006","3","Staedtischer Raum","3.2","2.5","5181","3.16","3.24"
"2006","4","Laendlicher Raum","3.69","3.5","2650","3.63","3.75"
"2006","4","Staedtischer Raum","3.75","3.5","4994","3.71","3.79"
"2006","5","Laendlicher Raum","4.18","3.5","1804","4.11","4.25"
"2006","5","Staedtischer Raum","4.46","4.5","5695","4.42","4.5"
"2007","2","Laendlicher Raum","","","","",""
"2007","2","Staedtischer Raum","","","","",""
"2007","3","Laendlicher Raum","","","","",""
"2007","3","Staedtischer Raum","","","","",""
"2007","4","Laendlicher Raum","","","","",""
"2007","4","Staedtischer Raum","","","","",""
"2007","5","Laendlicher Raum","","","","",""
"2007","5","Staedtischer Raum","","","","",""
"2008","2","Laendlicher Raum","","","","",""
"2008","2","Staedtischer Raum","","","","",""
"2008","3","Laendlicher Raum","","","","",""
"2008","3","Staedtischer Raum","","","","",""
"2008","4","Laendlicher Raum","","","","",""
"2008","4","Staedtischer Raum","","","","",""
"2008","5","Laendlicher Raum","","","","",""
"2008","5","Staedtischer Raum","","","","",""
"2009","2","Laendlicher Raum","","","","",""
"2009","2","Staedtischer Raum","","","","",""
"2009","3","Laendlicher Raum","","","","",""
"2009","3","Staedtischer Raum","","","","",""
"2009","4","Laendlicher Raum","","","","",""
"2009","4","Staedtischer Raum","","","","",""
"2009","5","Laendlicher Raum","","","","",""
"2009","5","Staedtischer Raum","","","","",""
"2010","2","Laendlicher Raum","","","","",""
"2010","2","Staedtischer Raum","","","","",""
"2010","3","Laendlicher Raum","","","","",""
"2010","3","Staedtischer Raum","","","","",""
"2010","4","Laendlicher Raum","","","","",""
"2010","4","Staedtischer Raum","","","","",""
"2010","5","Laendlicher Raum","","","","",""
"2010","5","Staedtischer Raum","","","","",""
"2011","2","Laendlicher Raum","2.79","1.5","1605","2.72","2.86"
"2011","2","Staedtischer Raum","2.88","2.5","2336","2.82","2.94"
"2011","3","Laendlicher Raum","3.11","2.5","2678","3.06","3.16"
