"year","hhtyp","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2001","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2.67","1.5","1058","2.59","2.75"
"2001","(Ehe-)Paar ohne Kind(er)","2","2.94","2.5","1404","2.87","3.01"
"2001","(Ehe-)Paar ohne Kind(er)","3","3.48","2.5","1760","3.42","3.54"
"2001","(Ehe-)Paar ohne Kind(er)","4","3.81","3.5","1642","3.74","3.88"
"2001","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","4.62","4.5","1294","4.54","4.7"
"2001","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","2.58","1.5","780","2.49","2.67"
"2001","1-Pers.- Haushalt","2","2.81","1.5","708","2.71","2.91"
"2001","1-Pers.- Haushalt","3","3.09","2.5","555","2.97","3.21"
"2001","1-Pers.- Haushalt","4","3.52","2.5","490","3.39","3.65"
"2001","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","4.17","3.5","377","4.01","4.33"
"2001","Alleinerziehende","1 Einkommensschwächstes Quintil","2.72","1.5","813","2.63","2.81"
"2001","Alleinerziehende","2","3.28","2.5","432","3.15","3.41"
"2001","Alleinerziehende","3","3.44","2.5","302","3.27","3.61"
"2001","Alleinerziehende","4","3.23","2.5","158","3.03","3.43"
"2001","Alleinerziehende","5 Einkommensstärkstes Quintil","4.24","3.5","48","3.79","4.69"
"2001","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","2.89","2.5","4243","2.85","2.93"
"2001","Paar mit Kind(ern)","2","3.34","2.5","4776","3.3","3.38"
"2001","Paar mit Kind(ern)","3","3.8","3.5","3480","3.75","3.85"
"2001","Paar mit Kind(ern)","4","4.27","3.5","2193","4.21","4.33"
"2001","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","4.76","4.5","1070","4.67","4.85"
"2001","Sonstige","1 Einkommensschwächstes Quintil","3.03","2.5","354","2.88","3.18"
"2001","Sonstige","2","3.5","2.5","303","3.36","3.64"
"2001","Sonstige","3","3.72","3.5","200","3.52","3.92"
"2001","Sonstige","4","4.22","3.5","142","3.97","4.47"
"2001","Sonstige","5 Einkommensstärkstes Quintil","4.54","4.5","66","4.16","4.92"
"2002","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","2","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","3","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","4","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","","",""
"2002","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","",""
"2002","1-Pers.- Haushalt","2","","","","",""
"2002","1-Pers.- Haushalt","3","","","","",""
"2002","1-Pers.- Haushalt","4","","","","",""
"2002","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","",""
"2002","Alleinerziehende","1 Einkommensschwächstes Quintil","","","","",""
"2002","Alleinerziehende","2","","","","",""
"2002","Alleinerziehende","3","","","","",""
"2002","Alleinerziehende","4","","","","",""
"2002","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"2002","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","","",""
"2002","Paar mit Kind(ern)","2","","","","",""
"2002","Paar mit Kind(ern)","3","","","","",""
"2002","Paar mit Kind(ern)","4","","","","",""
"2002","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","","",""
"2002","Sonstige","1 Einkommensschwächstes Quintil","","","","",""
"2002","Sonstige","2","","","","",""
"2002","Sonstige","3","","","","",""
"2002","Sonstige","4","","","","",""
"2002","Sonstige","5 Einkommensstärkstes Quintil","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","2","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","3","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","4","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","","",""
"2003","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","",""
"2003","1-Pers.- Haushalt","2","","","","",""
"2003","1-Pers.- Haushalt","3","","","","",""
"2003","1-Pers.- Haushalt","4","","","","",""
"2003","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","",""
"2003","Alleinerziehende","1 Einkommensschwächstes Quintil","","","","",""
"2003","Alleinerziehende","2","","","","",""
"2003","Alleinerziehende","3","","","","",""
"2003","Alleinerziehende","4","","","","",""
"2003","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"2003","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","","",""
"2003","Paar mit Kind(ern)","2","","","","",""
"2003","Paar mit Kind(ern)","3","","","","",""
"2003","Paar mit Kind(ern)","4","","","","",""
"2003","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","","",""
"2003","Sonstige","1 Einkommensschwächstes Quintil","","","","",""
"2003","Sonstige","2","","","","",""
"2003","Sonstige","3","","","","",""
"2003","Sonstige","4","","","","",""
"2003","Sonstige","5 Einkommensstärkstes Quintil","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","2","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","3","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","4","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","","",""
"2004","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","",""
"2004","1-Pers.- Haushalt","2","","","","",""
"2004","1-Pers.- Haushalt","3","","","","",""
"2004","1-Pers.- Haushalt","4","","","","",""
"2004","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","",""
"2004","Alleinerziehende","1 Einkommensschwächstes Quintil","","","","",""
"2004","Alleinerziehende","2","","","","",""
"2004","Alleinerziehende","3","","","","",""
"2004","Alleinerziehende","4","","","","",""
"2004","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"2004","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","","",""
"2004","Paar mit Kind(ern)","2","","","","",""
"2004","Paar mit Kind(ern)","3","","","","",""
"2004","Paar mit Kind(ern)","4","","","","",""
"2004","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","","",""
"2004","Sonstige","1 Einkommensschwächstes Quintil","","","","",""
"2004","Sonstige","2","","","","",""
"2004","Sonstige","3","","","","",""
"2004","Sonstige","4","","","","",""
"2004","Sonstige","5 Einkommensstärkstes Quintil","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","2","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","3","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","4","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","","",""
"2005","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","",""
"2005","1-Pers.- Haushalt","2","","","","",""
"2005","1-Pers.- Haushalt","3","","","","",""
"2005","1-Pers.- Haushalt","4","","","","",""
"2005","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","",""
"2005","Alleinerziehende","1 Einkommensschwächstes Quintil","","","","",""
"2005","Alleinerziehende","2","","","","",""
"2005","Alleinerziehende","3","","","","",""
"2005","Alleinerziehende","4","","","","",""
"2005","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"2005","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","","",""
"2005","Paar mit Kind(ern)","2","","","","",""
"2005","Paar mit Kind(ern)","3","","","","",""
"2005","Paar mit Kind(ern)","4","","","","",""
"2005","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","","",""
"2005","Sonstige","1 Einkommensschwächstes Quintil","","","","",""
"2005","Sonstige","2","","","","",""
"2005","Sonstige","3","","","","",""
"2005","Sonstige","4","","","","",""
"2005","Sonstige","5 Einkommensstärkstes Quintil","","","","",""
"2006","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","2.58","1.5","1010","2.49","2.67"
"2006","(Ehe-)Paar ohne Kind(er)","2","3.05","2.5","1418","2.98","3.12"
"2006","(Ehe-)Paar ohne Kind(er)","3","3.52","2.5","1652","3.45","3.59"
"2006","(Ehe-)Paar ohne Kind(er)","4","3.84","3.5","1964","3.78","3.9"
"2006","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","4.64","4.5","2250","4.58","4.7"
"2006","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","2.58","1.5","805","2.49","2.67"
"2006","1-Pers.- Haushalt","2","2.76","1.5","589","2.65","2.87"
"2006","1-Pers.- Haushalt","3","2.93","2.5","632","2.82","3.04"
"2006","1-Pers.- Haushalt","4","3.51","2.5","732","3.4","3.62"
"2006","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","4.16","3.5","522","4.02","4.3"
"2006","Alleinerziehende","1 Einkommensschwächstes Quintil","2.75","1.5","917","2.66","2.84"
"2006","Alleinerziehende","2","3.42","2.5","420","3.29","3.55"
"2006","Alleinerziehende","3","3.68","3.5","267","3.51","3.85"
