year,bula_h,plh0192,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Strongly agree,0.06024,51,631,0.04166,0.07882
2003,Schleswig-Holstein,Agree,0.45467,370,631,0.41578,0.49355
2003,Schleswig-Holstein,Disagree,0.26341,210,631,0.22902,0.29781
2003,Hamburg,Strongly agree,0.10080,37,283,0.06566,0.13594
2003,Hamburg,Agree,0.49932,182,283,0.44096,0.55767
2003,Hamburg,Disagree,0.21420,64,283,0.16632,0.26209
2003,Lower Saxony,Strongly agree,0.05722,125,1898,0.04677,0.06767
2003,Lower Saxony,Agree,0.45154,1099,1898,0.42915,0.47394
2003,Lower Saxony,Disagree,0.25569,567,1898,0.23606,0.27532
2003,Lower Saxony,Strongly disagree,0.05667,107,1898,0.04626,0.06707
2003,Bremen,Agree,0.44539,88,136,0.36155,0.52923
2003,Bremen,Disagree,0.26571,48,136,0.19120,0.34023
2003,North Rhine-Westphalia,Strongly agree,0.05093,293,4631,0.04460,0.05727
2003,North Rhine-Westphalia,Agree,0.45277,2564,4631,0.43843,0.46711
2003,North Rhine-Westphalia,Disagree,0.27543,1530,4631,0.26257,0.28830
2003,North Rhine-Westphalia,Strongly disagree,0.04501,244,4631,0.03904,0.05098
2003,Hesse,Strongly agree,0.05190,92,1493,0.04065,0.06316
2003,Hesse,Agree,0.41613,817,1493,0.39112,0.44114
2003,Hesse,Disagree,0.28841,501,1493,0.26542,0.31140
2003,Hesse,Strongly disagree,0.05356,83,1493,0.04213,0.06498
2003,"Rhineland-Palatinate, Saarland",Strongly agree,0.05274,83,1343,0.04078,0.06470
2003,"Rhineland-Palatinate, Saarland",Agree,0.44600,746,1343,0.41940,0.47259
2003,"Rhineland-Palatinate, Saarland",Disagree,0.25984,443,1343,0.23637,0.28330
2003,"Rhineland-Palatinate, Saarland",Strongly disagree,0.04806,71,1343,0.03662,0.05950
2003,Baden-Wuerttemberg,Strongly agree,0.06090,220,2680,0.05184,0.06995
2003,Baden-Wuerttemberg,Agree,0.44798,1545,2680,0.42915,0.46681
2003,Baden-Wuerttemberg,Disagree,0.25734,806,2680,0.24079,0.27390
2003,Baden-Wuerttemberg,Strongly disagree,0.03587,109,2680,0.02883,0.04291
2003,Bavaria,Strongly agree,0.05661,215,3108,0.04849,0.06474
2003,Bavaria,Agree,0.47026,1813,3108,0.45271,0.48781
2003,Bavaria,Disagree,0.26248,965,3108,0.24701,0.27795
2003,Bavaria,Strongly disagree,0.04039,115,3108,0.03347,0.04731
2003,Berlin,Strongly agree,0.08306,91,823,0.06419,0.10193
2003,Berlin,Agree,0.46123,441,823,0.42715,0.49531
2003,Berlin,Disagree,0.26564,256,823,0.23544,0.29583
2003,Berlin,Strongly disagree,0.02899,35,823,0.01752,0.04046
2003,Brandenburg,Agree,0.40432,462,911,0.37244,0.43621
2003,Brandenburg,Disagree,0.37615,389,911,0.34467,0.40762
2003,Brandenburg,Strongly disagree,0.06234,60,911,0.04663,0.07805
