"plh0192","year","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Stimme voll zu","2003","Staedtischer Raum","1006","0.0687883617814066","0.064686071556719","0.0728906520060942"
"Stimme voll zu","2003","Laendlicher Raum","401","0.0548429548761682","0.0496647046891109","0.0600212050632256"
"Stimme eher zu","2003","Staedtischer Raum","8213","0.546782185618437","0.53871345222813","0.554850919008744"
"Stimme eher zu","2003","Laendlicher Raum","3946","0.528055629022399","0.516701446743032","0.539409811301765"
"Lehne eher ab","2003","Staedtischer Raum","4683","0.329330191342434","0.321712649426786","0.336947733258082"
"Lehne eher ab","2003","Laendlicher Raum","2705","0.35725974273337","0.346360899388049","0.368158586078692"
"Lehne voll ab","2003","Staedtischer Raum","720","0.0550992612577224","0.0514008884818815","0.0587976340335634"
"Lehne voll ab","2003","Laendlicher Raum","374","0.0598416733680627","0.054446902773415","0.0652364439627104"
"Stimme voll zu","2004","Staedtischer Raum","","","",""
"Stimme voll zu","2004","Laendlicher Raum","","","",""
"Stimme eher zu","2004","Staedtischer Raum","","","",""
"Stimme eher zu","2004","Laendlicher Raum","","","",""
"Lehne eher ab","2004","Staedtischer Raum","","","",""
"Lehne eher ab","2004","Laendlicher Raum","","","",""
"Lehne voll ab","2004","Staedtischer Raum","","","",""
"Lehne voll ab","2004","Laendlicher Raum","","","",""
"Stimme voll zu","2005","Staedtischer Raum","","","",""
"Stimme voll zu","2005","Laendlicher Raum","","","",""
"Stimme eher zu","2005","Staedtischer Raum","","","",""
"Stimme eher zu","2005","Laendlicher Raum","","","",""
"Lehne eher ab","2005","Staedtischer Raum","","","",""
"Lehne eher ab","2005","Laendlicher Raum","","","",""
"Lehne voll ab","2005","Staedtischer Raum","","","",""
"Lehne voll ab","2005","Laendlicher Raum","","","",""
"Stimme voll zu","2006","Staedtischer Raum","","","",""
"Stimme voll zu","2006","Laendlicher Raum","","","",""
"Stimme eher zu","2006","Staedtischer Raum","","","",""
"Stimme eher zu","2006","Laendlicher Raum","","","",""
"Lehne eher ab","2006","Staedtischer Raum","","","",""
"Lehne eher ab","2006","Laendlicher Raum","","","",""
"Lehne voll ab","2006","Staedtischer Raum","","","",""
"Lehne voll ab","2006","Laendlicher Raum","","","",""
"Stimme voll zu","2007","Staedtischer Raum","","","",""
"Stimme voll zu","2007","Laendlicher Raum","","","",""
"Stimme eher zu","2007","Staedtischer Raum","","","",""
"Stimme eher zu","2007","Laendlicher Raum","","","",""
"Lehne eher ab","2007","Staedtischer Raum","","","",""
"Lehne eher ab","2007","Laendlicher Raum","","","",""
"Lehne voll ab","2007","Staedtischer Raum","","","",""
"Lehne voll ab","2007","Laendlicher Raum","","","",""
"Stimme voll zu","2008","Staedtischer Raum","790","0.057661710032199","0.053591079326002","0.061732340738396"
"Stimme voll zu","2008","Laendlicher Raum","326","0.0490795632562526","0.0438915531970598","0.0542675733154455"
"Stimme eher zu","2008","Staedtischer Raum","7154","0.541846405648831","0.533145625925935","0.550547185371726"
"Stimme eher zu","2008","Laendlicher Raum","3560","0.519958506987859","0.507960693478032","0.531956320497686"
"Lehne eher ab","2008","Staedtischer Raum","4070","0.347944086657828","0.339626225338794","0.356261947976862"
"Lehne eher ab","2008","Laendlicher Raum","2449","0.376949727628187","0.365311639642053","0.388587815614321"
"Lehne voll ab","2008","Staedtischer Raum","583","0.0525477976611427","0.0486513357017593","0.0564442596205261"
"Lehne voll ab","2008","Laendlicher Raum","326","0.0540122021277009","0.0485838616022992","0.0594405426531027"
"Stimme voll zu","2009","Staedtischer Raum","","","",""
"Stimme voll zu","2009","Laendlicher Raum","","","",""
"Stimme eher zu","2009","Staedtischer Raum","","","",""
"Stimme eher zu","2009","Laendlicher Raum","","","",""
"Lehne eher ab","2009","Staedtischer Raum","","","",""
"Lehne eher ab","2009","Laendlicher Raum","","","",""
"Lehne voll ab","2009","Staedtischer Raum","","","",""
"Lehne voll ab","2009","Laendlicher Raum","","","",""
"Stimme voll zu","2010","Staedtischer Raum","","","",""
"Stimme voll zu","2010","Laendlicher Raum","","","",""
"Stimme eher zu","2010","Staedtischer Raum","","","",""
