year,migback,quintil_oecd,plh0192,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,1st Quintile,Strongly agree,0.06563,140,2419,0.05576,0.07550
2003,No migration background,1st Quintile,Agree,0.47236,1120,2419,0.45247,0.49226
2003,No migration background,1st Quintile,Disagree,0.37027,934,2419,0.35102,0.38952
2003,No migration background,1st Quintile,Strongly disagree,0.09174,225,2419,0.08023,0.10324
2003,No migration background,2nd Quintile,Strongly agree,0.05644,168,3086,0.04830,0.06459
2003,No migration background,2nd Quintile,Agree,0.51150,1561,3086,0.49386,0.52914
2003,No migration background,2nd Quintile,Disagree,0.37822,1205,3086,0.36111,0.39533
2003,No migration background,2nd Quintile,Strongly disagree,0.05384,152,3086,0.04587,0.06180
2003,No migration background,3rd Quintile,Strongly agree,0.05786,183,3437,0.05006,0.06567
2003,No migration background,3rd Quintile,Agree,0.53455,1844,3437,0.51787,0.55122
2003,No migration background,3rd Quintile,Disagree,0.35380,1245,3437,0.33781,0.36979
2003,No migration background,3rd Quintile,Strongly disagree,0.05379,165,3437,0.04625,0.06134
2003,No migration background,4th Quintile,Strongly agree,0.06123,223,3906,0.05371,0.06875
2003,No migration background,4th Quintile,Agree,0.57172,2258,3906,0.55619,0.58724
2003,No migration background,4th Quintile,Disagree,0.32190,1262,3906,0.30725,0.33656
2003,No migration background,4th Quintile,Strongly disagree,0.04515,163,3906,0.03864,0.05166
2003,No migration background,5th Quintile,Strongly agree,0.07040,440,5838,0.06384,0.07696
2003,No migration background,5th Quintile,Agree,0.60839,3653,5838,0.59586,0.62091
2003,No migration background,5th Quintile,Disagree,0.28906,1599,5838,0.27743,0.30069
2003,No migration background,5th Quintile,Strongly disagree,0.03216,146,5838,0.02763,0.03668
2003,Direct migration background,1st Quintile,Strongly agree,0.07498,64,775,0.05643,0.09354
2003,Direct migration background,1st Quintile,Agree,0.50700,377,775,0.47177,0.54222
2003,Direct migration background,1st Quintile,Disagree,0.33283,272,775,0.29963,0.36602
2003,Direct migration background,1st Quintile,Strongly disagree,0.08520,62,775,0.06553,0.10486
2003,Direct migration background,2nd Quintile,Strongly agree,0.07216,43,605,0.05152,0.09280
2003,Direct migration background,2nd Quintile,Agree,0.51417,313,605,0.47431,0.55403
2003,Direct migration background,2nd Quintile,Disagree,0.33298,202,605,0.29540,0.37057
2003,Direct migration background,2nd Quintile,Strongly disagree,0.08069,47,605,0.05897,0.10241
2003,Direct migration background,3rd Quintile,Strongly agree,0.05367,32,430,0.03234,0.07499
2003,Direct migration background,3rd Quintile,Agree,0.51705,237,430,0.46977,0.56434
2003,Direct migration background,3rd Quintile,Disagree,0.37427,161,430,0.32848,0.42007
2003,Direct migration background,4th Quintile,Strongly agree,0.09409,33,406,0.06566,0.12253
2003,Direct migration background,4th Quintile,Agree,0.53186,208,406,0.48326,0.58046
2003,Direct migration background,4th Quintile,Disagree,0.29151,124,406,0.24725,0.33577
2003,Direct migration background,4th Quintile,Strongly disagree,0.08254,41,406,0.05574,0.10934
2003,Direct migration background,5th Quintile,Agree,0.65378,228,313,0.60098,0.70657
2003,Direct migration background,5th Quintile,Disagree,0.22548,85,313,0.17911,0.27185
2003,Indirect migration background,1st Quintile,Agree,0.37700,72,148,0.29866,0.45535
2003,Indirect migration background,1st Quintile,Disagree,0.45538,76,148,0.37487,0.53588
2003,Indirect migration background,2nd Quintile,Agree,0.46430,68,121,0.37507,0.55354
2003,Indirect migration background,2nd Quintile,Disagree,0.35421,53,121,0.26864,0.43979
2003,Indirect migration background,3rd Quintile,Agree,0.49039,72,131,0.40445,0.57632
2003,Indirect migration background,3rd Quintile,Disagree,0.38112,59,131,0.29763,0.46461
2003,Indirect migration background,4th Quintile,Agree,0.45869,66,125,0.37098,0.54639
2003,Indirect migration background,4th Quintile,Disagree,0.42058,59,125,0.33369,0.50747
