year,age_gr,plh0105,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Very important,0.16376,448,1851,0.14690,0.18062
1990,17-29 y.,Important,0.47336,1213,1851,0.45061,0.49612
1990,17-29 y.,Less important,0.07820,190,1851,0.06596,0.09043
1990,30-45 y.,Very important,0.14722,426,2042,0.13185,0.16260
1990,30-45 y.,Important,0.50896,1415,2042,0.48727,0.53065
1990,30-45 y.,Less important,0.07611,201,2042,0.06461,0.08761
1990,46-65 y.,Very important,0.15850,455,2159,0.14309,0.17391
1990,46-65 y.,Important,0.51670,1508,2159,0.49561,0.53778
1990,46-65 y.,Less important,0.07190,196,2159,0.06100,0.08280
1990,66 and older,Very important,0.18713,239,993,0.16286,0.21140
1990,66 and older,Important,0.51819,645,993,0.48710,0.54929
1990,66 and older,Less important,0.09246,109,993,0.07443,0.11049
1992,17-29 y.,Very important,0.26459,789,2685,0.24790,0.28127
1992,17-29 y.,Important,0.55409,1652,2685,0.53528,0.57289
1992,17-29 y.,Less important,0.07979,244,2685,0.06954,0.09004
1992,30-45 y.,Very important,0.21255,840,3591,0.19916,0.22593
1992,30-45 y.,Important,0.62563,2413,3591,0.60980,0.64146
1992,30-45 y.,Less important,0.09290,338,3591,0.08340,0.10239
1992,46-65 y.,Very important,0.20595,724,3225,0.19199,0.21991
1992,46-65 y.,Important,0.61017,2154,3225,0.59334,0.62701
1992,46-65 y.,Less important,0.10042,347,3225,0.09005,0.11080
1992,66 and older,Very important,0.18428,288,1398,0.16395,0.20461
1992,66 and older,Important,0.62900,893,1398,0.60367,0.65434
1992,66 and older,Less important,0.13525,176,1398,0.11732,0.15318
1992,66 and older,Unimportant,0.03262,41,1398,0.02330,0.04193
1995,17-29 y.,Very important,0.29750,880,2600,0.27992,0.31508
1995,17-29 y.,Important,0.53402,1541,2600,0.51484,0.55319
1995,17-29 y.,Less important,0.06640,179,2600,0.05683,0.07597
1995,30-45 y.,Very important,0.23470,1023,3860,0.22133,0.24807
1995,30-45 y.,Important,0.63410,2556,3860,0.61890,0.64930
1995,30-45 y.,Less important,0.06953,281,3860,0.06150,0.07755
1995,46-65 y.,Very important,0.20155,727,3215,0.18768,0.21541
1995,46-65 y.,Important,0.64290,2223,3215,0.62634,0.65947
1995,46-65 y.,Less important,0.08034,265,3215,0.07094,0.08973
1995,66 and older,Very important,0.24268,379,1423,0.22040,0.26497
1995,66 and older,Important,0.60702,894,1423,0.58163,0.63240
1995,66 and older,Less important,0.11162,150,1423,0.09525,0.12798
2004,17-29 y.,Very important,0.34066,1370,3922,0.32583,0.35549
2004,17-29 y.,Important,0.55831,2204,3922,0.54277,0.57386
2004,17-29 y.,Less important,0.08897,348,3922,0.08006,0.09788
2004,30-45 y.,Very important,0.27396,1792,6491,0.26311,0.28481
2004,30-45 y.,Important,0.64334,4255,6491,0.63169,0.65500
2004,30-45 y.,Less important,0.07695,444,6491,0.07046,0.08343
2004,46-65 y.,Very important,0.21204,1602,7336,0.20268,0.22139
2004,46-65 y.,Important,0.68688,5089,7336,0.67626,0.69749
2004,46-65 y.,Less important,0.09154,613,7336,0.08494,0.09813
2004,46-65 y.,Unimportant,0.00491,32,7336,0.00331,0.00651
2004,66 and older,Very important,0.22705,885,3733,0.21361,0.24049
2004,66 and older,Important,0.66598,2496,3733,0.65084,0.68111
2004,66 and older,Less important,0.08682,315,3733,0.07779,0.09585
2004,66 and older,Unimportant,0.01061,37,3733,0.00732,0.01389
2008,17-29 y.,Very important,0.33724,1164,3144,0.32071,0.35377
2008,17-29 y.,Important,0.53248,1808,3144,0.51504,0.54993
2008,17-29 y.,Less important,0.05353,172,3144,0.04566,0.06140
2008,30-45 y.,Very important,0.28325,1485,5147,0.27094,0.29556
2008,30-45 y.,Important,0.64279,3341,5147,0.62970,0.65588
2008,30-45 y.,Less important,0.06618,321,5147,0.05938,0.07297
2008,46-65 y.,Very important,0.20158,1422,6656,0.19195,0.21122
2008,46-65 y.,Important,0.69920,4697,6656,0.68818,0.71021
2008,46-65 y.,Less important,0.09208,537,6656,0.08513,0.09902
2008,66 and older,Very important,0.19478,875,4266,0.18289,0.20666
2008,66 and older,Important,0.68078,2932,4266,0.66679,0.69477
2008,66 and older,Less important,0.10220,418,4266,0.09311,0.11129
2008,66 and older,Unimportant,0.01154,41,4266,0.00833,0.01474
2012,17-29 y.,Very important,0.45022,1975,3965,0.43473,0.46571
2012,17-29 y.,Important,0.43248,1840,3965,0.41706,0.44790
2012,17-29 y.,Less important,0.04465,150,3965,0.03822,0.05108
2012,30-45 y.,Very important,0.36166,3629,9048,0.35176,0.37156
2012,30-45 y.,Important,0.59527,5132,9048,0.58516,0.60539
2012,30-45 y.,Less important,0.03985,287,9048,0.03582,0.04388
2012,46-65 y.,Very important,0.26432,2755,9328,0.25537,0.27326
2012,46-65 y.,Important,0.66302,6097,9328,0.65343,0.67262
2012,46-65 y.,Less important,0.06496,476,9328,0.05996,0.06996
2012,66 and older,Very important,0.23412,1225,5171,0.22258,0.24566
2012,66 and older,Important,0.66855,3532,5171,0.65572,0.68138
2012,66 and older,Less important,0.07506,358,5171,0.06788,0.08225
2012,66 and older,Unimportant,0.01283,56,5171,0.00976,0.01589
2016,17-29 y.,Very important,0.44763,1909,3843,0.43190,0.46335
2016,17-29 y.,Important,0.42382,1784,3843,0.40819,0.43944
2016,17-29 y.,Less important,0.03976,150,3843,0.03358,0.04594
2016,30-45 y.,Very important,0.38787,2946,7071,0.37652,0.39923
2016,30-45 y.,Important,0.56525,3897,7071,0.55369,0.57680
2016,30-45 y.,Less important,0.03704,228,7071,0.03264,0.04144
2016,46-65 y.,Very important,0.29702,2810,8596,0.28736,0.30668
2016,46-65 y.,Important,0.63523,5319,8596,0.62505,0.64540
2016,46-65 y.,Less important,0.06070,431,8596,0.05566,0.06575
2016,46-65 y.,Unimportant,0.00412,36,8596,0.00276,0.00547
2016,66 and older,Very important,0.25239,1183,4673,0.23993,0.26485
2016,66 and older,Important,0.66911,3203,4673,0.65562,0.68261
2016,66 and older,Less important,0.06669,287,4673,0.05954,0.07385
2021,17-29 y.,Very important,0.49180,1489,2700,0.47294,0.51066
2021,17-29 y.,Important,0.37154,1103,2700,0.35331,0.38977
