year,regtyp,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Urban regions,Yes,0.65212,13955,15060,0.64451,0.65973
2012,Urban regions,No,0.05037,1105,15060,0.04688,0.05386
2012,Rural regions,Yes,0.72497,8904,9394,0.71594,0.73400
2012,Rural regions,No,0.04136,490,9394,0.03733,0.04539
2013,Urban regions,Yes,0.64274,13400,15185,0.63512,0.65036
2013,Urban regions,No,0.05691,1785,15185,0.05322,0.06059
2013,Rural regions,Yes,0.73370,8432,8953,0.72454,0.74285
2013,Rural regions,No,0.03704,521,8953,0.03313,0.04095
2014,Urban regions,Yes,0.64022,12111,12961,0.63196,0.64849
2014,Urban regions,No,0.03572,850,12961,0.03252,0.03891
2014,Rural regions,Yes,0.74045,7717,8058,0.73088,0.75003
2014,Rural regions,No,0.02544,341,8058,0.02200,0.02888
2015,Urban regions,Yes,0.63794,11589,12659,0.62957,0.64631
2015,Urban regions,No,0.04498,1070,12659,0.04137,0.04859
2015,Rural regions,Yes,0.73204,7403,7831,0.72223,0.74185
2015,Rural regions,No,0.03432,428,7831,0.03029,0.03835
2016,Urban regions,Yes,0.63106,10837,11793,0.62235,0.63977
2016,Urban regions,No,0.04447,956,11793,0.04075,0.04819
2016,Rural regions,Yes,0.72336,6863,7280,0.71308,0.73363
2016,Rural regions,No,0.03573,417,7280,0.03146,0.03999
2017,Urban regions,Yes,0.62616,12233,13340,0.61795,0.63437
2017,Urban regions,No,0.04687,1107,13340,0.04328,0.05045
2017,Rural regions,Yes,0.72305,7794,8202,0.71336,0.73273
2017,Rural regions,No,0.03119,408,8202,0.02742,0.03495
2018,Urban regions,Yes,0.62350,11903,13039,0.61518,0.63181
2018,Urban regions,No,0.04873,1136,13039,0.04503,0.05243
2018,Rural regions,Yes,0.72337,7427,7841,0.71347,0.73327
2018,Rural regions,No,0.03340,414,7841,0.02942,0.03738
2020,Urban regions,Yes,0.63307,11616,12662,0.62467,0.64146
2020,Urban regions,No,0.04577,1046,12662,0.04213,0.04941
2020,Rural regions,Yes,0.71886,6906,7308,0.70855,0.72916
2020,Rural regions,No,0.03420,402,7308,0.03004,0.03837
2021,Urban regions,Yes,0.61740,8243,9023,0.60737,0.62743
2021,Urban regions,No,0.05237,780,9023,0.04777,0.05696
2021,Rural regions,Yes,0.71340,4805,5103,0.70099,0.72581
2021,Rural regions,No,0.03671,298,5103,0.03155,0.04187
