year,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,male,Yes,0.67382,10417,11121,0.66510,0.68253
2012,male,No,0.04594,704,11121,0.04205,0.04983
2012,female,Yes,0.67793,12442,13333,0.66999,0.68586
2012,female,No,0.04886,891,13333,0.04520,0.05252
2013,male,Yes,0.66587,9962,11045,0.65707,0.67467
2013,male,No,0.05183,1083,11045,0.04769,0.05596
2013,female,Yes,0.67870,11870,13093,0.67070,0.68669
2013,female,No,0.04909,1223,13093,0.04539,0.05279
2014,male,Yes,0.66442,9084,9599,0.65497,0.67387
2014,male,No,0.03079,515,9599,0.02734,0.03425
2014,female,Yes,0.68033,10744,11420,0.67178,0.68889
2014,female,No,0.03397,676,11420,0.03065,0.03729
2015,male,Yes,0.66177,8741,9394,0.65220,0.67134
2015,male,No,0.04043,653,9394,0.03644,0.04441
2015,female,Yes,0.67430,10251,11096,0.66558,0.68302
2015,female,No,0.04266,845,11096,0.03890,0.04643
2016,male,Yes,0.65322,8144,8735,0.64324,0.66320
2016,male,No,0.04057,591,8735,0.03643,0.04471
2016,female,Yes,0.66803,9556,10338,0.65895,0.67711
2016,female,No,0.04277,782,10338,0.03887,0.04667
2017,male,Yes,0.65281,9337,10014,0.64349,0.66214
2017,male,No,0.04258,677,10014,0.03862,0.04653
2017,female,Yes,0.66023,10690,11528,0.65158,0.66888
2017,female,No,0.04133,838,11528,0.03770,0.04497
2018,male,Yes,0.64988,8962,9664,0.64037,0.65939
2018,male,No,0.04352,702,9664,0.03946,0.04759
2018,female,Yes,0.65949,10368,11216,0.65072,0.66826
2018,female,No,0.04437,848,11216,0.04056,0.04819
2020,male,Yes,0.65176,8773,9447,0.64215,0.66137
2020,male,No,0.04329,674,9447,0.03918,0.04739
2020,female,Yes,0.66908,9741,10515,0.66008,0.67807
2020,female,No,0.04098,774,10515,0.03719,0.04477
2021,male,Yes,0.64662,6166,6656,0.63513,0.65810
2021,male,No,0.04661,490,6656,0.04155,0.05168
2021,female,Yes,0.64939,6876,7464,0.63857,0.66022
2021,female,No,0.04813,588,7464,0.04327,0.05298
