year,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.53181,2855,5740,0.51890,0.54472
1984,No answer / don't know,No,0.46819,2885,5740,0.45528,0.48110
1985,Urban regions,Yes,0.48932,1898,4107,0.47403,0.50461
1985,Urban regions,No,0.51068,2209,4107,0.49539,0.52597
1985,Rural regions,Yes,0.70285,733,1049,0.67518,0.73052
1985,Rural regions,No,0.29715,316,1049,0.26948,0.32482
1986,Urban regions,Yes,0.48970,1851,3918,0.47405,0.50536
1986,Urban regions,No,0.51030,2067,3918,0.49464,0.52595
1986,Rural regions,Yes,0.71485,706,994,0.68677,0.74293
1986,Rural regions,No,0.28515,288,994,0.25707,0.31323
1987,Urban regions,Yes,0.48884,1840,3877,0.47310,0.50457
1987,Urban regions,No,0.51116,2037,3877,0.49543,0.52690
1987,Rural regions,Yes,0.70988,692,982,0.68148,0.73828
1987,Rural regions,No,0.29012,290,982,0.26172,0.31852
1988,Urban regions,Yes,0.50839,1830,3736,0.49236,0.52443
1988,Urban regions,No,0.49161,1906,3736,0.47557,0.50764
1988,Rural regions,Yes,0.72683,660,929,0.69816,0.75550
1988,Rural regions,No,0.27317,269,929,0.24450,0.30184
1989,Urban regions,Yes,0.51250,1804,3658,0.49630,0.52870
1989,Urban regions,No,0.48750,1854,3658,0.47130,0.50370
1989,Rural regions,Yes,0.72585,637,890,0.69652,0.75517
1989,Rural regions,No,0.27415,253,890,0.24483,0.30348
1990,Urban regions,Yes,0.53261,2022,3799,0.51674,0.54847
1990,Urban regions,No,0.46739,1777,3799,0.45153,0.48326
1990,Rural regions,Yes,0.80415,1424,1683,0.78518,0.82312
1990,Rural regions,No,0.19585,259,1683,0.17688,0.21482
1991,No answer / don't know,No,0.77056,34,34,0.62709,0.91402
1991,Urban regions,Yes,0.49979,2046,4320,0.48488,0.51471
1991,Urban regions,No,0.50021,2274,4320,0.48529,0.51512
1991,Rural regions,Yes,0.65692,1407,2188,0.63702,0.67681
1991,Rural regions,No,0.34308,781,2188,0.32319,0.36298
1992,No answer / don't know,No,0.68871,39,39,0.54150,0.83593
1992,Urban regions,Yes,0.51016,2044,4276,0.49517,0.52514
1992,Urban regions,No,0.48984,2232,4276,0.47486,0.50483
1992,Rural regions,Yes,0.65560,1344,2100,0.63528,0.67593
1992,Rural regions,No,0.34440,756,2100,0.32407,0.36472
1993,Urban regions,Yes,0.52164,2068,4243,0.50661,0.53668
1993,Urban regions,No,0.47836,2175,4243,0.46332,0.49339
1993,Rural regions,Yes,0.64875,1330,2113,0.62839,0.66911
1993,Rural regions,No,0.35125,783,2113,0.33089,0.37161
1994,Urban regions,Yes,0.52905,2051,4168,0.51390,0.54421
1994,Urban regions,No,0.47095,2117,4168,0.45579,0.48610
1994,Rural regions,Yes,0.65693,1338,2093,0.63659,0.67728
1994,Rural regions,No,0.34307,755,2093,0.32272,0.36341
1995,Urban regions,Yes,0.52187,2069,4296,0.50693,0.53681
1995,Urban regions,No,0.47813,2227,4296,0.46319,0.49307
1995,Rural regions,Yes,0.66823,1371,2142,0.64828,0.68817
1995,Rural regions,No,0.33177,771,2142,0.31183,0.35172
1996,Urban regions,Yes,0.52168,2052,4242,0.50665,0.53671
1996,Urban regions,No,0.47832,2190,4242,0.46329,0.49335
1996,Rural regions,Yes,0.66729,1388,2138,0.64732,0.68727
1996,Rural regions,No,0.33271,750,2138,0.31273,0.35268
1997,Urban regions,Yes,0.52522,2071,4174,0.51007,0.54037
1997,Urban regions,No,0.47478,2103,4174,0.45963,0.48993
1997,Rural regions,Yes,0.67515,1385,2122,0.65522,0.69508
1997,Rural regions,No,0.32485,737,2122,0.30492,0.34478
1998,Urban regions,Yes,0.50109,2416,4889,0.48708,0.51511
1998,Urban regions,No,0.49891,2473,4889,0.48489,0.51292
1998,Rural regions,Yes,0.64862,1562,2475,0.62980,0.66743
1998,Rural regions,No,0.35138,913,2475,0.33257,0.37020
1999,Urban regions,Yes,0.50410,2338,4656,0.48973,0.51846
1999,Urban regions,No,0.49590,2318,4656,0.48154,0.51027
1999,Rural regions,Yes,0.65436,1536,2400,0.63533,0.67339
1999,Rural regions,No,0.34564,864,2400,0.32661,0.36467
2000,Urban regions,Yes,0.51104,4583,8462,0.50039,0.52169
2000,Urban regions,No,0.48896,3879,8462,0.47831,0.49961
2000,Rural regions,Yes,0.66011,2927,4315,0.64598,0.67425
2000,Rural regions,No,0.33989,1388,4315,0.32575,0.35402
2001,Urban regions,Yes,0.51472,4146,7630,0.50350,0.52593
2001,Urban regions,No,0.48528,3484,7630,0.47407,0.49650
2001,Rural regions,Yes,0.66833,2648,3856,0.65347,0.68319
2001,Rural regions,No,0.33167,1208,3856,0.31681,0.34653
2002,Urban regions,Yes,0.51610,4620,8062,0.50519,0.52701
2002,Urban regions,No,0.48390,3442,8062,0.47299,0.49481
2002,Rural regions,Yes,0.67251,2732,3909,0.65780,0.68723
2002,Rural regions,No,0.32749,1177,3909,0.31277,0.34220
2003,Urban regions,Yes,0.51733,4455,7790,0.50623,0.52843
2003,Urban regions,No,0.48267,3335,7790,0.47157,0.49377
2003,Rural regions,Yes,0.67813,2630,3761,0.66320,0.69306
2003,Rural regions,No,0.32187,1131,3761,0.30694,0.33680
2004,Urban regions,Yes,0.51746,4362,7581,0.50621,0.52871
2004,Urban regions,No,0.48254,3219,7581,0.47129,0.49379
2004,Rural regions,Yes,0.68040,2609,3688,0.66535,0.69545
2004,Rural regions,No,0.31960,1079,3688,0.30455,0.33465
2005,Urban regions,Yes,0.50331,4250,7534,0.49202,0.51460
2005,Urban regions,No,0.49669,3284,7534,0.48540,0.50798
2005,Rural regions,Yes,0.69782,2609,3637,0.68289,0.71274
2005,Rural regions,No,0.30218,1028,3637,0.28726,0.31711
2006,Urban regions,Yes,0.49831,4652,8147,0.48745,0.50917
2006,Urban regions,No,0.50169,3495,8147,0.49083,0.51255
2006,Rural regions,Yes,0.67337,2901,4088,0.65899,0.68775
2006,Rural regions,No,0.32663,1187,4088,0.31225,0.34101
2007,Urban regions,Yes,0.51617,4412,7587,0.50492,0.52741
