year,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.53181,2855,5740,0.51890,0.54472
1984,West,No,0.46819,2885,5740,0.45528,0.48110
1985,West,Yes,0.53825,2631,5156,0.52464,0.55186
1985,West,No,0.46175,2525,5156,0.44814,0.47536
1986,West,Yes,0.54031,2557,4912,0.52637,0.55425
1986,West,No,0.45969,2355,4912,0.44575,0.47363
1987,West,Yes,0.53794,2532,4859,0.52392,0.55196
1987,West,No,0.46206,2327,4859,0.44804,0.47608
1988,West,Yes,0.55610,2490,4665,0.54184,0.57036
1988,West,No,0.44390,2175,4665,0.42964,0.45816
1989,West,Yes,0.55812,2441,4548,0.54369,0.57256
1989,West,No,0.44188,2107,4548,0.42744,0.45631
1990,West,Yes,0.56462,2446,4482,0.55010,0.57913
1990,West,No,0.43538,2036,4482,0.42087,0.44990
1991,West,Yes,0.56684,2527,4622,0.55255,0.58113
1991,West,No,0.43316,2095,4622,0.41887,0.44745
1991,East,Yes,0.45129,938,1932,0.42910,0.47349
1991,East,No,0.54871,994,1932,0.52651,0.57090
1992,West,Yes,0.57266,2519,4591,0.55834,0.58697
1992,West,No,0.42734,2072,4591,0.41303,0.44166
1992,East,Yes,0.45541,885,1840,0.43264,0.47817
1992,East,No,0.54459,955,1840,0.52183,0.56736
1993,West,Yes,0.57917,2537,4578,0.56486,0.59347
1993,West,No,0.42083,2041,4578,0.40653,0.43514
1993,East,Yes,0.47117,861,1778,0.44796,0.49438
1993,East,No,0.52883,917,1778,0.50562,0.55204
1994,West,Yes,0.58969,2538,4506,0.57533,0.60406
1994,West,No,0.41031,1968,4506,0.39594,0.42467
1994,East,Yes,0.46701,851,1755,0.44366,0.49035
1994,East,No,0.53299,904,1755,0.50965,0.55634
1995,West,Yes,0.58734,2614,4728,0.57331,0.60138
1995,West,No,0.41266,2114,4728,0.39862,0.42669
1995,East,Yes,0.46539,826,1710,0.44174,0.48904
1995,East,No,0.53461,884,1710,0.51096,0.55826
1996,West,Yes,0.58672,2596,4657,0.57258,0.60087
1996,West,No,0.41328,2061,4657,0.39913,0.42742
1996,East,Yes,0.46409,844,1723,0.44054,0.48765
1996,East,No,0.53591,879,1723,0.51235,0.55946
1997,West,Yes,0.59408,2626,4586,0.57987,0.60830
1997,West,No,0.40592,1960,4586,0.39170,0.42013
1997,East,Yes,0.45976,831,1711,0.43614,0.48338
1997,East,No,0.54024,880,1711,0.51662,0.56386
1998,West,Yes,0.57211,3098,5430,0.55895,0.58527
1998,West,No,0.42789,2332,5430,0.41473,0.44105
1998,East,Yes,0.42455,880,1934,0.40251,0.44658
1998,East,No,0.57545,1054,1934,0.55342,0.59749
1999,West,Yes,0.57499,2986,5161,0.56150,0.58847
1999,West,No,0.42501,2175,5161,0.41153,0.43850
1999,East,Yes,0.43513,888,1895,0.41280,0.45746
1999,East,No,0.56487,1007,1895,0.54254,0.58720
2000,West,Yes,0.58071,6015,9748,0.57092,0.59051
2000,West,No,0.41929,3733,9748,0.40949,0.42908
2000,East,Yes,0.45241,1495,3029,0.43468,0.47014
2000,East,No,0.54759,1534,3029,0.52986,0.56532
2001,West,Yes,0.58624,5390,8696,0.57588,0.59659
2001,West,No,0.41376,3306,8696,0.40341,0.42412
2001,East,Yes,0.45409,1404,2790,0.43561,0.47256
2001,East,No,0.54591,1386,2790,0.52744,0.56439
2002,West,Yes,0.58895,5911,9192,0.57889,0.59900
2002,West,No,0.41105,3281,9192,0.40100,0.42111
2002,East,Yes,0.45488,1441,2779,0.43637,0.47340
2002,East,No,0.54512,1338,2779,0.52660,0.56363
2003,West,Yes,0.59170,5667,8816,0.58144,0.60196
2003,West,No,0.40830,3149,8816,0.39804,0.41856
2003,East,Yes,0.45675,1418,2735,0.43807,0.47542
2003,East,No,0.54325,1317,2735,0.52458,0.56193
2004,West,Yes,0.59379,5568,8584,0.58340,0.60418
2004,West,No,0.40621,3016,8584,0.39582,0.41660
