"ple0055","year","sampreg","n","percent","lower_confidence","upper_confidence"
"0","1984","Westdeutschland","","","",""
"0","1984","Ostdeutschland","","","",""
"1","1984","Westdeutschland","1056","0.813764003778852","0.792420598308204","0.835107409249501"
"1","1984","Ostdeutschland","","","",""
"2","1984","Westdeutschland","142","0.117117061576905","0.0994873864236555","0.134746736730155"
"2","1984","Ostdeutschland","","","",""
"3","1984","Westdeutschland","41","0.0354446890646088","0.0253074002962901","0.0455819778329275"
"3","1984","Ostdeutschland","","","",""
"4","1984","Westdeutschland","","","",""
"4","1984","Ostdeutschland","","","",""
"5","1984","Westdeutschland","","","",""
"5","1984","Ostdeutschland","","","",""
"6","1984","Westdeutschland","","","",""
"6","1984","Ostdeutschland","","","",""
"7","1984","Westdeutschland","","","",""
"7","1984","Ostdeutschland","","","",""
"8","1984","Westdeutschland","","","",""
"8","1984","Ostdeutschland","","","",""
"9","1984","Westdeutschland","","","",""
"9","1984","Ostdeutschland","","","",""
"10","1984","Westdeutschland","","","",""
"10","1984","Ostdeutschland","","","",""
"11","1984","Westdeutschland","","","",""
"11","1984","Ostdeutschland","","","",""
"12","1984","Westdeutschland","","","",""
"12","1984","Ostdeutschland","","","",""
"13","1984","Westdeutschland","","","",""
"13","1984","Ostdeutschland","","","",""
"14","1984","Westdeutschland","","","",""
"14","1984","Ostdeutschland","","","",""
"15","1984","Westdeutschland","","","",""
"15","1984","Ostdeutschland","","","",""
"16","1984","Westdeutschland","","","",""
"16","1984","Ostdeutschland","","","",""
"17","1984","Westdeutschland","","","",""
"17","1984","Ostdeutschland","","","",""
"18","1984","Westdeutschland","","","",""
"18","1984","Ostdeutschland","","","",""
"19","1984","Westdeutschland","","","",""
"19","1984","Ostdeutschland","","","",""
"20","1984","Westdeutschland","","","",""
"20","1984","Ostdeutschland","","","",""
"21","1984","Westdeutschland","","","",""
"21","1984","Ostdeutschland","","","",""
"22","1984","Westdeutschland","","","",""
"22","1984","Ostdeutschland","","","",""
"23","1984","Westdeutschland","","","",""
"23","1984","Ostdeutschland","","","",""
"24","1984","Westdeutschland","","","",""
"24","1984","Ostdeutschland","","","",""
"25","1984","Westdeutschland","","","",""
"25","1984","Ostdeutschland","","","",""
"26","1984","Westdeutschland","","","",""
"26","1984","Ostdeutschland","","","",""
"27","1984","Westdeutschland","","","",""
"27","1984","Ostdeutschland","","","",""
"28","1984","Westdeutschland","","","",""
"28","1984","Ostdeutschland","","","",""
"30","1984","Westdeutschland","","","",""
"30","1984","Ostdeutschland","","","",""
"31","1984","Westdeutschland","","","",""
"31","1984","Ostdeutschland","","","",""
"32","1984","Westdeutschland","","","",""
"32","1984","Ostdeutschland","","","",""
"35","1984","Westdeutschland","","","",""
"35","1984","Ostdeutschland","","","",""
"36","1984","Westdeutschland","","","",""
"36","1984","Ostdeutschland","","","",""
"40","1984","Westdeutschland","","","",""
"40","1984","Ostdeutschland","","","",""
"42","1984","Westdeutschland","","","",""
"42","1984","Ostdeutschland","","","",""
"45","1984","Westdeutschland","","","",""
"45","1984","Ostdeutschland","","","",""
"48","1984","Westdeutschland","","","",""
"48","1984","Ostdeutschland","","","",""
