"ple0055","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","","","",""
"0","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","3","","",""
"0","1995","2","Städtischer Raum","","","",""
"0","1995","2","Ländlicher Raum","2","","",""
"0","1995","3","Städtischer Raum","","","",""
"0","1995","3","Ländlicher Raum","1","","",""
"0","1995","4","Städtischer Raum","1","","",""
"0","1995","4","Ländlicher Raum","","","",""
"0","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","","","",""
"0","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","",""
"1","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","284","0.738770752653153","0.693825812618573","0.783715692687733"
"1","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","187","0.683743664168546","0.627436491567112","0.740050836769979"
"1","1995","2","Städtischer Raum","194","0.708138658552705","0.652665144583755","0.763612172521655"
"1","1995","2","Ländlicher Raum","106","0.737384356516159","0.663696645914251","0.811072067118067"
"1","1995","3","Städtischer Raum","117","0.772020157274488","0.705105360680494","0.838934953868482"
"1","1995","3","Ländlicher Raum","69","0.817232076093725","0.73458430619451","0.899879845992939"
"1","1995","4","Städtischer Raum","84","0.786874358804486","0.709995772205886","0.863752945403086"
"1","1995","4","Ländlicher Raum","31","0.866600880379623","0.75704561034633","0.976156150412915"
"1","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","40","0.763802286879336","0.644875859559464","0.882728714199207"
"1","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","10","","",""
"2","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","56","0.163904696037312","0.126030916280263","0.20177847579436"
"2","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","44","0.208967060335507","0.159736628393636","0.258197492277378"
"2","1995","2","Städtischer Raum","42","0.171743281131456","0.125721799146183","0.21776476311673"
"2","1995","2","Ländlicher Raum","15","","",""
"2","1995","3","Städtischer Raum","23","","",""
"2","1995","3","Ländlicher Raum","7","","",""
"2","1995","4","Städtischer Raum","16","","",""
"2","1995","4","Ländlicher Raum","4","","",""
"2","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","8","","",""
"2","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","1","","",""
