"ple0055","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","kein Migrationshintergrund","2","","",""
"0","1984","direkter Migrationshintergrund","","","",""
"0","1984","indirekter Migrationshintergrund","","","",""
"0","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","kein Migrationshintergrund","720","0.807701221859902","0.781750773703302","0.833651670016503"
"1","1984","direkter Migrationshintergrund","331","0.865169834145918","0.831097753319764","0.899241914972072"
"1","1984","indirekter Migrationshintergrund","5","","",""
"1","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","kein Migrationshintergrund","104","0.121597081004247","0.100077208696418","0.143116953312075"
"2","1984","direkter Migrationshintergrund","37","0.0789198669991382","0.052023333003911","0.105816400994365"
"2","1984","indirekter Migrationshintergrund","1","","",""
"2","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","kein Migrationshintergrund","30","0.0347106770860711","0.0226577779006585","0.0467635762714837"
"3","1984","direkter Migrationshintergrund","11","","",""
"3","1984","indirekter Migrationshintergrund","","","",""
"3","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","kein Migrationshintergrund","10","","",""
"4","1984","direkter Migrationshintergrund","5","","",""
"4","1984","indirekter Migrationshintergrund","","","",""
"4","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"5","1984","kein Migrationshintergrund","4","","",""
"5","1984","direkter Migrationshintergrund","1","","",""
"5","1984","indirekter Migrationshintergrund","","","",""
"5","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"6","1984","kein Migrationshintergrund","4","","",""
"6","1984","direkter Migrationshintergrund","1","","",""
"6","1984","indirekter Migrationshintergrund","","","",""
"6","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"7","1984","kein Migrationshintergrund","4","","",""
"7","1984","direkter Migrationshintergrund","","","",""
"7","1984","indirekter Migrationshintergrund","","","",""
"7","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"8","1984","kein Migrationshintergrund","1","","",""
"8","1984","direkter Migrationshintergrund","","","",""
"8","1984","indirekter Migrationshintergrund","","","",""
"8","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"9","1984","kein Migrationshintergrund","2","","",""
"9","1984","direkter Migrationshintergrund","","","",""
"9","1984","indirekter Migrationshintergrund","","","",""
"9","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"10","1984","kein Migrationshintergrund","3","","",""
"10","1984","direkter Migrationshintergrund","","","",""
"10","1984","indirekter Migrationshintergrund","","","",""
"10","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"11","1984","kein Migrationshintergrund","","","",""
"11","1984","direkter Migrationshintergrund","","","",""
"11","1984","indirekter Migrationshintergrund","","","",""
"11","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"12","1984","kein Migrationshintergrund","1","","",""
"12","1984","direkter Migrationshintergrund","","","",""
"12","1984","indirekter Migrationshintergrund","","","",""
"12","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"13","1984","kein Migrationshintergrund","","","",""
"13","1984","direkter Migrationshintergrund","","","",""
"13","1984","indirekter Migrationshintergrund","","","",""
"13","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"14","1984","kein Migrationshintergrund","1","","",""
"14","1984","direkter Migrationshintergrund","","","",""
"14","1984","indirekter Migrationshintergrund","","","",""
"14","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"15","1984","kein Migrationshintergrund","","","",""
"15","1984","direkter Migrationshintergrund","","","",""
"15","1984","indirekter Migrationshintergrund","","","",""
"15","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"16","1984","kein Migrationshintergrund","","","",""
"16","1984","direkter Migrationshintergrund","","","",""
"16","1984","indirekter Migrationshintergrund","","","",""
"16","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"17","1984","kein Migrationshintergrund","","","",""
"17","1984","direkter Migrationshintergrund","","","",""
"17","1984","indirekter Migrationshintergrund","","","",""
"17","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"18","1984","kein Migrationshintergrund","","","",""
"18","1984","direkter Migrationshintergrund","","","",""
"18","1984","indirekter Migrationshintergrund","","","",""
"18","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"19","1984","kein Migrationshintergrund","","","",""
"19","1984","direkter Migrationshintergrund","","","",""
"19","1984","indirekter Migrationshintergrund","","","",""
"19","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"20","1984","kein Migrationshintergrund","","","",""
"20","1984","direkter Migrationshintergrund","","","",""
"20","1984","indirekter Migrationshintergrund","","","",""
"20","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"21","1984","kein Migrationshintergrund","","","",""
"21","1984","direkter Migrationshintergrund","","","",""
"21","1984","indirekter Migrationshintergrund","","","",""
"21","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"22","1984","kein Migrationshintergrund","","","",""
"22","1984","direkter Migrationshintergrund","","","",""
"22","1984","indirekter Migrationshintergrund","","","",""
"22","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"23","1984","kein Migrationshintergrund","","","",""
"23","1984","direkter Migrationshintergrund","","","",""
"23","1984","indirekter Migrationshintergrund","","","",""
"23","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"24","1984","kein Migrationshintergrund","","","",""
"24","1984","direkter Migrationshintergrund","","","",""
"24","1984","indirekter Migrationshintergrund","","","",""
"24","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"25","1984","kein Migrationshintergrund","","","",""
"25","1984","direkter Migrationshintergrund","","","",""
"25","1984","indirekter Migrationshintergrund","","","",""
"25","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"26","1984","kein Migrationshintergrund","","","",""
"26","1984","direkter Migrationshintergrund","","","",""
"26","1984","indirekter Migrationshintergrund","","","",""
"26","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"27","1984","kein Migrationshintergrund","","","",""
"27","1984","direkter Migrationshintergrund","","","",""
"27","1984","indirekter Migrationshintergrund","","","",""
