"ple0055","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","17-29","kein Migrationshintergrund","","","",""
"0","1984","17-29","direkter Migrationshintergrund","","","",""
"0","1984","17-29","indirekter Migrationshintergrund","","","",""
"0","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","30-45","kein Migrationshintergrund","","","",""
"0","1984","30-45","direkter Migrationshintergrund","","","",""
"0","1984","30-45","indirekter Migrationshintergrund","","","",""
"0","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","46-65","kein Migrationshintergrund","1","","",""
"0","1984","46-65","direkter Migrationshintergrund","","","",""
"0","1984","46-65","indirekter Migrationshintergrund","","","",""
"0","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","66","kein Migrationshintergrund","","","",""
"0","1984","66","direkter Migrationshintergrund","","","",""
"0","1984","66","indirekter Migrationshintergrund","","","",""
"0","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","17-29","kein Migrationshintergrund","180","0.855177303697609","0.807465993206871","0.902888614188348"
"1","1984","17-29","direkter Migrationshintergrund","98","0.854321146574656","0.788985842722418","0.919656450426894"
"1","1984","17-29","indirekter Migrationshintergrund","4","","",""
"1","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","30-45","kein Migrationshintergrund","208","0.822047709128176","0.774636788340767","0.869458629915585"
"1","1984","30-45","direkter Migrationshintergrund","124","0.869344423648309","0.814676626466585","0.924012220830034"
"1","1984","30-45","indirekter Migrationshintergrund","","","",""
"1","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","46-65","kein Migrationshintergrund","205","0.787358730845123","0.737718026041587","0.83699943564866"
"1","1984","46-65","direkter Migrationshintergrund","105","0.84754464507892","0.784275803581489","0.910813486576352"
"1","1984","46-65","indirekter Migrationshintergrund","","","",""
"1","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","66","kein Migrationshintergrund","","","",""
"1","1984","66","direkter Migrationshintergrund","","","",""
"1","1984","66","indirekter Migrationshintergrund","","","",""
"1","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","17-29","kein Migrationshintergrund","15","","",""
"2","1984","17-29","direkter Migrationshintergrund","11","","",""
"2","1984","17-29","indirekter Migrationshintergrund","1","","",""
"2","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","30-45","kein Migrationshintergrund","25","","",""
"2","1984","30-45","direkter Migrationshintergrund","16","","",""
"2","1984","30-45","indirekter Migrationshintergrund","","","",""
"2","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","46-65","kein Migrationshintergrund","38","0.146660803620836","0.103742187028136","0.189579420213536"
"2","1984","46-65","direkter Migrationshintergrund","10","","",""
"2","1984","46-65","indirekter Migrationshintergrund","","","",""
"2","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","66","kein Migrationshintergrund","","","",""
"2","1984","66","direkter Migrationshintergrund","","","",""
"2","1984","66","indirekter Migrationshintergrund","","","",""
"2","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","17-29","kein Migrationshintergrund","7","","",""
"3","1984","17-29","direkter Migrationshintergrund","1","","",""
"3","1984","17-29","indirekter Migrationshintergrund","","","",""
"3","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","30-45","kein Migrationshintergrund","10","","",""
"3","1984","30-45","direkter Migrationshintergrund","5","","",""
"3","1984","30-45","indirekter Migrationshintergrund","","","",""
"3","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","46-65","kein Migrationshintergrund","6","","",""
"3","1984","46-65","direkter Migrationshintergrund","5","","",""
"3","1984","46-65","indirekter Migrationshintergrund","","","",""
"3","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","66","kein Migrationshintergrund","","","",""
"3","1984","66","direkter Migrationshintergrund","","","",""
"3","1984","66","indirekter Migrationshintergrund","","","",""
"3","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","17-29","kein Migrationshintergrund","3","","",""
"4","1984","17-29","direkter Migrationshintergrund","1","","",""
"4","1984","17-29","indirekter Migrationshintergrund","","","",""
"4","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","30-45","kein Migrationshintergrund","","","",""
"4","1984","30-45","direkter Migrationshintergrund","1","","",""
"4","1984","30-45","indirekter Migrationshintergrund","","","",""
"4","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","46-65","kein Migrationshintergrund","4","","",""
"4","1984","46-65","direkter Migrationshintergrund","3","","",""
"4","1984","46-65","indirekter Migrationshintergrund","","","",""
"4","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","66","kein Migrationshintergrund","","","",""
"4","1984","66","direkter Migrationshintergrund","","","",""
"4","1984","66","indirekter Migrationshintergrund","","","",""
"4","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"5","1984","17-29","kein Migrationshintergrund","1","","",""
"5","1984","17-29","direkter Migrationshintergrund","","","",""
"5","1984","17-29","indirekter Migrationshintergrund","","","",""
"5","1984","17-29","Migrationshintergrund - n. w. differenzierbar","","","",""
"5","1984","30-45","kein Migrationshintergrund","2","","",""
"5","1984","30-45","direkter Migrationshintergrund","","","",""
"5","1984","30-45","indirekter Migrationshintergrund","","","",""
"5","1984","30-45","Migrationshintergrund - n. w. differenzierbar","","","",""
"5","1984","46-65","kein Migrationshintergrund","1","","",""
"5","1984","46-65","direkter Migrationshintergrund","1","","",""
"5","1984","46-65","indirekter Migrationshintergrund","","","",""
"5","1984","46-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"5","1984","66","kein Migrationshintergrund","","","",""
"5","1984","66","direkter Migrationshintergrund","","","",""
"5","1984","66","indirekter Migrationshintergrund","","","",""
"5","1984","66","Migrationshintergrund - n. w. differenzierbar","","","",""
"6","1984","17-29","kein Migrationshintergrund","","","",""
"6","1984","17-29","direkter Migrationshintergrund","1","","",""
"6","1984","17-29","indirekter Migrationshintergrund","","","",""
