"ple0055","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1985","kein Migrationshintergrund","Staedtischer Raum","","","",""
"0","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"0","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"0","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"0","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"0","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"0","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"0","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"1","1985","kein Migrationshintergrund","Staedtischer Raum","493","0.803364951790419","0.771746496379198","0.834983407201639"
"1","1985","kein Migrationshintergrund","Laendlicher Raum","177","","",""
"1","1985","direkter Migrationshintergrund","Staedtischer Raum","231","","",""
"1","1985","direkter Migrationshintergrund","Laendlicher Raum","36","0.860068299895033","0.75119025511109","0.968946344678977"
"1","1985","indirekter Migrationshintergrund","Staedtischer Raum","14","","",""
"1","1985","indirekter Migrationshintergrund","Laendlicher Raum","1","","",""
"1","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"1","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"2","1985","kein Migrationshintergrund","Staedtischer Raum","73","0.131641485165577","0.104744743871625","0.158538226459529"
"2","1985","kein Migrationshintergrund","Laendlicher Raum","33","0.147041202166832","0.10107229106579","0.193010113267874"
"2","1985","direkter Migrationshintergrund","Staedtischer Raum","31","0.12569031244508","0.0866519353694546","0.164728689520706"
"2","1985","direkter Migrationshintergrund","Laendlicher Raum","1","","",""
"2","1985","indirekter Migrationshintergrund","Staedtischer Raum","2","","",""
"2","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"2","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"2","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"3","1985","kein Migrationshintergrund","Staedtischer Raum","19","","",""
"3","1985","kein Migrationshintergrund","Laendlicher Raum","7","0.0265167252332983","0.00566198143165624","0.0473714690349404"
"3","1985","direkter Migrationshintergrund","Staedtischer Raum","9","0.0339139862590757","0.012597995474781","0.0552299770433705"
"3","1985","direkter Migrationshintergrund","Laendlicher Raum","1","","",""
"3","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"3","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"3","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"3","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"4","1985","kein Migrationshintergrund","Staedtischer Raum","3","","",""
"4","1985","kein Migrationshintergrund","Laendlicher Raum","3","","",""
"4","1985","direkter Migrationshintergrund","Staedtischer Raum","1","","",""
"4","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"4","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"4","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"4","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"4","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"5","1985","kein Migrationshintergrund","Staedtischer Raum","5","0.00756241715320072","0.000670569611515043","0.0144542646948864"
"5","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"5","1985","direkter Migrationshintergrund","Staedtischer Raum","2","","",""
"5","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"5","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"5","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"5","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"5","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"6","1985","kein Migrationshintergrund","Staedtischer Raum","4","0.00752190864977819","0.000648403898677634","0.0143954134008788"
"6","1985","kein Migrationshintergrund","Laendlicher Raum","","","",""
"6","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"6","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"6","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"6","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"6","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"6","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"7","1985","kein Migrationshintergrund","Staedtischer Raum","2","","",""
"7","1985","kein Migrationshintergrund","Laendlicher Raum","1","","",""
"7","1985","direkter Migrationshintergrund","Staedtischer Raum","","","",""
